stress_level,method,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_regret,ci95_regret,mean_calibration_error,ci95_calibration_error,mean_retrieval_coverage,ci95_retrieval_coverage,groups,episodes_per_group
0.2000000000,action_conditioned_mechanism_retrieval_v5,0.7522005208,0.0034856841,0.8512347536,0.0036321055,0.6815763900,0.0004391583,0.0771834843,0.0004026849,0.6437555748,0.0009066904,0.0455567708,0.0003617003,0.2167356640,0.0001686587,0.0829561514,0.0003629698,0.0474730617,0.0001779538,0.7830538071,0.0004167333,800,96
0.2000000000,conformal_retrieval_filter,0.6080338542,0.0039813449,0.5573573062,0.0042550364,0.5350230050,0.0004325089,0.1798637046,0.0005686611,0.5041913946,0.0009316986,0.0772214937,0.0003789714,0.2608034260,0.0001814634,0.1372418816,0.0003820264,0.0810769040,0.0001792912,0.5901456331,0.0004254989,800,96
0.2000000000,contrastive_mechanism_memory,0.6613281250,0.0037384927,0.6649845698,0.0039410879,0.5917493512,0.0004606807,0.1361277345,0.0004645255,0.5586789373,0.0009365477,0.0662729077,0.0003828226,0.2570023237,0.0001741152,0.1171391672,0.0003457475,0.0672900160,0.0001731015,0.6573132190,0.0004095531,800,96
0.2000000000,invariant_mechanism_alignment,0.6428385417,0.0040857182,0.6281321192,0.0043695981,0.5755965675,0.0004503077,0.1480386574,0.0004817464,0.5432565687,0.0009127438,0.0695783960,0.0003756335,0.2662306004,0.0001850971,0.1239278713,0.0003695203,0.0715214733,0.0001737125,0.6303632360,0.0004301228,800,96
0.2000000000,learned_expected_utility_retrieval,0.6743489583,0.0037917524,0.6777825910,0.0039837386,0.5973883350,0.0004397635,0.1306706665,0.0004671553,0.5698647722,0.0009154210,0.0646591929,0.0003778085,0.2808926546,0.0001728804,0.1137158041,0.0003644855,0.0653282567,0.0001730408,0.6681188268,0.0004253018,800,96
0.2000000000,model_predictive_retrieval_arbitration,0.6808463542,0.0036105998,0.6980957428,0.0038037309,0.6095342500,0.0004375841,0.1229780086,0.0004527893,0.5811483127,0.0009155930,0.0619871112,0.0003795379,0.2727211373,0.0001703882,0.1081343358,0.0003569977,0.0631779229,0.0001829126,0.6845202095,0.0004151386,800,96
0.2000000000,oracle_mechanism_retrieval,0.8046744792,0.0032614700,0.9586995477,0.0028449428,0.7499296275,0.0004526580,0.0457042451,0.0003343733,0.6888165119,0.0008958510,0.0334736240,0.0003634129,0.1779571010,0.0001647836,0.0625849488,0.0003416121,0.0358732664,0.0001724761,0.8904175005,0.0004173012,800,96
0.2000000000,proposed_mechanism_retrieval_controller_v4,0.6978776042,0.0035147198,0.7433443054,0.0037177852,0.6215233737,0.0004492306,0.1085160486,0.0004465750,0.5856169876,0.0009119243,0.0567193728,0.0003728461,0.2315524685,0.0001737150,0.1013812814,0.0003670430,0.0619571815,0.0001702094,0.7163556470,0.0004183265,800,96
0.2000000000,retrieved_context_behavior_clone,0.5947135417,0.0040651789,0.4768996237,0.0044295863,0.4803815187,0.0004499723,0.2634053377,0.0006753915,0.4432499812,0.0008977580,0.1004071461,0.0004040146,0.2198667229,0.0001830140,0.1628786555,0.0003712060,0.1074017352,0.0001750349,0.6807418362,0.0004291192,800,96
0.2000000000,test_time_retrieval_adaptation,0.6308593750,0.0038472418,0.5935719862,0.0040822801,0.5615219475,0.0004285563,0.1599718458,0.0005126961,0.5298067596,0.0009348949,0.0725394155,0.0003729155,0.2915291838,0.0001634195,0.1296971114,0.0003754770,0.0747115530,0.0001701758,0.6034028551,0.0004231046,800,96
0.4000000000,action_conditioned_mechanism_retrieval_v5,0.7413932292,0.0035254518,0.8292763431,0.0036175814,0.6742701300,0.0003651451,0.0834022262,0.0003164537,0.6388425268,0.0008950381,0.0498801140,0.0002746575,0.2205558460,0.0001521755,0.0914510697,0.0002811767,0.0520232176,0.0001540006,0.7692265818,0.0003207377,800,96
0.4000000000,conformal_retrieval_filter,0.5844010417,0.0040388201,0.5199631840,0.0042185545,0.5277167450,0.0003615640,0.1907850622,0.0004317408,0.4991137551,0.0009213372,0.0821048794,0.0002846506,0.2648031654,0.0001641800,0.1459513802,0.0002995615,0.0857023017,0.0001561758,0.5760362509,0.0003219337,800,96
0.4000000000,contrastive_mechanism_memory,0.6421093750,0.0037143320,0.6331924121,0.0038363672,0.5844430912,0.0003826047,0.1448657348,0.0003583366,0.5536777153,0.0009220011,0.0709240052,0.0002837713,0.2609402662,0.0001561817,0.1257490392,0.0002691900,0.0718804800,0.0001487030,0.6433348382,0.0003133354,800,96
0.4000000000,invariant_mechanism_alignment,0.6225520833,0.0038862796,0.5949686603,0.0040664297,0.5682903075,0.0003769103,0.1573364929,0.0003670777,0.5382357525,0.0009003090,0.0742879008,0.0002759851,0.2701834908,0.0001627345,0.1325632886,0.0002953296,0.0761208946,0.0001495413,0.6163512650,0.0003292629,800,96
0.4000000000,learned_expected_utility_retrieval,0.6547135417,0.0037486590,0.6456820749,0.0038789055,0.5900820750,0.0003689099,0.1391847328,0.0003579503,0.5648713879,0.0009030944,0.0693021150,0.0002841135,0.2848364304,0.0001556837,0.1223154580,0.0002817636,0.0699151377,0.0001502073,0.6541538820,0.0003313223,800,96
0.4000000000,model_predictive_retrieval_arbitration,0.6643098958,0.0036870441,0.6693432903,0.0037893428,0.6022279900,0.0003683257,0.1311001902,0.0003499041,0.5761686443,0.0009033692,0.0665468202,0.0002832693,0.2766215277,0.0001498371,0.1167161080,0.0002790769,0.0677585338,0.0001574847,0.6705787778,0.0003182937,800,96
0.4000000000,oracle_mechanism_retrieval,0.7981250000,0.0032878547,0.9447872762,0.0030715246,0.7426233675,0.0003780161,0.0506913496,0.0002704721,0.6839465713,0.0008829311,0.0376341120,0.0002729071,0.1817176738,0.0001490780,0.0710236674,0.0002667838,0.0404037161,0.0001480273,0.8766641734,0.0003233533,800,96
0.4000000000,proposed_mechanism_retrieval_controller_v4,0.6830598958,0.0036357128,0.7166817218,0.0037612695,0.6142171137,0.0003778196,0.1159664279,0.0003465366,0.5806608323,0.0009006999,0.0612011181,0.0002783836,0.2354287965,0.0001570094,0.1099323993,0.0002924106,0.0665270436,0.0001470001,0.7024545234,0.0003192794,800,96
0.4000000000,retrieved_context_behavior_clone,0.5619661458,0.0040360180,0.4283263343,0.0042620536,0.4730752588,0.0003794235,0.2780775912,0.0004992856,0.4380410603,0.0008843689,0.1057171570,0.0003024972,0.2239940665,0.0001606398,0.1717593075,0.0002884195,0.1120871472,0.0001496541,0.6664074002,0.0003292212,800,96
0.4000000000,test_time_retrieval_adaptation,0.6094010417,0.0038354533,0.5589027408,0.0039693783,0.5542156875,0.0003597321,0.1698855000,0.0003868154,0.5247643897,0.0009229803,0.0773131213,0.0002782460,0.2954984804,0.0001411956,0.1383606285,0.0002906016,0.0793208275,0.0001467236,0.5893539350,0.0003248478,800,96
0.6000000000,action_conditioned_mechanism_retrieval_v5,0.7277864583,0.0035491516,0.8023081599,0.0035887068,0.6656624700,0.0003014750,0.0909472190,0.0002363658,0.6332699801,0.0008865331,0.0556006853,0.0001870103,0.2247689208,0.0001374262,0.1010786402,0.0001979654,0.0570190335,0.0001321334,0.7540366695,0.0002159420,800,96
0.6000000000,conformal_retrieval_filter,0.5525130208,0.0038989966,0.4717039121,0.0039619467,0.5191090850,0.0002991575,0.2036466938,0.0002844142,0.4933551260,0.0009108719,0.0885266779,0.0001890753,0.2692721777,0.0001427961,0.1558215490,0.0002075234,0.0907831839,0.0001343899,0.5605273402,0.0002178146,800,96
0.6000000000,contrastive_mechanism_memory,0.6201562500,0.0037991531,0.5962879791,0.0038493010,0.5758354313,0.0003084143,0.1552589269,0.0002513224,0.5480054816,0.0009102354,0.0769941849,0.0001894717,0.2652701900,0.0001403261,0.1355065730,0.0001923519,0.0769218671,0.0001269530,0.6279740339,0.0002108631,800,96
0.6000000000,invariant_mechanism_alignment,0.5971354167,0.0038594797,0.5542223427,0.0039364116,0.5596826475,0.0003092870,0.1683626183,0.0002544779,0.5325413661,0.0008902951,0.0804647295,0.0001756171,0.2745619042,0.0001431642,0.1423497032,0.0002157310,0.0811724086,0.0001295270,0.6009524847,0.0002184370,800,96
0.6000000000,learned_expected_utility_retrieval,0.6332552083,0.0037852699,0.6094099127,0.0038437250,0.5814744150,0.0003068890,0.1493247516,0.0002542386,0.5592080152,0.0008931800,0.0753456664,0.0001908850,0.2891594271,0.0001406468,0.1320614395,0.0001971660,0.0749524740,0.0001319398,0.6388082681,0.0002260952,800,96
0.6000000000,model_predictive_retrieval_arbitration,0.6441796875,0.0036638711,0.6346470339,0.0037116583,0.5936203300,0.0003054182,0.1407971558,0.0002450301,0.5705207785,0.0008926662,0.0725354515,0.0001878336,0.2809259306,0.0001333932,0.1264418730,0.0001974102,0.0727887812,0.0001328151,0.6552597471,0.0002179696,800,96
0.6000000000,oracle_mechanism_retrieval,0.7898046875,0.0033224777,0.9257945821,0.0032542081,0.7340157075,0.0003124092,0.0568438892,0.0002170137,0.6784227604,0.0008744728,0.0431620554,0.0001822992,0.1858567381,0.0001353246,0.0805877003,0.0001918620,0.0453772527,0.0001251545,0.8615578082,0.0002140416,800,96
0.6000000000,proposed_mechanism_retrieval_controller_v4,0.6620703125,0.0036328050,0.6815020589,0.0036981051,0.6056094538,0.0003129481,0.1249038737,0.0002487375,0.5750395497,0.0008904910,0.0671520518,0.0001828292,0.2397452306,0.0001405826,0.1196235074,0.0002107658,0.0715451387,0.0001262516,0.6871810639,0.0002147496,800,96
0.6000000000,retrieved_context_behavior_clone,0.5157421875,0.0039268505,0.3633342408,0.0040081994,0.4644675987,0.0003137637,0.2951798752,0.0003048181,0.4321340084,0.0008735795,0.1126938481,0.0001957904,0.2286637819,0.0001360125,0.1818229772,0.0002011284,0.1172358798,0.0001252370,0.6506440504,0.0002223190,800,96
0.6000000000,test_time_retrieval_adaptation,0.5823567708,0.0037908145,0.5161465982,0.0038388708,0.5456080275,0.0003043881,0.1816078519,0.0002596934,0.5190456354,0.0009130972,0.0835679828,0.0001827013,0.2998996802,0.0001264853,0.1481788119,0.0002025098,0.0843834811,0.0001279246,0.5739133811,0.0002195977,800,96
0.8000000000,action_conditioned_mechanism_retrieval_v5,0.7124088542,0.0035361357,0.7715792621,0.0035600389,0.6558569100,0.0002786960,0.0996781285,0.0002024823,0.6270662463,0.0008819345,0.0625286459,0.0001429273,0.2293469873,0.0001314825,0.1117915383,0.0001590294,0.0624420641,0.0001232058,0.7375457701,0.0001641971,800,96
0.8000000000,conformal_retrieval_filter,0.5120963542,0.0038194548,0.4125182184,0.0038472886,0.5093035250,0.0002708970,0.2182848294,0.0002046399,0.4869446392,0.0009060495,0.0963188474,0.0001393298,0.2742007910,0.0001361886,0.1668039938,0.0001622658,0.0963007300,0.0001249766,0.5436820072,0.0001643049,800,96
0.8000000000,contrastive_mechanism_memory,0.5915104167,0.0037478260,0.5504621884,0.0037755286,0.5660298712,0.0002771934,0.1671544218,0.0002022361,0.5416909872,0.0009041139,0.0843824945,0.0001384577,0.2700340117,0.0001358914,0.1463638712,0.0001621364,0.0823955310,0.0001207056,0.6112932594,0.0001612408,800,96
0.8000000000,invariant_mechanism_alignment,0.5634375000,0.0037619371,0.5029053671,0.0038046235,0.5498770875,0.0002841096,0.1809613544,0.0002052281,0.5262022583,0.0008854109,0.0879932036,0.0001296258,0.2793964550,0.0001345149,0.1532390903,0.0001759207,0.0866573244,0.0001207520,0.5842295157,0.0001569785,800,96
0.8000000000,learned_expected_utility_retrieval,0.6030338542,0.0037775079,0.5621282825,0.0038032698,0.5716688550,0.0002762301,0.1609389501,0.0002042443,0.5529033662,0.0008887126,0.0827426446,0.0001357792,0.2939453060,0.0001340868,0.1429059022,0.0001595727,0.0804216372,0.0001239082,0.6221443714,0.0001698537,800,96
0.8000000000,model_predictive_retrieval_arbitration,0.6168359375,0.0037025354,0.5905401272,0.0037238719,0.5838147700,0.0002769932,0.1519190854,0.0002021637,0.5642333590,0.0008874661,0.0798461741,0.0001395188,0.2856715231,0.0001281122,0.1372638734,0.0001598495,0.0782500681,0.0001230969,0.6386253865,0.0001665377,800,96
0.8000000000,oracle_mechanism_retrieval,0.7795182292,0.0033598983,0.9016686905,0.0033578646,0.7242101475,0.0002924223,0.0640276681,0.0002016397,0.6722731761,0.0008694970,0.0498900761,0.0001382155,0.1903635285,0.0001322163,0.0912300029,0.0001605419,0.0507755292,0.0001168431,0.8451597367,0.0001600451,800,96
0.8000000000,proposed_mechanism_retrieval_controller_v4,0.6410286458,0.0036897625,0.6442278853,0.0037236700,0.5958038937,0.0002861523,0.1351819138,0.0002025543,0.5687816663,0.0008847871,0.0742902646,0.0001365051,0.2444025940,0.0001346812,0.1304070011,0.0001684997,0.0769929234,0.0001181231,0.6705973367,0.0001628903,800,96
0.8000000000,retrieved_context_behavior_clone,0.4576432292,0.0038349002,0.2837758283,0.0038681187,0.4546620388,0.0002853012,0.3145297269,0.0002069106,0.4255586116,0.0008690155,0.1211341190,0.0001389303,0.2338399473,0.0001298157,0.1930204177,0.0001617157,0.1228288134,0.0001177514,0.6335160145,0.0001629148,800,96
0.8000000000,test_time_retrieval_adaptation,0.5470963542,0.0037569169,0.4628462698,0.0037687949,0.5358024675,0.0002852824,0.1949801533,0.0002010315,0.5126794529,0.0009082128,0.0911787314,0.0001378837,0.3047561060,0.0001231037,0.1591034967,0.0001605664,0.0898807740,0.0001225415,0.5571439982,0.0001681779,800,96
1.0000000000,action_conditioned_mechanism_retrieval_v5,0.6928515625,0.0036437933,0.7354882635,0.0036660991,0.6453502500,0.0002788731,0.1090693152,0.0002022080,0.6204696827,0.0008793934,0.0701575602,0.0001419165,0.2341968694,0.0001320086,0.1231811199,0.0001578953,0.0681316190,0.0001231020,0.7202481661,0.0001641507,800,96
1.0000000000,conformal_retrieval_filter,0.4614322917,0.0037256776,0.3416184868,0.0037700335,0.4987968650,0.0002699642,0.2339535310,0.0002021881,0.4801283627,0.0009034303,0.1049471097,0.0001384023,0.2794861679,0.0001346984,0.1784800184,0.0001613141,0.1020907252,0.0001248121,0.5260077523,0.0001643956,800,96
1.0000000000,contrastive_mechanism_memory,0.5584244792,0.0037793202,0.4989081414,0.0038225443,0.5555232113,0.0002761042,0.1799085630,0.0002023483,0.5349767203,0.0009012208,0.0924903313,0.0001371567,0.2750732948,0.0001350918,0.1579069044,0.0001636252,0.0881388933,0.0001209381,0.5937938781,0.0001621656,800,96
1.0000000000,invariant_mechanism_alignment,0.5257291667,0.0037988321,0.4462739115,0.0038437586,0.5393704275,0.0002843037,0.1944628187,0.0002059281,0.5194618351,0.0008828669,0.0962365561,0.0001305446,0.2845004517,0.0001333877,0.1648162238,0.0001746026,0.0924126438,0.0001207724,0.5666852951,0.0001552803,800,96
1.0000000000,learned_expected_utility_retrieval,0.5693619792,0.0037725241,0.5101324160,0.0037992049,0.5611621950,0.0002753794,0.1733941619,0.0002036680,0.5461995618,0.0008861410,0.0908401032,0.0001347775,0.2989927923,0.0001344274,0.1544352952,0.0001604930,0.0861602166,0.0001239305,0.6046629259,0.0001693236,800,96
1.0000000000,model_predictive_retrieval_arbitration,0.5860937500,0.0037458071,0.5417876959,0.0037757225,0.5733081100,0.0002764673,0.1638511710,0.0002026125,0.5575478640,0.0008848681,0.0878542795,0.0001426910,0.2906779938,0.0001291016,0.1487693961,0.0001589066,0.0839802775,0.0001230851,0.6211753285,0.0001660523,800,96
1.0000000000,oracle_mechanism_retrieval,0.7678125000,0.0034166595,0.8745099817,0.0034337587,0.7137034875,0.0002934163,0.0717747438,0.0002022445,0.6657341565,0.0008669399,0.0572625746,0.0001381258,0.1951034887,0.0001332590,0.1025445637,0.0001607121,0.0564387784,0.0001170526,0.8279607794,0.0001590218,800,96
1.0000000000,proposed_mechanism_retrieval_controller_v4,0.6122526042,0.0037375396,0.5979318989,0.0037707217,0.5852972337,0.0002858656,0.1462172116,0.0002016893,0.5621275588,0.0008821332,0.0822002042,0.0001354730,0.2493815385,0.0001348718,0.1418716035,0.0001670066,0.0827087841,0.0001182574,0.6532010860,0.0001627333,800,96
1.0000000000,retrieved_context_behavior_clone,0.3909114583,0.0036173482,0.1939916840,0.0036555435,0.4441553788,0.0002849703,0.3352054939,0.0002075485,0.4185670877,0.0008665869,0.1304020946,0.0001370605,0.2393502721,0.0001296293,0.2049249146,0.0001611306,0.1286989217,0.0001181288,0.6155413357,0.0001610848,800,96
1.0000000000,test_time_retrieval_adaptation,0.5079427083,0.0038688777,0.4043256157,0.0038959337,0.5252958075,0.0002853848,0.2093036732,0.0002006785,0.5059102577,0.0009055617,0.0995056434,0.0001429239,0.3098803371,0.0001273206,0.1707181407,0.0001589713,0.0956492463,0.0001229211,0.5395504542,0.0001688725,800,96
