stress_level,method,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_regret,ci95_regret,mean_calibration_error,ci95_calibration_error,mean_retrieval_coverage,ci95_retrieval_coverage,groups,episodes_per_group
0.0000000000,action_conditioned_mechanism_retrieval_v5,0.7614713542,0.0034599110,0.8701606468,0.0036383504,0.6880150500,0.0004924524,0.0718703536,0.0004606901,0.6482438064,0.0009163228,0.0421984766,0.0004206730,0.2131637923,0.0001814350,0.0751900324,0.0004167315,0.0432095557,0.0001946433,0.7960012878,0.0004814983,800,96
0.0000000000,conformal_retrieval_filter,0.6282421875,0.0039468607,0.5896076068,0.0042719710,0.5414616650,0.0004828358,0.1702416830,0.0006560831,0.5088304373,0.0009422204,0.0733647022,0.0004420602,0.2570784294,0.0001939650,0.1292791479,0.0004342306,0.0767444557,0.0001951684,0.6033516472,0.0004908327,800,96
0.0000000000,contrastive_mechanism_memory,0.6769791667,0.0037659567,0.6915811546,0.0040307783,0.5981880112,0.0005181793,0.1285062694,0.0005326654,0.5632479606,0.0009484497,0.0626381864,0.0004438715,0.2533411292,0.0001869239,0.1092677188,0.0004002488,0.0629895766,0.0001903911,0.6703991997,0.0004743082,800,96
0.0000000000,invariant_mechanism_alignment,0.6581901042,0.0040039265,0.6546875168,0.0043377488,0.5820352275,0.0005034669,0.1399042291,0.0005538758,0.5478435457,0.0009231356,0.0659131579,0.0004379701,0.2625735985,0.0001961097,0.1160330165,0.0004205600,0.0672128264,0.0001904693,0.6434799945,0.0004981986,800,96
0.0000000000,learned_expected_utility_retrieval,0.6869921875,0.0037507898,0.7012193808,0.0040254041,0.6038269950,0.0004899972,0.1232543867,0.0005384159,0.5744266140,0.0009262577,0.0610929752,0.0004416143,0.2772735694,0.0001869609,0.1058537184,0.0004180526,0.0610311002,0.0001892271,0.6811924964,0.0004876449,800,96
0.0000000000,model_predictive_retrieval_arbitration,0.6942838542,0.0036509316,0.7221550959,0.0038685525,0.6159729100,0.0004908608,0.1159208030,0.0005241729,0.5856975869,0.0009250198,0.0584317318,0.0004393383,0.2690909323,0.0001821274,0.1002886346,0.0004114271,0.0588865116,0.0002015000,0.6975723346,0.0004813025,800,96
0.0000000000,oracle_mechanism_retrieval,0.8106380208,0.0032299194,0.9691449697,0.0025498780,0.7563682875,0.0005048666,0.0415196334,0.0003833680,0.6932652453,0.0009054685,0.0302538575,0.0004223558,0.1744315315,0.0001759700,0.0548703241,0.0003957315,0.0316278166,0.0001910341,0.9032972700,0.0004810000,800,96
0.0000000000,proposed_mechanism_retrieval_controller_v4,0.7104296875,0.0034606460,0.7661889223,0.0037077105,0.6279620337,0.0005024053,0.1020743988,0.0005117458,0.5901447173,0.0009209910,0.0532230198,0.0004336593,0.2279346594,0.0001854724,0.0935636680,0.0004175335,0.0576756191,0.0001865087,0.7293708388,0.0004854172,800,96
0.0000000000,retrieved_context_behavior_clone,0.6214973958,0.0041291155,0.5175895388,0.0045900355,0.4868201787,0.0005024577,0.2503464627,0.0007905855,0.4480093138,0.0009081910,0.0961914155,0.0004682387,0.2160496690,0.0001992863,0.1547590982,0.0004282784,0.1030142972,0.0001939591,0.6941540615,0.0004967206,800,96
0.0000000000,test_time_retrieval_adaptation,0.6473567708,0.0037487715,0.6215802936,0.0040405258,0.5679606075,0.0004794434,0.1512731580,0.0005983187,0.5344134857,0.0009449375,0.0688140542,0.0004305467,0.2878561402,0.0001758425,0.1217765094,0.0004330251,0.0703938780,0.0001873860,0.6165534691,0.0004875645,800,96
