task,regime,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_regret,ci95_regret,mean_calibration_error,ci95_calibration_error,mean_retrieval_coverage,ci95_retrieval_coverage,groups,episodes_per_group
cloth_slide_over_edge,friction_mismatch,0.6105061849,0.0060783071,0.5788503958,0.0107645898,0.5473394609,0.0059669481,0.1784683837,0.0049207320,0.5251874638,0.0055310681,0.0750532247,0.0014488772,0.2317702158,0.0030729228,0.1351125029,0.0022329280,0.0838081015,0.0016567486,0.6236843734,0.0098234064,1280,96
cloth_slide_over_edge,occluded_contact_shift,0.5818847656,0.0066473101,0.5365616589,0.0115658897,0.5401961383,0.0059581741,0.1890026888,0.0050815635,0.5215518506,0.0055263405,0.0828206507,0.0014738487,0.2341117398,0.0030685548,0.1417935627,0.0022420738,0.0864094441,0.0016577668,0.6159388088,0.0097433127,1280,96
cloth_slide_over_edge,source_matched,0.6365641276,0.0056394313,0.6172634021,0.0101139332,0.5538277477,0.0059614393,0.1690001702,0.0047596195,0.5292424598,0.0055288371,0.0686313154,0.0014230681,0.2294866866,0.0030660893,0.1288588403,0.0022345504,0.0814190601,0.0016515616,0.6306351102,0.0098984890,1280,96
cloth_slide_over_edge,support_topology_shift,0.5992919922,0.0063586155,0.5615337208,0.0111353322,0.5440729086,0.0059562407,0.1831852737,0.0049869077,0.5238109250,0.0055336518,0.0786227313,0.0014556245,0.2327706527,0.0030686733,0.1380507219,0.0022403555,0.0849798538,0.0016592044,0.6202324573,0.0097912526,1280,96
cloth_slide_over_edge,tool_geometry_shift,0.5720540365,0.0068760697,0.5191743374,0.0118738559,0.5360336977,0.0059605684,0.1948335668,0.0051895704,0.5191017691,0.0055393330,0.0864033200,0.0014880050,0.2357137638,0.0030670338,0.1460190037,0.0022392914,0.0881196889,0.0016582117,0.6112499622,0.0096814280,1280,96
deformable_packing_corner,actuator_lag_shift,0.5780273437,0.0067107573,0.5271282001,0.0116533216,0.5381588656,0.0059637882,0.1917471907,0.0051416563,0.5123207168,0.0055467676,0.0842288979,0.0014800701,0.2349846875,0.0030697484,0.1441553132,0.0022392432,0.0873684536,0.0016597462,0.6134348815,0.0097075451,1280,96
deformable_packing_corner,compliance_shift,0.6011474609,0.0063147932,0.5591182171,0.0111815564,0.5428472078,0.0059640388,0.1849675237,0.0050358315,0.5146809864,0.0055366238,0.0791999060,0.0014642055,0.2333931051,0.0030690624,0.1399003683,0.0022399064,0.0856271704,0.0016561593,0.6182300434,0.0097657362,1280,96
deformable_packing_corner,compound_mechanism_shift,0.5561604818,0.0073526350,0.4932236390,0.0124771013,0.5318780570,0.0059751335,0.2008783478,0.0052760510,0.5088647333,0.0055586661,0.0914231066,0.0015026258,0.2367984900,0.0030687563,0.1493343573,0.0022457025,0.0894160318,0.0016594338,0.6075649885,0.0096389909,1280,96
deformable_packing_corner,friction_mismatch,0.6141276042,0.0059606021,0.5806199047,0.0106485745,0.5471806203,0.0059793465,0.1784872845,0.0049131259,0.5173816174,0.0055347836,0.0750143935,0.0014452016,0.2317071784,0.0030625669,0.1354251493,0.0022332744,0.0838701912,0.0016516218,0.6233858861,0.0098271690,1280,96
deformable_packing_corner,occluded_contact_shift,0.5881754557,0.0065216572,0.5408446275,0.0114182535,0.5401001227,0.0059636451,0.1890664647,0.0050747479,0.5134133117,0.0055372657,0.0826747318,0.0014733884,0.2341789530,0.0030625870,0.1421000919,0.0022411821,0.0865226261,0.0016608358,0.6158475217,0.0097412460,1280,96
deformable_packing_corner,source_matched,0.6375813802,0.0056674729,0.6159659305,0.0100967785,0.5537165672,0.0059616624,0.1693579539,0.0047606341,0.5211660096,0.0055301181,0.0686647474,0.0014306977,0.2294008060,0.0030732167,0.1289874760,0.0022250364,0.0813381634,0.0016525504,0.6305159209,0.0098893731,1280,96
deformable_packing_corner,support_topology_shift,0.6018473307,0.0063258733,0.5622345805,0.0111267195,0.5443927258,0.0059567973,0.1831708854,0.0049817168,0.5158720953,0.0055305267,0.0785995452,0.0014603376,0.2327682249,0.0030638165,0.1382813546,0.0022369384,0.0849979882,0.0016534248,0.6201373802,0.0097856804,1280,96
deformable_packing_corner,tool_geometry_shift,0.5711263021,0.0069703846,0.5161474259,0.0119953277,0.5361932586,0.0059600397,0.1949313856,0.0051913919,0.5109549840,0.0055411783,0.0864429704,0.0014829767,0.2356867279,0.0030650285,0.1462481445,0.0022520480,0.0881834937,0.0016584503,0.6111675740,0.0096811557,1280,96
drawer_pull_with_stiction,actuator_lag_shift,0.6378092448,0.0067581044,0.5882713674,0.0116601158,0.5385641195,0.0059723304,0.1913642906,0.0051235522,0.5145034561,0.0055406594,0.0832140191,0.0014834372,0.2339008174,0.0030632713,0.1435018809,0.0022344686,0.0870989732,0.0016534467,0.6139526622,0.0097164568,1280,96
drawer_pull_with_stiction,compliance_shift,0.6525960286,0.0063094289,0.6114370483,0.0110484913,0.5431191008,0.0059491835,0.1847551236,0.0050222871,0.5171511730,0.0055329035,0.0782851176,0.0014654202,0.2323828165,0.0030700921,0.1393233032,0.0022367972,0.0854627179,0.0016559110,0.6186616934,0.0097705882,1280,96
drawer_pull_with_stiction,compound_mechanism_shift,0.6098632812,0.0073532632,0.5485248963,0.0123983023,0.5323551047,0.0059560827,0.2001246430,0.0052480812,0.5115043055,0.0055458413,0.0902645227,0.0014942757,0.2359665016,0.0030527520,0.1489971908,0.0022501647,0.0891948365,0.0016603834,0.6078754343,0.0096431677,1280,96
drawer_pull_with_stiction,friction_mismatch,0.6688802083,0.0060487300,0.6356938947,0.0106115706,0.5474097641,0.0059639140,0.1782287164,0.0049047497,0.5196465262,0.0055219665,0.0740560984,0.0014480006,0.2307448685,0.0030612656,0.1348190204,0.0022292603,0.0835647431,0.0016538342,0.6239267703,0.0098355815,1280,96
drawer_pull_with_stiction,occluded_contact_shift,0.6440104167,0.0066670753,0.5974116481,0.0115017353,0.5403453227,0.0059690113,0.1888115489,0.0050759266,0.5160333809,0.0055314570,0.0817885084,0.0014778219,0.2331661628,0.0030697327,0.1414906563,0.0022324784,0.0862100481,0.0016494941,0.6162415600,0.0097426558,1280,96
drawer_pull_with_stiction,source_matched,0.6948974609,0.0056943368,0.6732177910,0.0100194699,0.5539535859,0.0059668514,0.1689486827,0.0047585756,0.5232580375,0.0055248271,0.0675687183,0.0014337200,0.2284669504,0.0030673054,0.1284384554,0.0022237035,0.0811274758,0.0016477392,0.6311470759,0.0098978415,1280,96
drawer_pull_with_stiction,support_topology_shift,0.6565673828,0.0064806787,0.6172198633,0.0111284242,0.5442549219,0.0059738689,0.1831270127,0.0049835441,0.5179814014,0.0055384760,0.0776543663,0.0014676672,0.2317335246,0.0030710539,0.1376781035,0.0022277710,0.0847356853,0.0016514339,0.6207053632,0.0097936644,1280,96
drawer_pull_with_stiction,tool_geometry_shift,0.6285970052,0.0069466588,0.5749454605,0.0119496772,0.5361946453,0.0059666225,0.1946117472,0.0051831900,0.5134101060,0.0055505203,0.0853948325,0.0014872577,0.2346591021,0.0030680521,0.1457558217,0.0022439911,0.0878498059,0.0016532955,0.6116263283,0.0096868750,1280,96
granular_scoop_boundary,actuator_lag_shift,0.5655029297,0.0067455118,0.5158662416,0.0116831975,0.5381011023,0.0059647078,0.1919336625,0.0051478053,0.5180716645,0.0055460012,0.0844389794,0.0014820493,0.2350964832,0.0030645181,0.1441681249,0.0022380502,0.0872642622,0.0016633075,0.6134056615,0.0097118046,1280,96
granular_scoop_boundary,compliance_shift,0.5848958333,0.0063546202,0.5441770475,0.0111872067,0.5427135656,0.0059642925,0.1851466947,0.0050451628,0.5205313982,0.0055329917,0.0794065280,0.0014664935,0.2334635943,0.0030645127,0.1398614486,0.0022393666,0.0856357277,0.0016521752,0.6182298325,0.0097660177,1280,96
granular_scoop_boundary,compound_mechanism_shift,0.5428955078,0.0072358420,0.4814302718,0.0123616470,0.5322777328,0.0059581323,0.2007818820,0.0052669526,0.5152581104,0.0055409122,0.0915695063,0.0015013514,0.2370557309,0.0030645863,0.1495717606,0.0022511350,0.0894470806,0.0016558268,0.6072296385,0.0096328013,1280,96
granular_scoop_boundary,friction_mismatch,0.6033691406,0.0060826116,0.5709546634,0.0108069098,0.5469043586,0.0059676183,0.1787209125,0.0049200463,0.5233829638,0.0055329023,0.0752711811,0.0014537439,0.2318647531,0.0030720959,0.1353920102,0.0022322532,0.0838700855,0.0016554553,0.6232614426,0.0098217450,1280,96
granular_scoop_boundary,occluded_contact_shift,0.5739664714,0.0065537018,0.5277271551,0.0114534103,0.5399424289,0.0059713962,0.1893144364,0.0050921697,0.5194342374,0.0055415102,0.0829516508,0.0014727768,0.2343559225,0.0030686926,0.1420286959,0.0022438920,0.0864703882,0.0016578987,0.6156525353,0.0097378739,1280,96
granular_scoop_boundary,source_matched,0.6223632812,0.0058331050,0.6020418912,0.0103007670,0.5534085594,0.0059672710,0.1692640662,0.0047719204,0.5268953847,0.0055257096,0.0688761698,0.0014365366,0.2296587984,0.0030706690,0.1290889348,0.0022255707,0.0814083190,0.0016512770,0.6303668995,0.0099037433,1280,96
granular_scoop_boundary,support_topology_shift,0.5904134115,0.0062699830,0.5519435604,0.0110829537,0.5437207125,0.0059720779,0.1833016111,0.0049971658,0.5216673222,0.0055457102,0.0788464448,0.0014573288,0.2329673115,0.0030656913,0.1382024919,0.0022442184,0.0851173986,0.0016664483,0.6199602253,0.0097861345,1280,96
granular_scoop_boundary,tool_geometry_shift,0.5586263021,0.0070821930,0.5048846472,0.0121050716,0.5359600469,0.0059557478,0.1950159862,0.0051948910,0.5169827105,0.0055267610,0.0866687761,0.0014905414,0.2358355458,0.0030707140,0.1462574368,0.0022464974,0.0881760044,0.0016628467,0.6109918680,0.0096825047,1280,96
mobile_base_contact_alignment,actuator_lag_shift,0.6029296875,0.0067485558,0.5511603329,0.0116979326,0.5383316547,0.0059786641,0.1914640776,0.0051271796,0.5065388642,0.0055499989,0.0837600807,0.0014754823,0.2344778094,0.0030645951,0.1438677589,0.0022456467,0.0872654413,0.0016651527,0.6139716316,0.0097190067,1280,96
mobile_base_contact_alignment,compliance_shift,0.6211914063,0.0064968666,0.5781958601,0.0113138863,0.5427913977,0.0059662561,0.1847556176,0.0050173686,0.5089416165,0.0055437012,0.0787771417,0.0014675584,0.2328515836,0.0030662896,0.1396784724,0.0022314175,0.0854929841,0.0016570664,0.6186897559,0.0097745979,1280,96
mobile_base_contact_alignment,compound_mechanism_shift,0.5788981120,0.0073536053,0.5152484176,0.0124540814,0.5324083547,0.0059642360,0.2003737971,0.0052615033,0.5035028544,0.0055371199,0.0909433779,0.0015046960,0.2363907186,0.0030592107,0.1492023039,0.0022430081,0.0891859937,0.0016567575,0.6078927244,0.0096437241,1280,96
mobile_base_contact_alignment,friction_mismatch,0.6360595703,0.0060229961,0.6012237693,0.0106965242,0.5472774102,0.0059714375,0.1782749487,0.0049129834,0.5114994024,0.0055358203,0.0746136351,0.0014505779,0.2312984215,0.0030682790,0.1351054116,0.0022303647,0.0837732590,0.0016606688,0.6239117371,0.0098322920,1280,96
mobile_base_contact_alignment,occluded_contact_shift,0.6078125000,0.0067637672,0.5592647828,0.0116501173,0.5401063609,0.0059756807,0.1889614101,0.0050760879,0.5075462200,0.0055497482,0.0822605346,0.0014744617,0.2336603406,0.0030723385,0.1418207096,0.0022352289,0.0863651533,0.0016593589,0.6163091678,0.0097447360,1280,96
mobile_base_contact_alignment,source_matched,0.6607096354,0.0056103685,0.6379821513,0.0099760984,0.5537713898,0.0059595086,0.1689827626,0.0047545094,0.5153897860,0.0055273752,0.0681896207,0.0014262903,0.2290464221,0.0030812620,0.1288221144,0.0022232786,0.0812816075,0.0016531382,0.6308797941,0.0098972126,1280,96
mobile_base_contact_alignment,support_topology_shift,0.6231933594,0.0064488885,0.5822200179,0.0112354819,0.5441253898,0.0059714580,0.1830267488,0.0049841343,0.5099188277,0.0055418464,0.0782831662,0.0014633415,0.2322819648,0.0030724011,0.1378391835,0.0022259789,0.0847789222,0.0016573952,0.6205890160,0.0097955509,1280,96
mobile_base_contact_alignment,tool_geometry_shift,0.5946695964,0.0070282402,0.5386630849,0.0120178716,0.5360590430,0.0059794259,0.1946634755,0.0051750796,0.5050953970,0.0055488938,0.0859994226,0.0014879265,0.2351517202,0.0030613232,0.1460498736,0.0022378449,0.0881039161,0.0016607883,0.6115870357,0.0096891602,1280,96
peg_insert_contact_search,actuator_lag_shift,0.6051920573,0.0067203063,0.5497260873,0.0116527359,0.5386152453,0.0059653655,0.1912218105,0.0051246181,0.4906856604,0.0055495688,0.0837789252,0.0014792457,0.2343051385,0.0030582350,0.1438354521,0.0022337706,0.0870058863,0.0016555887,0.6141058130,0.0097160983,1280,96
peg_insert_contact_search,compliance_shift,0.6202473958,0.0063185033,0.5736656778,0.0111836622,0.5433633063,0.0059547452,0.1845082489,0.0050195870,0.4932565366,0.0055343920,0.0788502829,0.0014642005,0.2328379872,0.0030703345,0.1395700442,0.0022327737,0.0854319498,0.0016554732,0.6188637896,0.0097710256,1280,96
peg_insert_contact_search,compound_mechanism_shift,0.5782063802,0.0073818219,0.5107710908,0.0124738912,0.5324507406,0.0059766504,0.2001155691,0.0052393938,0.4873542898,0.0055526133,0.0907936594,0.0014996372,0.2363952138,0.0030553463,0.1493556734,0.0022410482,0.0891792380,0.0016650442,0.6081052377,0.0096443723,1280,96
peg_insert_contact_search,friction_mismatch,0.6383138021,0.0061683744,0.5999337640,0.0108610586,0.5475683727,0.0059709113,0.1780848457,0.0049010272,0.4959362620,0.0055199298,0.0746347470,0.0014488391,0.2310821255,0.0030610529,0.1350994560,0.0022290218,0.0835270777,0.0016494492,0.6240385370,0.0098331668,1280,96
peg_insert_contact_search,occluded_contact_shift,0.6096842448,0.0066736421,0.5575858242,0.0115662716,0.5405683805,0.0059518475,0.1884635883,0.0050730487,0.4921320778,0.0055290022,0.0823496809,0.0014787109,0.2335508487,0.0030671194,0.1418084278,0.0022276268,0.0861263907,0.0016504023,0.6164092386,0.0097431241,1280,96
peg_insert_contact_search,source_matched,0.6613606771,0.0057266277,0.6346621617,0.0101206759,0.5539750383,0.0059595484,0.1687928236,0.0047501421,0.4994219796,0.0055228079,0.0681599727,0.0014302408,0.2287588724,0.0030652790,0.1288048221,0.0022195393,0.0810542866,0.0016451880,0.6313569379,0.0098991909,1280,96
peg_insert_contact_search,support_topology_shift,0.6241943359,0.0064497935,0.5794417708,0.0112081171,0.5443028922,0.0059633225,0.1827868685,0.0049799131,0.4943096271,0.0055236906,0.0783169351,0.0014646344,0.2321893535,0.0030718136,0.1378232608,0.0022312155,0.0845442866,0.0016506655,0.6207951497,0.0097927317,1280,96
peg_insert_contact_search,tool_geometry_shift,0.5959472656,0.0069459197,0.5364117029,0.0119599006,0.5364994062,0.0059681150,0.1943534116,0.0051738977,0.4894451106,0.0055440683,0.0859764982,0.0014856519,0.2350084352,0.0030695284,0.1460254103,0.0022456742,0.0877838388,0.0016550850,0.6117725624,0.0096868992,1280,96
snap_fit_latch_release,actuator_lag_shift,0.5941975911,0.0066888814,0.5409208349,0.0116643482,0.5383985531,0.0059677489,0.1914237518,0.0051357400,0.5003457704,0.0055411430,0.0838222724,0.0014792942,0.2345774275,0.0030654366,0.1442425762,0.0022399083,0.0872095272,0.0016580533,0.6137696546,0.0097159769,1280,96
snap_fit_latch_release,compliance_shift,0.6077962240,0.0063937943,0.5632256203,0.0112069223,0.5430825367,0.0059717874,0.1845315418,0.0050298887,0.5027822212,0.0055357095,0.0788892634,0.0014644534,0.2332016951,0.0030662007,0.1400412363,0.0022344861,0.0855536823,0.0016549334,0.6185413013,0.0097714842,1280,96
snap_fit_latch_release,compound_mechanism_shift,0.5679036458,0.0072384166,0.5024223534,0.0123579174,0.5323387367,0.0059738427,0.2007674753,0.0052661180,0.4972455979,0.0055420549,0.0910791334,0.0015004434,0.2366088880,0.0030582325,0.1494385062,0.0022483545,0.0893036291,0.0016584228,0.6077449904,0.0096413966,1280,96
snap_fit_latch_release,friction_mismatch,0.6276204427,0.0060640918,0.5913956690,0.0107369479,0.5474892578,0.0059637237,0.1783616073,0.0049115309,0.5057641595,0.0055380610,0.0748119109,0.0014500632,0.2315920646,0.0030743793,0.1352603800,0.0022307121,0.0837580485,0.0016605549,0.6235346410,0.0098274037,1280,96
snap_fit_latch_release,occluded_contact_shift,0.5966552734,0.0065515536,0.5465809907,0.0114476573,0.5400968391,0.0059502128,0.1888977640,0.0050811825,0.5016386401,0.0055316374,0.0824539306,0.0014683786,0.2339675121,0.0030656550,0.1420643789,0.0022405909,0.0864308794,0.0016627967,0.6160988617,0.0097426684,1280,96
snap_fit_latch_release,source_matched,0.6509847005,0.0056559430,0.6265759843,0.0101071098,0.5537833930,0.0059609008,0.1690439212,0.0047572089,0.5095212489,0.0055283889,0.0683705069,0.0014334450,0.2291926915,0.0030701495,0.1290392252,0.0022216593,0.0812225499,0.0016539808,0.6306465211,0.0098959501,1280,96
snap_fit_latch_release,support_topology_shift,0.6147460938,0.0062380850,0.5723842337,0.0110379931,0.5443894422,0.0059643587,0.1829709192,0.0049907569,0.5039672024,0.0055329349,0.0783908112,0.0014567848,0.2325136781,0.0030679280,0.1380777442,0.0022368684,0.0848541530,0.0016550297,0.6203654455,0.0097891712,1280,96
snap_fit_latch_release,tool_geometry_shift,0.5815022786,0.0070173711,0.5238317894,0.0120049669,0.5363202242,0.0059589493,0.1945821459,0.0051830271,0.4993825383,0.0055368956,0.0863015694,0.0014855703,0.2354389040,0.0030684350,0.1461187671,0.0022478770,0.0880743318,0.0016576212,0.6112963629,0.0096830210,1280,96
twist_lid_with_force_limit,actuator_lag_shift,0.6174886068,0.0066980641,0.5605460077,0.0116256334,0.5386949117,0.0059693453,0.1912617236,0.0051303285,0.4846414455,0.0055398436,0.0834739671,0.0014752204,0.2341647540,0.0030698727,0.1441517315,0.0022450196,0.0869705249,0.0016546528,0.6140346632,0.0097142456,1280,96
twist_lid_with_force_limit,compliance_shift,0.6352213542,0.0065001316,0.5867901686,0.0112742474,0.5430758172,0.0059693644,0.1845438496,0.0050120674,0.4871298343,0.0055281122,0.0785505203,0.0014627099,0.2325778042,0.0030560131,0.1398904175,0.0022357074,0.0853845522,0.0016501221,0.6187827006,0.0097769403,1280,96
twist_lid_with_force_limit,compound_mechanism_shift,0.5970865885,0.0073326572,0.5280757724,0.0124041745,0.5324172039,0.0059687142,0.2003481971,0.0052462672,0.4812995564,0.0055567897,0.0904617957,0.0014939665,0.2361657307,0.0030581720,0.1496098737,0.0022475699,0.0892719687,0.0016623490,0.6080645568,0.0096438613,1280,96
twist_lid_with_force_limit,friction_mismatch,0.6503906250,0.0059645190,0.6101382875,0.0106237155,0.5476231344,0.0059720707,0.1782711143,0.0049077025,0.4897088183,0.0055414313,0.0744552514,0.0014540854,0.2310185609,0.0030699924,0.1352738195,0.0022247535,0.0836193900,0.0016480508,0.6238816639,0.0098255418,1280,96
twist_lid_with_force_limit,occluded_contact_shift,0.6261230469,0.0065404620,0.5722949883,0.0114088879,0.5403865477,0.0059530418,0.1887388022,0.0050789440,0.4859932157,0.0055312076,0.0820668458,0.0014754774,0.2334233055,0.0030719284,0.1419688120,0.0022353891,0.0861750066,0.0016521970,0.6162709941,0.0097412137,1280,96
twist_lid_with_force_limit,source_matched,0.6771809896,0.0055774711,0.6489150697,0.0099780818,0.5538565992,0.0059656766,0.1689726235,0.0047436780,0.4933607936,0.0055235357,0.0679650383,0.0014283762,0.2286437076,0.0030693317,0.1289894863,0.0022242333,0.0811379243,0.0016529573,0.6310801083,0.0099033165,1280,96
twist_lid_with_force_limit,support_topology_shift,0.6398111979,0.0063242358,0.5934636609,0.0110861126,0.5443727477,0.0059577763,0.1830620824,0.0049927466,0.4880941641,0.0055281167,0.0780535848,0.0014630027,0.2319748307,0.0030734980,0.1381163394,0.0022330440,0.0847429775,0.0016497367,0.6206958621,0.0097932286,1280,96
twist_lid_with_force_limit,tool_geometry_shift,0.6100748698,0.0068686412,0.5488110041,0.0118866992,0.5364726617,0.0059712596,0.1945830747,0.0051806873,0.4835067029,0.0055445894,0.0857844730,0.0014849537,0.2349281268,0.0030629644,0.1462249865,0.0022426275,0.0878184650,0.0016546019,0.6115850603,0.0096875989,1280,96
