task,regime,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_regret,ci95_regret,mean_calibration_error,ci95_calibration_error,mean_retrieval_coverage,ci95_retrieval_coverage,groups,episodes_per_group
bimanual_handoff_force_match,actuator_lag_shift,0.5952311198,0.0065753860,0.5443254215,0.0115427537,0.5383573578,0.0059736011,0.1916086012,0.0051313032,0.5101799427,0.0055475678,0.0838577154,0.0014785658,0.2346145581,0.0030725605,0.1440085762,0.0022385955,0.0873242259,0.0016630004,0.6138124984,0.0097163712,1280,96
bimanual_handoff_force_match,compliance_shift,0.6086181641,0.0063790158,0.5663763112,0.0112472281,0.5428564539,0.0059639116,0.1848110045,0.0050313036,0.5128440273,0.0055296005,0.0789684566,0.0014640387,0.2331250316,0.0030683479,0.1397517715,0.0022362335,0.0855109300,0.0016611449,0.6185816547,0.0097754809,1280,96
bimanual_handoff_force_match,compound_mechanism_shift,0.5724283854,0.0073138913,0.5094799677,0.0124130089,0.5323269414,0.0059588525,0.2007153833,0.0052665384,0.5072925506,0.0055262642,0.0911603050,0.0015095576,0.2364737362,0.0030649993,0.1492068138,0.0022402586,0.0892583024,0.0016590882,0.6076330848,0.0096403699,1280,96
bimanual_handoff_force_match,friction_mismatch,0.6273518880,0.0061068682,0.5933839400,0.0108027564,0.5471586453,0.0059610107,0.1784804255,0.0049087316,0.5155300851,0.0055322287,0.0748124810,0.0014539081,0.2314530408,0.0030696791,0.1351969245,0.0022275255,0.0837992431,0.0016571600,0.6235572230,0.0098258219,1280,96
bimanual_handoff_force_match,occluded_contact_shift,0.6011555990,0.0065883633,0.5535296251,0.0114768296,0.5400861867,0.0059778525,0.1889559181,0.0050791538,0.5113655311,0.0055534409,0.0824265026,0.0014752402,0.2339035396,0.0030693516,0.1419065930,0.0022353133,0.0864440845,0.0016609886,0.6160061682,0.0097415931,1280,96
bimanual_handoff_force_match,source_matched,0.6508544922,0.0056443080,0.6287635243,0.0100714019,0.5537225977,0.0059806712,0.1689568292,0.0047533847,0.5191155368,0.0055339460,0.0683478730,0.0014263257,0.2291626770,0.0030701402,0.1289862058,0.0022265742,0.0812541499,0.0016511875,0.6307644028,0.0099007930,1280,96
bimanual_handoff_force_match,support_topology_shift,0.6136230469,0.0062962113,0.5736885064,0.0110587821,0.5440723867,0.0059744919,0.1831854014,0.0049823657,0.5137652227,0.0055497303,0.0783489211,0.0014559211,0.2325049836,0.0030725549,0.1380320159,0.0022342707,0.0849120680,0.0016575223,0.6203786833,0.0097907373,1280,96
bimanual_handoff_force_match,tool_geometry_shift,0.5847249349,0.0069514731,0.5294181615,0.0119721078,0.5359775258,0.0059718702,0.1948095773,0.0051812269,0.5089027742,0.0055482120,0.0861760630,0.0014823309,0.2354240376,0.0030629853,0.1461702717,0.0022483932,0.0881777423,0.0016659825,0.6113533518,0.0096883120,1280,96
cable_route_around_hook,actuator_lag_shift,0.5722819010,0.0067424277,0.5243731239,0.0117099804,0.5381502711,0.0059768868,0.1917562310,0.0051376869,0.5240944161,0.0055364429,0.0842558791,0.0014794489,0.2349293901,0.0030627081,0.1440506872,0.0022405067,0.0871979306,0.0016582450,0.6135226739,0.0097135958,1280,96
cable_route_around_hook,compliance_shift,0.5900960286,0.0063335555,0.5510650069,0.0111942244,0.5427335859,0.0059687036,0.1850109741,0.0050411701,0.5265125986,0.0055342953,0.0793220006,0.0014656539,0.2333483204,0.0030636825,0.1397612452,0.0022404669,0.0856513682,0.0016532961,0.6182505430,0.0097697904,1280,96
cable_route_around_hook,compound_mechanism_shift,0.5499755859,0.0072544223,0.4902216295,0.0123433992,0.5323049172,0.0059616006,0.2007528919,0.0052713510,0.5214397127,0.0055367443,0.0914992013,0.0015032892,0.2369031395,0.0030638923,0.1492829997,0.0022465073,0.0893690124,0.0016544504,0.6072394904,0.0096317859,1280,96
cable_route_around_hook,friction_mismatch,0.6052327474,0.0059822212,0.5745339633,0.0106901828,0.5469936680,0.0059605657,0.1785877857,0.0049259684,0.5293786477,0.0055340488,0.0752250009,0.0014510561,0.2319056142,0.0030730953,0.1351061441,0.0022286030,0.0838591847,0.0016557055,0.6233335181,0.0098237479,1280,96
cable_route_around_hook,occluded_contact_shift,0.5774169922,0.0064379543,0.5328682331,0.0113530346,0.5398529211,0.0059684214,0.1892411768,0.0050878588,0.5254788110,0.0055474978,0.0828841882,0.0014725123,0.2342135137,0.0030716121,0.1418800812,0.0022422061,0.0864353976,0.0016586199,0.6157776318,0.0097412446,1280,96
cable_route_around_hook,source_matched,0.6323160807,0.0055844447,0.6138272228,0.0100509459,0.5534103742,0.0059704863,0.1692873027,0.0047634675,0.5331811052,0.0055287774,0.0687000405,0.0014281928,0.2294644960,0.0030750195,0.1289424812,0.0022255386,0.0814046309,0.0016520455,0.6304598055,0.0098946534,1280,96
cable_route_around_hook,support_topology_shift,0.5934244792,0.0061806993,0.5565811879,0.0109899103,0.5437625203,0.0059604450,0.1832205351,0.0049930217,0.5276027397,0.0055393677,0.0788144843,0.0014585920,0.2329014026,0.0030709384,0.1380179716,0.0022348342,0.0850775931,0.0016621544,0.6201216779,0.0097903158,1280,96
cable_route_around_hook,tool_geometry_shift,0.5654541016,0.0067946939,0.5133518665,0.0118132452,0.5358596453,0.0059539579,0.1949818438,0.0051959624,0.5229821923,0.0055451201,0.0865620412,0.0014882066,0.2358381598,0.0030774284,0.1461176754,0.0022435954,0.0881979389,0.0016627081,0.6110355550,0.0096798049,1280,96
cloth_slide_over_edge,actuator_lag_shift,0.5763264974,0.0066865438,0.5277119827,0.0116663954,0.5382569922,0.0059642209,0.1915129618,0.0051372036,0.5202922449,0.0055364315,0.0842342741,0.0014756925,0.2348822603,0.0030688723,0.1439016041,0.0022433765,0.0872628288,0.0016567830,0.6135863756,0.0097162127,1280,96
cloth_slide_over_edge,compliance_shift,0.5981689453,0.0062359818,0.5583803303,0.0110617096,0.5425305570,0.0059614281,0.1848825604,0.0050301785,0.5228015473,0.0055367652,0.0791266249,0.0014609231,0.2332152207,0.0030697084,0.1396888155,0.0022402580,0.0856088033,0.0016521568,0.6183563312,0.0097688347,1280,96
cloth_slide_over_edge,compound_mechanism_shift,0.5561116536,0.0072131518,0.4955045614,0.0123273950,0.5322903633,0.0059688327,0.2006418571,0.0052730607,0.5173146648,0.0055420179,0.0913878515,0.0014982958,0.2368028931,0.0030605214,0.1491576696,0.0022509220,0.0892855646,0.0016545934,0.6074891592,0.0096354210,1280,96
