method,split,task,regime,mean_success_rate,ci95_success_rate,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_damage_rate,ci95_damage_rate,mean_recovery_success,ci95_recovery_success,mean_query_cost,ci95_query_cost,mean_calibration_error,ci95_calibration_error,groups,episodes_per_group
conformal_retrieval_filter,cross_embodiment,twist_lid_with_force_limit,friction_mismatch,0.602041,0.031740,0.532462,0.001395,0.185133,0.001037,0.077392,0.000998,0.481802,0.001514,0.262024,0.000814,0.080284,0.000691,7,84
conformal_retrieval_filter,cross_embodiment,twist_lid_with_force_limit,occluded_contact_shift,0.600340,0.056207,0.528922,0.001460,0.197529,0.001085,0.082427,0.002100,0.477805,0.001584,0.266691,0.001017,0.085432,0.000724,7,84
conformal_retrieval_filter,cross_embodiment,twist_lid_with_force_limit,source_matched,0.676871,0.040552,0.548811,0.001357,0.170811,0.001008,0.069741,0.001095,0.481412,0.001472,0.260301,0.000865,0.079071,0.000671,7,84
conformal_retrieval_filter,cross_embodiment,twist_lid_with_force_limit,support_topology_shift,0.605442,0.046508,0.527626,0.001460,0.186095,0.001085,0.080648,0.001331,0.473154,0.001584,0.260707,0.001046,0.083731,0.002568,7,84
conformal_retrieval_filter,heldout_mechanism,cable_route_around_hook,actuator_lag_shift,0.561224,0.042426,0.531500,0.001383,0.190019,0.002851,0.080979,0.000854,0.509079,0.001586,0.262288,0.002001,0.084784,0.002398,7,84
conformal_retrieval_filter,heldout_mechanism,cable_route_around_hook,compliance_shift,0.593537,0.025166,0.530631,0.001357,0.189089,0.001008,0.076602,0.001753,0.519703,0.005422,0.259480,0.000750,0.082224,0.002610,7,84
conformal_retrieval_filter,heldout_mechanism,cable_route_around_hook,compound_mechanism_shift,0.554422,0.032942,0.523646,0.001460,0.205508,0.001085,0.089028,0.001861,0.516148,0.001584,0.268246,0.000553,0.086570,0.000724,7,84
conformal_retrieval_filter,heldout_mechanism,cable_route_around_hook,friction_mismatch,0.608844,0.039581,0.537251,0.001370,0.179001,0.003590,0.072519,0.002903,0.521053,0.005774,0.258812,0.002714,0.081401,0.001942,7,84
conformal_retrieval_filter,heldout_mechanism,cable_route_around_hook,occluded_contact_shift,0.566327,0.031329,0.532929,0.005147,0.187381,0.001066,0.082253,0.002675,0.513765,0.001556,0.264803,0.000794,0.082655,0.000711,7,84
conformal_retrieval_filter,heldout_mechanism,cable_route_around_hook,source_matched,0.619048,0.038103,0.543303,0.001331,0.167248,0.003929,0.066923,0.000540,0.521840,0.005363,0.258563,0.000441,0.076229,0.000585,7,84
conformal_retrieval_filter,heldout_mechanism,cable_route_around_hook,support_topology_shift,0.602041,0.033333,0.539350,0.001434,0.183450,0.003868,0.077422,0.000497,0.517495,0.005707,0.258819,0.000536,0.081518,0.002663,7,84
conformal_retrieval_filter,heldout_mechanism,cloth_slide_over_edge,actuator_lag_shift,0.605442,0.037218,0.528145,0.001357,0.192120,0.003914,0.081268,0.000843,0.504822,0.004257,0.262406,0.000820,0.080980,0.000599,7,84
conformal_retrieval_filter,heldout_mechanism,cloth_slide_over_edge,compliance_shift,0.583333,0.056009,0.530924,0.001331,0.185350,0.003929,0.078223,0.001022,0.509493,0.005363,0.263327,0.000834,0.081282,0.000585,7,84
conformal_retrieval_filter,heldout_mechanism,cloth_slide_over_edge,compound_mechanism_shift,0.534014,0.047881,0.525354,0.001434,0.204547,0.003558,0.091769,0.000874,0.504848,0.005758,0.264940,0.000747,0.084099,0.001894,7,84
conformal_retrieval_filter,heldout_mechanism,cloth_slide_over_edge,friction_mismatch,0.569728,0.030732,0.535719,0.001344,0.179040,0.003603,0.072945,0.000975,0.513785,0.005835,0.259865,0.000980,0.077328,0.000605,7,84
conformal_retrieval_filter,heldout_mechanism,cloth_slide_over_edge,occluded_contact_shift,0.547619,0.051926,0.529138,0.001408,0.192586,0.001047,0.083816,0.001329,0.514040,0.004281,0.263298,0.001026,0.080976,0.000697,7,84
conformal_retrieval_filter,heldout_mechanism,cloth_slide_over_edge,source_matched,0.668367,0.036158,0.547244,0.001306,0.164531,0.000970,0.064679,0.002914,0.518266,0.001416,0.255397,0.000551,0.074843,0.001915,7,84
conformal_retrieval_filter,heldout_mechanism,cloth_slide_over_edge,support_topology_shift,0.598639,0.040643,0.535559,0.005167,0.181795,0.001047,0.074734,0.001411,0.512899,0.001528,0.261673,0.002428,0.083146,0.000697,7,84
conformal_retrieval_filter,heldout_mechanism,drawer_pull_with_stiction,actuator_lag_shift,0.612245,0.044054,0.531429,0.001408,0.193029,0.003883,0.084836,0.001168,0.501562,0.005307,0.263888,0.001067,0.082564,0.000625,7,84
conformal_retrieval_filter,heldout_mechanism,drawer_pull_with_stiction,compliance_shift,0.670068,0.032886,0.537723,0.004769,0.183749,0.001027,0.076044,0.000650,0.507713,0.001500,0.259730,0.000548,0.078861,0.000684,7,84
conformal_retrieval_filter,heldout_mechanism,drawer_pull_with_stiction,compound_mechanism_shift,0.579932,0.034427,0.520383,0.001485,0.200979,0.001104,0.090091,0.000996,0.500196,0.001612,0.265176,0.002415,0.088335,0.000737,7,84
conformal_retrieval_filter,heldout_mechanism,drawer_pull_with_stiction,friction_mismatch,0.649660,0.029627,0.535044,0.001395,0.178694,0.001037,0.072977,0.000810,0.513838,0.001514,0.258343,0.000676,0.076910,0.000691,7,84
conformal_retrieval_filter,heldout_mechanism,drawer_pull_with_stiction,occluded_contact_shift,0.637755,0.037367,0.532255,0.001460,0.191654,0.001085,0.079778,0.002111,0.510664,0.001584,0.263528,0.000951,0.082443,0.000724,7,84
conformal_retrieval_filter,heldout_mechanism,drawer_pull_with_stiction,source_matched,0.673469,0.034854,0.550697,0.001357,0.163851,0.001008,0.065959,0.000605,0.512685,0.001472,0.256986,0.000504,0.075339,0.000671,7,84
conformal_retrieval_filter,heldout_mechanism,drawer_pull_with_stiction,support_topology_shift,0.630952,0.019052,0.531815,0.001460,0.180862,0.001085,0.077570,0.000891,0.506950,0.001584,0.258140,0.000762,0.081183,0.002568,7,84
conformal_retrieval_filter,heldout_mechanism,peg_insert_contact_search,actuator_lag_shift,0.610544,0.043119,0.535214,0.001408,0.189103,0.001047,0.081367,0.003051,0.476305,0.001528,0.264294,0.002514,0.085155,0.000697,7,84
conformal_retrieval_filter,heldout_mechanism,peg_insert_contact_search,compliance_shift,0.608844,0.041811,0.530969,0.001383,0.187356,0.001027,0.080495,0.000470,0.485736,0.004291,0.263703,0.000373,0.082036,0.000684,7,84
conformal_retrieval_filter,heldout_mechanism,peg_insert_contact_search,compound_mechanism_shift,0.542517,0.051135,0.521480,0.001485,0.201898,0.001104,0.092072,0.001040,0.476867,0.001612,0.263594,0.000803,0.086239,0.002558,7,84
conformal_retrieval_filter,heldout_mechanism,peg_insert_contact_search,friction_mismatch,0.593537,0.032773,0.539276,0.001395,0.178534,0.003577,0.075676,0.002124,0.486362,0.005752,0.262021,0.000938,0.079793,0.000631,7,84
conformal_retrieval_filter,heldout_mechanism,peg_insert_contact_search,occluded_contact_shift,0.554422,0.041633,0.534248,0.001460,0.193244,0.001085,0.080889,0.000767,0.483171,0.005346,0.264181,0.002544,0.084238,0.000724,7,84
conformal_retrieval_filter,heldout_mechanism,peg_insert_contact_search,source_matched,0.637755,0.037019,0.547126,0.005208,0.168129,0.001008,0.066968,0.002590,0.494262,0.001472,0.256477,0.002454,0.078974,0.000671,7,84
conformal_retrieval_filter,heldout_mechanism,peg_insert_contact_search,support_topology_shift,0.629252,0.027622,0.533808,0.001460,0.182453,0.001085,0.079335,0.000943,0.484602,0.001584,0.259936,0.000786,0.078403,0.000724,7,84
conformal_retrieval_filter,heldout_mechanism,twist_lid_with_force_limit,actuator_lag_shift,0.634354,0.025313,0.529596,0.005157,0.191072,0.001056,0.081182,0.002755,0.473974,0.001542,0.264735,0.001849,0.084826,0.000704,7,84
conformal_retrieval_filter,heldout_mechanism,twist_lid_with_force_limit,compliance_shift,0.591837,0.043716,0.532291,0.001395,0.187669,0.001037,0.079898,0.001129,0.480987,0.004286,0.262469,0.000888,0.080573,0.000691,7,84
conformal_retrieval_filter,heldout_mechanism,twist_lid_with_force_limit,compound_mechanism_shift,0.574830,0.018856,0.524773,0.005097,0.201974,0.003830,0.089170,0.002656,0.466627,0.004207,0.266086,0.000724,0.084615,0.000671,7,84
conformal_retrieval_filter,heldout_mechanism,twist_lid_with_force_limit,friction_mismatch,0.617347,0.043928,0.541702,0.001408,0.177961,0.003883,0.075892,0.000933,0.477745,0.005307,0.260767,0.000787,0.078866,0.000625,7,84
conformal_retrieval_filter,heldout_mechanism,twist_lid_with_force_limit,occluded_contact_shift,0.644558,0.043928,0.530759,0.004710,0.186520,0.001095,0.080934,0.000895,0.473292,0.001598,0.260185,0.002025,0.083674,0.002359,7,84
conformal_retrieval_filter,heldout_mechanism,twist_lid_with_force_limit,source_matched,0.659864,0.022111,0.548526,0.005198,0.166786,0.001018,0.067792,0.000778,0.487095,0.001486,0.258165,0.000665,0.076377,0.000678,7,84
conformal_retrieval_filter,heldout_mechanism,twist_lid_with_force_limit,support_topology_shift,0.637755,0.032546,0.541753,0.001472,0.184304,0.003539,0.074795,0.002369,0.476953,0.005725,0.261657,0.000714,0.080281,0.000670,7,84
conformal_retrieval_filter,heldout_object,cable_route_around_hook,actuator_lag_shift,0.595238,0.053886,0.532618,0.004795,0.190078,0.000999,0.077751,0.001230,0.522297,0.004307,0.259269,0.000936,0.079675,0.002403,7,84
conformal_retrieval_filter,heldout_object,cable_route_around_hook,compliance_shift,0.605442,0.053989,0.539292,0.005238,0.182799,0.000979,0.074825,0.001217,0.523651,0.005450,0.260541,0.000923,0.078485,0.000651,7,84
conformal_retrieval_filter,heldout_object,cable_route_around_hook,compound_mechanism_shift,0.552721,0.040046,0.527626,0.005157,0.195708,0.001056,0.084920,0.001358,0.514972,0.001542,0.264871,0.002059,0.085001,0.000704,7,84
conformal_retrieval_filter,heldout_object,cable_route_around_hook,friction_mismatch,0.596939,0.058815,0.545246,0.005228,0.173927,0.000989,0.068690,0.000642,0.529350,0.001444,0.256443,0.000401,0.075065,0.001910,7,84
conformal_retrieval_filter,heldout_object,cable_route_around_hook,occluded_contact_shift,0.539116,0.046587,0.540263,0.003792,0.181811,0.001037,0.078362,0.001558,0.518765,0.001514,0.258888,0.001221,0.079409,0.002594,7,84
conformal_retrieval_filter,heldout_object,cable_route_around_hook,source_matched,0.634354,0.034801,0.550143,0.001293,0.157878,0.000960,0.061649,0.001819,0.526437,0.001402,0.254092,0.000719,0.071524,0.000638,7,84
conformal_retrieval_filter,heldout_object,cable_route_around_hook,support_topology_shift,0.585034,0.045379,0.539542,0.001395,0.181100,0.001037,0.076858,0.000960,0.524622,0.005393,0.259481,0.000749,0.077046,0.000691,7,84
conformal_retrieval_filter,heldout_object,cloth_slide_over_edge,actuator_lag_shift,0.569728,0.059691,0.530122,0.001319,0.186045,0.003937,0.081711,0.001412,0.508972,0.004271,0.263121,0.001913,0.081950,0.000579,7,84
conformal_retrieval_filter,heldout_object,cloth_slide_over_edge,compliance_shift,0.656463,0.034694,0.538157,0.001293,0.176357,0.000960,0.070894,0.001032,0.514527,0.001402,0.258285,0.000825,0.076824,0.000638,7,84
conformal_retrieval_filter,heldout_object,cloth_slide_over_edge,compound_mechanism_shift,0.547619,0.029250,0.527908,0.001395,0.197189,0.003891,0.087987,0.002992,0.507124,0.005317,0.266395,0.000719,0.084191,0.000618,7,84
conformal_retrieval_filter,heldout_object,cloth_slide_over_edge,friction_mismatch,0.620748,0.037565,0.540001,0.001306,0.169548,0.003622,0.072549,0.000612,0.512945,0.001557,0.257086,0.003013,0.079389,0.000585,7,84
conformal_retrieval_filter,heldout_object,cloth_slide_over_edge,occluded_contact_shift,0.588435,0.037712,0.537332,0.001370,0.180883,0.002854,0.077409,0.001006,0.509972,0.001572,0.259188,0.000874,0.078093,0.001961,7,84
conformal_retrieval_filter,heldout_object,cloth_slide_over_edge,source_matched,0.625850,0.041633,0.552657,0.005279,0.161033,0.003967,0.063739,0.003123,0.521032,0.005409,0.254494,0.000958,0.071860,0.000553,7,84
conformal_retrieval_filter,heldout_object,cloth_slide_over_edge,support_topology_shift,0.602041,0.029187,0.538898,0.004778,0.178456,0.001018,0.076423,0.000889,0.521043,0.001486,0.260233,0.000734,0.077986,0.000678,7,84
conformal_retrieval_filter,heldout_object,drawer_pull_with_stiction,actuator_lag_shift,0.675170,0.038682,0.537471,0.001370,0.183278,0.001018,0.077090,0.001197,0.505302,0.001486,0.258461,0.000951,0.078712,0.001903,7,84
