method,split,task,regime,mean_success_rate,ci95_success_rate,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_damage_rate,ci95_damage_rate,mean_recovery_success,ci95_recovery_success,mean_query_cost,ci95_query_cost,mean_calibration_error,ci95_calibration_error,groups,episodes_per_group
conformal_retrieval_filter,combined_stress,cable_route_around_hook,actuator_lag_shift,0.496599,0.045461,0.517086,0.005208,0.211133,0.001008,0.093904,0.002351,0.507273,0.001472,0.271899,0.002407,0.093477,0.000671,7,84
conformal_retrieval_filter,combined_stress,cable_route_around_hook,compliance_shift,0.505102,0.030490,0.526582,0.003815,0.202540,0.000989,0.086607,0.002215,0.509282,0.001444,0.267746,0.000630,0.089101,0.002620,7,84
conformal_retrieval_filter,combined_stress,cable_route_around_hook,compound_mechanism_shift,0.496599,0.026317,0.508092,0.001434,0.220621,0.001066,0.097367,0.000916,0.503009,0.001556,0.274904,0.002334,0.095728,0.000711,7,84
conformal_retrieval_filter,combined_stress,cable_route_around_hook,friction_mismatch,0.602041,0.034480,0.531233,0.003810,0.194407,0.000999,0.083484,0.002479,0.510912,0.001458,0.267237,0.002810,0.089616,0.000665,7,84
conformal_retrieval_filter,combined_stress,cable_route_around_hook,occluded_contact_shift,0.523810,0.029250,0.521135,0.005167,0.205314,0.001047,0.088946,0.000983,0.504743,0.001528,0.268554,0.002244,0.091458,0.002381,7,84
conformal_retrieval_filter,combined_stress,cable_route_around_hook,source_matched,0.549320,0.015635,0.533467,0.004821,0.184935,0.003622,0.077408,0.000721,0.512457,0.005868,0.267103,0.001962,0.086006,0.000585,7,84
conformal_retrieval_filter,combined_stress,cable_route_around_hook,support_topology_shift,0.557823,0.027622,0.525844,0.001408,0.200099,0.003883,0.087771,0.000814,0.504025,0.005307,0.268598,0.000805,0.087155,0.000625,7,84
conformal_retrieval_filter,combined_stress,cloth_slide_over_edge,actuator_lag_shift,0.528912,0.064578,0.517463,0.005228,0.212423,0.000989,0.090478,0.001347,0.502080,0.004312,0.270530,0.000998,0.089143,0.000658,7,84
conformal_retrieval_filter,combined_stress,cloth_slide_over_edge,compliance_shift,0.564626,0.049591,0.521460,0.004821,0.203136,0.003622,0.087839,0.001283,0.500502,0.005868,0.270106,0.002166,0.091152,0.000585,7,84
conformal_retrieval_filter,combined_stress,cloth_slide_over_edge,compound_mechanism_shift,0.503401,0.028219,0.513532,0.001408,0.218850,0.003883,0.101326,0.002019,0.490771,0.004238,0.275281,0.000878,0.093870,0.000625,7,84
conformal_retrieval_filter,combined_stress,cloth_slide_over_edge,friction_mismatch,0.557823,0.037218,0.528861,0.005238,0.197065,0.000979,0.081459,0.000665,0.507716,0.004317,0.267852,0.000535,0.086218,0.000651,7,84
conformal_retrieval_filter,combined_stress,cloth_slide_over_edge,occluded_contact_shift,0.491497,0.047140,0.521076,0.001383,0.204563,0.003583,0.088728,0.001217,0.493996,0.001641,0.269015,0.002411,0.091442,0.002411,7,84
conformal_retrieval_filter,combined_stress,cloth_slide_over_edge,source_matched,0.608844,0.030732,0.536566,0.001280,0.183122,0.000951,0.074565,0.001216,0.510451,0.001388,0.266714,0.000974,0.085263,0.000632,7,84
conformal_retrieval_filter,combined_stress,cloth_slide_over_edge,support_topology_shift,0.578231,0.039063,0.521211,0.003796,0.201063,0.001027,0.086627,0.001101,0.506073,0.001500,0.268321,0.000876,0.087170,0.000684,7,84
conformal_retrieval_filter,combined_stress,drawer_pull_with_stiction,actuator_lag_shift,0.554422,0.033333,0.522116,0.001383,0.205483,0.001027,0.089123,0.000907,0.490344,0.001500,0.268854,0.002312,0.092255,0.002389,7,84
conformal_retrieval_filter,combined_stress,drawer_pull_with_stiction,compliance_shift,0.573129,0.043033,0.520480,0.001357,0.202261,0.003596,0.084462,0.002474,0.497623,0.005785,0.266995,0.002279,0.090413,0.002475,7,84
conformal_retrieval_filter,combined_stress,drawer_pull_with_stiction,compound_mechanism_shift,0.535714,0.029250,0.516790,0.001460,0.219438,0.003853,0.097416,0.000708,0.487456,0.005271,0.273955,0.002320,0.095277,0.000651,7,84
conformal_retrieval_filter,combined_stress,drawer_pull_with_stiction,friction_mismatch,0.615646,0.054772,0.527267,0.001370,0.194015,0.003906,0.080057,0.002053,0.496515,0.005335,0.266030,0.002381,0.089707,0.000605,7,84
conformal_retrieval_filter,combined_stress,drawer_pull_with_stiction,occluded_contact_shift,0.625850,0.016777,0.516414,0.001434,0.206072,0.001066,0.086890,0.002020,0.497170,0.001556,0.271448,0.000519,0.091192,0.000711,7,84
conformal_retrieval_filter,combined_stress,drawer_pull_with_stiction,source_matched,0.659864,0.032942,0.532240,0.001331,0.183167,0.003929,0.073308,0.000712,0.501197,0.005363,0.263622,0.000819,0.082868,0.000585,7,84
conformal_retrieval_filter,combined_stress,drawer_pull_with_stiction,support_topology_shift,0.579932,0.053817,0.527983,0.003778,0.197427,0.003558,0.085912,0.001219,0.491444,0.001697,0.265751,0.001103,0.087971,0.002632,7,84
conformal_retrieval_filter,combined_stress,peg_insert_contact_search,actuator_lag_shift,0.552721,0.026387,0.517762,0.005188,0.208933,0.001027,0.092372,0.000519,0.471043,0.001500,0.270788,0.000474,0.089639,0.000684,7,84
conformal_retrieval_filter,combined_stress,peg_insert_contact_search,compliance_shift,0.622449,0.041589,0.526169,0.001357,0.197808,0.001008,0.085403,0.001501,0.469355,0.001472,0.268663,0.001183,0.088103,0.000671,7,84
conformal_retrieval_filter,combined_stress,peg_insert_contact_search,compound_mechanism_shift,0.471088,0.045216,0.514322,0.004718,0.217442,0.003545,0.100170,0.000723,0.460203,0.001725,0.271996,0.002079,0.094650,0.002384,7,84
conformal_retrieval_filter,combined_stress,peg_insert_contact_search,friction_mismatch,0.568027,0.029565,0.532508,0.001370,0.190941,0.001018,0.081672,0.001194,0.472834,0.001486,0.266544,0.000966,0.084911,0.000678,7,84
conformal_retrieval_filter,combined_stress,peg_insert_contact_search,occluded_contact_shift,0.545918,0.034319,0.519415,0.001434,0.208179,0.001066,0.089563,0.000963,0.475906,0.001556,0.267864,0.002048,0.091087,0.002372,7,84
conformal_retrieval_filter,combined_stress,peg_insert_contact_search,source_matched,0.564626,0.034102,0.538825,0.001331,0.181101,0.000989,0.076623,0.002153,0.478987,0.001444,0.263187,0.002498,0.086766,0.000658,7,84
conformal_retrieval_filter,combined_stress,peg_insert_contact_search,support_topology_shift,0.559524,0.025459,0.524124,0.005147,0.196103,0.001066,0.088281,0.000579,0.470317,0.001556,0.268194,0.000525,0.086660,0.000711,7,84
conformal_retrieval_filter,combined_stress,twist_lid_with_force_limit,actuator_lag_shift,0.551020,0.025313,0.516727,0.004761,0.209344,0.001037,0.091476,0.000358,0.466229,0.001514,0.269379,0.000377,0.089366,0.001898,7,84
conformal_retrieval_filter,combined_stress,twist_lid_with_force_limit,compliance_shift,0.593537,0.018659,0.525212,0.001370,0.198278,0.002854,0.083952,0.000824,0.462055,0.001572,0.266531,0.000760,0.087870,0.002431,7,84
conformal_retrieval_filter,combined_stress,twist_lid_with_force_limit,compound_mechanism_shift,0.523810,0.022194,0.510763,0.001472,0.219390,0.001095,0.101614,0.000800,0.462780,0.001598,0.271993,0.000693,0.091999,0.001885,7,84
conformal_retrieval_filter,combined_stress,twist_lid_with_force_limit,friction_mismatch,0.610544,0.034427,0.532655,0.001383,0.190524,0.001027,0.079278,0.001227,0.466811,0.001500,0.263964,0.000983,0.087502,0.002599,7,84
conformal_retrieval_filter,combined_stress,twist_lid_with_force_limit,occluded_contact_shift,0.561224,0.040870,0.525083,0.001447,0.205041,0.003860,0.090270,0.000982,0.460766,0.004224,0.267281,0.000910,0.090671,0.002633,7,84
conformal_retrieval_filter,combined_stress,twist_lid_with_force_limit,source_matched,0.629252,0.049216,0.535660,0.001344,0.179915,0.002861,0.074361,0.001213,0.469270,0.001544,0.264359,0.001038,0.083113,0.000629,7,84
conformal_retrieval_filter,combined_stress,twist_lid_with_force_limit,support_topology_shift,0.591837,0.020184,0.522931,0.001447,0.199826,0.001075,0.085732,0.002269,0.470339,0.001570,0.268517,0.000912,0.087511,0.000717,7,84
conformal_retrieval_filter,cross_embodiment,cable_route_around_hook,actuator_lag_shift,0.552721,0.040689,0.524187,0.001370,0.198844,0.003906,0.084622,0.001996,0.507546,0.005335,0.264517,0.001974,0.087304,0.002449,7,84
conformal_retrieval_filter,cross_embodiment,cable_route_around_hook,compliance_shift,0.528912,0.038055,0.527357,0.003810,0.194082,0.000999,0.079670,0.001044,0.515148,0.005431,0.263370,0.000830,0.083264,0.002403,7,84
conformal_retrieval_filter,cross_embodiment,cable_route_around_hook,compound_mechanism_shift,0.525510,0.033166,0.520336,0.005137,0.205330,0.001075,0.095550,0.001244,0.504043,0.001570,0.268188,0.001004,0.086356,0.000717,7,84
conformal_retrieval_filter,cross_embodiment,cable_route_around_hook,friction_mismatch,0.571429,0.032603,0.530706,0.001357,0.186687,0.001008,0.075896,0.002676,0.520429,0.004302,0.261828,0.002615,0.084285,0.001906,7,84
conformal_retrieval_filter,cross_embodiment,cable_route_around_hook,occluded_contact_shift,0.566327,0.039063,0.529213,0.001421,0.197188,0.003564,0.086455,0.000900,0.511094,0.005769,0.265280,0.000765,0.083561,0.000644,7,84
conformal_retrieval_filter,cross_embodiment,cable_route_around_hook,source_matched,0.596939,0.023570,0.539422,0.001319,0.171787,0.003937,0.071089,0.000702,0.516621,0.004271,0.262697,0.000756,0.080388,0.000579,7,84
conformal_retrieval_filter,cross_embodiment,cable_route_around_hook,support_topology_shift,0.591837,0.064750,0.527917,0.001421,0.189185,0.001056,0.077664,0.001822,0.516596,0.001542,0.264728,0.002096,0.085353,0.000704,7,84
conformal_retrieval_filter,cross_embodiment,cloth_slide_over_edge,actuator_lag_shift,0.530612,0.038055,0.522686,0.001344,0.198841,0.003921,0.085849,0.001121,0.502879,0.005353,0.266458,0.001099,0.084355,0.000592,7,84
conformal_retrieval_filter,cross_embodiment,cloth_slide_over_edge,compliance_shift,0.552721,0.017533,0.527218,0.001319,0.189954,0.003937,0.082636,0.000667,0.504460,0.004271,0.266492,0.001958,0.085495,0.000579,7,84
conformal_retrieval_filter,cross_embodiment,cloth_slide_over_edge,compound_mechanism_shift,0.522109,0.060767,0.514752,0.001421,0.209125,0.001056,0.092358,0.001578,0.504921,0.001542,0.267825,0.001984,0.090581,0.001894,7,84
conformal_retrieval_filter,cross_embodiment,cloth_slide_over_edge,friction_mismatch,0.573129,0.042426,0.531029,0.001331,0.184622,0.003609,0.076260,0.000876,0.510178,0.005846,0.263205,0.000845,0.081067,0.000598,7,84
conformal_retrieval_filter,cross_embodiment,cloth_slide_over_edge,occluded_contact_shift,0.511905,0.044680,0.527277,0.005178,0.195144,0.001037,0.085670,0.001247,0.508591,0.001514,0.265169,0.000979,0.082645,0.000691,7,84
conformal_retrieval_filter,cross_embodiment,cloth_slide_over_edge,source_matched,0.617347,0.041811,0.545218,0.001293,0.172110,0.000960,0.068277,0.001305,0.517577,0.001402,0.260831,0.001024,0.078806,0.000638,7,84
conformal_retrieval_filter,cross_embodiment,cloth_slide_over_edge,support_topology_shift,0.573129,0.037908,0.535128,0.001395,0.187140,0.003577,0.080739,0.002829,0.503802,0.001655,0.266404,0.000727,0.084437,0.000631,7,84
conformal_retrieval_filter,cross_embodiment,drawer_pull_with_stiction,actuator_lag_shift,0.610544,0.046027,0.522062,0.001395,0.200139,0.001037,0.086004,0.001498,0.505482,0.001514,0.264907,0.001174,0.083935,0.000691,7,84
conformal_retrieval_filter,cross_embodiment,drawer_pull_with_stiction,compliance_shift,0.619048,0.038778,0.534682,0.001370,0.187028,0.001018,0.078786,0.001005,0.500895,0.001486,0.262315,0.000801,0.082182,0.001903,7,84
conformal_retrieval_filter,cross_embodiment,drawer_pull_with_stiction,compound_mechanism_shift,0.545918,0.037565,0.521880,0.001472,0.211092,0.001095,0.092988,0.002730,0.500783,0.004256,0.268649,0.000899,0.087188,0.000730,7,84
conformal_retrieval_filter,cross_embodiment,drawer_pull_with_stiction,friction_mismatch,0.664966,0.044514,0.540166,0.003796,0.181235,0.001027,0.073845,0.000941,0.505942,0.001500,0.259507,0.000735,0.080869,0.002389,7,84
conformal_retrieval_filter,cross_embodiment,drawer_pull_with_stiction,occluded_contact_shift,0.595238,0.033389,0.528771,0.005137,0.191170,0.001075,0.085277,0.001101,0.498353,0.001570,0.263487,0.000894,0.083188,0.001889,7,84
conformal_retrieval_filter,cross_embodiment,drawer_pull_with_stiction,source_matched,0.678571,0.039768,0.544762,0.001344,0.168389,0.000999,0.068514,0.001369,0.507706,0.001458,0.259626,0.001082,0.078379,0.000665,7,84
conformal_retrieval_filter,cross_embodiment,drawer_pull_with_stiction,support_topology_shift,0.598639,0.053090,0.534336,0.001447,0.191743,0.001075,0.077572,0.001537,0.508658,0.004266,0.265531,0.001194,0.083991,0.000717,7,84
conformal_retrieval_filter,cross_embodiment,peg_insert_contact_search,actuator_lag_shift,0.571429,0.022194,0.526336,0.001395,0.198207,0.003891,0.087086,0.002545,0.472967,0.005317,0.268324,0.000732,0.086760,0.000618,7,84
conformal_retrieval_filter,cross_embodiment,peg_insert_contact_search,compliance_shift,0.598639,0.050074,0.530704,0.005198,0.190914,0.001018,0.082666,0.001100,0.482018,0.001486,0.265918,0.000844,0.084416,0.000678,7,84
conformal_retrieval_filter,cross_embodiment,peg_insert_contact_search,compound_mechanism_shift,0.544218,0.049814,0.523466,0.001472,0.210574,0.002827,0.090941,0.001168,0.472905,0.005749,0.270199,0.000872,0.088694,0.000695,7,84
conformal_retrieval_filter,cross_embodiment,peg_insert_contact_search,friction_mismatch,0.591837,0.039347,0.531166,0.001383,0.184785,0.001027,0.078530,0.001369,0.486575,0.001500,0.263625,0.001085,0.081730,0.000684,7,84
conformal_retrieval_filter,cross_embodiment,peg_insert_contact_search,occluded_contact_shift,0.576531,0.037712,0.526679,0.004727,0.193040,0.001075,0.085341,0.002778,0.476533,0.001570,0.265722,0.000860,0.084043,0.000717,7,84
conformal_retrieval_filter,cross_embodiment,peg_insert_contact_search,source_matched,0.602041,0.055277,0.546253,0.004795,0.172947,0.000999,0.069440,0.002880,0.489811,0.001458,0.257602,0.002203,0.081074,0.001908,7,84
conformal_retrieval_filter,cross_embodiment,peg_insert_contact_search,support_topology_shift,0.574830,0.034801,0.536818,0.001447,0.188467,0.003860,0.079638,0.000921,0.479325,0.005696,0.263264,0.002417,0.085896,0.000644,7,84
conformal_retrieval_filter,cross_embodiment,twist_lid_with_force_limit,actuator_lag_shift,0.579932,0.067687,0.528736,0.001408,0.197669,0.003883,0.087611,0.001307,0.466899,0.004238,0.267299,0.001425,0.085850,0.000625,7,84
conformal_retrieval_filter,cross_embodiment,twist_lid_with_force_limit,compliance_shift,0.605442,0.043631,0.530896,0.005188,0.190434,0.001027,0.080982,0.000998,0.476037,0.001500,0.263813,0.000783,0.082404,0.000684,7,84
conformal_retrieval_filter,cross_embodiment,twist_lid_with_force_limit,compound_mechanism_shift,0.537415,0.021257,0.516482,0.001485,0.206428,0.001104,0.093670,0.001014,0.466715,0.001612,0.268126,0.002491,0.091032,0.000737,7,84
