method,split,seed,mean_success_rate,ci95_success_rate,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_damage_rate,ci95_damage_rate,mean_recovery_success,ci95_recovery_success,mean_query_cost,ci95_query_cost,mean_calibration_error,ci95_calibration_error,groups,episodes_per_group
conformal_retrieval_filter,heldout_mechanism,6,0.622109,0.019306,0.535141,0.002571,0.184885,0.003850,0.078449,0.002523,0.497984,0.005888,0.261663,0.001106,0.081514,0.001179,35,84
conformal_retrieval_filter,heldout_object,0,0.613265,0.021821,0.539910,0.002694,0.178634,0.003867,0.074800,0.002383,0.503289,0.006150,0.258967,0.001209,0.078535,0.001426,35,84
conformal_retrieval_filter,heldout_object,1,0.624490,0.022215,0.540766,0.002688,0.178927,0.003823,0.074556,0.002337,0.502173,0.006015,0.258536,0.001200,0.078266,0.001388,35,84
conformal_retrieval_filter,heldout_object,2,0.608844,0.018991,0.540707,0.002789,0.179220,0.003907,0.075307,0.002355,0.502086,0.005731,0.259167,0.001223,0.078455,0.001346,35,84
conformal_retrieval_filter,heldout_object,3,0.641156,0.021648,0.539276,0.003269,0.178484,0.003932,0.074565,0.002511,0.503069,0.005723,0.258669,0.001130,0.078396,0.001355,35,84
conformal_retrieval_filter,heldout_object,4,0.627551,0.020440,0.538303,0.003047,0.178433,0.003936,0.075020,0.002360,0.504025,0.005721,0.259043,0.001218,0.078579,0.001266,35,84
conformal_retrieval_filter,heldout_object,5,0.604082,0.017828,0.539159,0.003042,0.179069,0.003941,0.075953,0.002333,0.502896,0.005493,0.259097,0.001236,0.078316,0.001215,35,84
conformal_retrieval_filter,heldout_object,6,0.631973,0.021333,0.539100,0.002854,0.179705,0.003947,0.075859,0.002312,0.502795,0.005567,0.258890,0.001198,0.078511,0.001117,35,84
conformal_retrieval_filter,seen_corpus,0,0.644898,0.014834,0.545693,0.002790,0.170646,0.003656,0.070769,0.002200,0.509066,0.006026,0.254336,0.001166,0.074964,0.001196,35,84
conformal_retrieval_filter,seen_corpus,1,0.629932,0.022765,0.546525,0.002784,0.170921,0.003616,0.070350,0.002359,0.508953,0.006031,0.254946,0.001143,0.074683,0.001380,35,84
conformal_retrieval_filter,seen_corpus,2,0.644898,0.018086,0.546899,0.002790,0.170853,0.003344,0.069992,0.002324,0.509368,0.005844,0.254450,0.001308,0.074396,0.001433,35,84
conformal_retrieval_filter,seen_corpus,3,0.635714,0.018405,0.545902,0.002766,0.170785,0.003467,0.070346,0.002471,0.510298,0.005834,0.254750,0.001145,0.073880,0.001279,35,84
conformal_retrieval_filter,seen_corpus,4,0.632993,0.018487,0.545362,0.003056,0.171060,0.003480,0.070825,0.002492,0.510185,0.005896,0.254959,0.001072,0.073827,0.001204,35,84
conformal_retrieval_filter,seen_corpus,5,0.640136,0.017458,0.544821,0.003149,0.171678,0.003485,0.070675,0.002546,0.509543,0.006459,0.255259,0.001101,0.074238,0.001208,35,84
conformal_retrieval_filter,seen_corpus,6,0.626871,0.020470,0.545196,0.002923,0.171610,0.003542,0.070653,0.002544,0.507900,0.005984,0.255616,0.001102,0.074180,0.001274,35,84
language_episode_retrieval,combined_stress,0,0.415306,0.025770,0.395387,0.002565,0.421632,0.005848,0.140524,0.003097,0.351978,0.005492,0.187024,0.001449,0.149895,0.001082,35,84
language_episode_retrieval,combined_stress,1,0.409524,0.026461,0.394878,0.002718,0.421588,0.006008,0.140599,0.003153,0.352428,0.005635,0.187064,0.001368,0.149396,0.001402,35,84
language_episode_retrieval,combined_stress,2,0.391497,0.024421,0.395285,0.002674,0.422230,0.006013,0.141199,0.003013,0.351822,0.006151,0.187732,0.001330,0.148908,0.001404,35,84
language_episode_retrieval,combined_stress,3,0.421769,0.028654,0.394777,0.002649,0.422529,0.006109,0.140121,0.003105,0.352259,0.006096,0.187496,0.001390,0.149101,0.001448,35,84
language_episode_retrieval,combined_stress,4,0.408163,0.031676,0.395184,0.002692,0.422141,0.006240,0.140327,0.002996,0.351694,0.006636,0.187187,0.001506,0.149281,0.001412,35,84
language_episode_retrieval,combined_stress,5,0.403741,0.029982,0.396048,0.002685,0.422440,0.006168,0.140629,0.002884,0.351615,0.006460,0.186751,0.001327,0.149245,0.001292,35,84
language_episode_retrieval,combined_stress,6,0.385034,0.023817,0.396454,0.002671,0.422053,0.006212,0.140937,0.002821,0.351565,0.006596,0.186971,0.001236,0.149654,0.001293,35,84
language_episode_retrieval,cross_embodiment,0,0.457483,0.027795,0.403330,0.002721,0.397049,0.006278,0.133594,0.002979,0.358867,0.006206,0.181525,0.001270,0.143825,0.001480,35,84
language_episode_retrieval,cross_embodiment,1,0.447279,0.024747,0.403744,0.002826,0.397697,0.006284,0.133356,0.002915,0.359298,0.006392,0.181859,0.001199,0.143799,0.001496,35,84
language_episode_retrieval,cross_embodiment,2,0.459184,0.026462,0.404616,0.002820,0.397316,0.006149,0.133056,0.002982,0.358742,0.006055,0.181427,0.001242,0.143755,0.001416,35,84
language_episode_retrieval,cross_embodiment,3,0.440816,0.026500,0.404574,0.003157,0.397621,0.006179,0.133871,0.002947,0.359187,0.005980,0.181875,0.001233,0.143494,0.001374,35,84
language_episode_retrieval,cross_embodiment,4,0.460204,0.027391,0.403616,0.003010,0.397240,0.006201,0.133649,0.003056,0.360175,0.005977,0.181795,0.001309,0.143450,0.001219,35,84
language_episode_retrieval,cross_embodiment,5,0.450000,0.025287,0.402659,0.003072,0.397545,0.006162,0.133386,0.002895,0.360620,0.005847,0.182358,0.001277,0.143418,0.001155,35,84
language_episode_retrieval,cross_embodiment,6,0.463605,0.026577,0.402616,0.002859,0.398193,0.006167,0.133358,0.002835,0.360022,0.005744,0.181673,0.001287,0.143621,0.001149,35,84
language_episode_retrieval,heldout_mechanism,0,0.492177,0.021622,0.407876,0.002957,0.385625,0.006120,0.129483,0.002847,0.363070,0.006068,0.179219,0.001365,0.141092,0.001353,35,84
language_episode_retrieval,heldout_mechanism,1,0.479592,0.027099,0.408299,0.002871,0.385593,0.006155,0.130160,0.002954,0.362508,0.005650,0.178904,0.001492,0.140830,0.001399,35,84
language_episode_retrieval,heldout_mechanism,2,0.479932,0.027052,0.408264,0.003183,0.384875,0.006124,0.130070,0.002896,0.363003,0.005873,0.179095,0.001334,0.141012,0.001303,35,84
language_episode_retrieval,heldout_mechanism,3,0.486395,0.024800,0.406857,0.003330,0.384843,0.006275,0.130138,0.002956,0.363471,0.006064,0.179428,0.001387,0.141207,0.001282,35,84
language_episode_retrieval,heldout_mechanism,4,0.467347,0.024563,0.407280,0.003129,0.384811,0.006157,0.130716,0.002869,0.363939,0.005912,0.179204,0.001295,0.141173,0.001338,35,84
language_episode_retrieval,heldout_mechanism,5,0.485034,0.022091,0.405416,0.002815,0.385465,0.006162,0.130153,0.002740,0.364894,0.005906,0.178923,0.001207,0.140694,0.001416,35,84
language_episode_retrieval,heldout_mechanism,6,0.486054,0.025008,0.405838,0.002841,0.385776,0.006086,0.129441,0.002469,0.364833,0.006126,0.179333,0.001236,0.140895,0.001318,35,84
language_episode_retrieval,heldout_object,0,0.519728,0.026577,0.411522,0.002865,0.372642,0.005898,0.126026,0.002886,0.368355,0.006224,0.176041,0.001444,0.138707,0.001050,35,84
language_episode_retrieval,heldout_object,1,0.498639,0.026350,0.410091,0.002651,0.372249,0.005818,0.125920,0.002762,0.367781,0.005788,0.176291,0.001503,0.138883,0.001086,35,84
language_episode_retrieval,heldout_object,2,0.498299,0.026042,0.410490,0.002614,0.371856,0.005951,0.125855,0.002664,0.366693,0.006323,0.176479,0.001481,0.139059,0.001107,35,84
language_episode_retrieval,heldout_object,3,0.505782,0.029303,0.411346,0.002607,0.371463,0.006186,0.125635,0.002891,0.366634,0.006423,0.176100,0.001416,0.137863,0.001350,35,84
language_episode_retrieval,heldout_object,4,0.513265,0.020264,0.412202,0.002601,0.371070,0.006191,0.125643,0.002835,0.367089,0.006298,0.176179,0.001284,0.138040,0.001441,35,84
language_episode_retrieval,heldout_object,5,0.486735,0.028598,0.411686,0.002666,0.371020,0.006206,0.125671,0.002591,0.368045,0.006286,0.176276,0.001340,0.137765,0.001480,35,84
language_episode_retrieval,heldout_object,6,0.510884,0.024074,0.412542,0.002660,0.371313,0.006164,0.125398,0.002761,0.366414,0.006008,0.176350,0.001312,0.137953,0.001441,35,84
language_episode_retrieval,seen_corpus,0,0.552721,0.018922,0.419134,0.002954,0.352054,0.006125,0.120337,0.002806,0.373607,0.006034,0.172535,0.001231,0.134223,0.001253,35,84
language_episode_retrieval,seen_corpus,1,0.544558,0.020027,0.418594,0.002762,0.352672,0.006130,0.120493,0.002911,0.373481,0.006027,0.172363,0.001443,0.134634,0.001255,35,84
language_episode_retrieval,seen_corpus,2,0.546259,0.021213,0.418054,0.002550,0.352604,0.006031,0.120629,0.002668,0.373381,0.006071,0.172739,0.001361,0.134575,0.001249,35,84
language_episode_retrieval,seen_corpus,3,0.566667,0.020830,0.417514,0.002449,0.352879,0.006239,0.120417,0.002704,0.373783,0.005969,0.171481,0.001340,0.133837,0.001236,35,84
language_episode_retrieval,seen_corpus,4,0.551701,0.023430,0.417431,0.002436,0.352468,0.006262,0.120403,0.002521,0.373697,0.005842,0.171405,0.001274,0.134001,0.001239,35,84
language_episode_retrieval,seen_corpus,5,0.552041,0.025364,0.417806,0.002663,0.352743,0.006189,0.120135,0.002477,0.373584,0.006027,0.171800,0.001305,0.134177,0.001224,35,84
language_episode_retrieval,seen_corpus,6,0.536395,0.022595,0.418181,0.002755,0.352332,0.005774,0.119907,0.002742,0.373498,0.006028,0.172419,0.001265,0.134112,0.001429,35,84
no_retrieval_controller,combined_stress,0,0.340816,0.019769,0.281051,0.002969,0.247221,0.003669,0.124509,0.002617,0.290484,0.005844,0.088343,0.001256,0.128659,0.001095,35,84
no_retrieval_controller,combined_stress,1,0.334354,0.019613,0.281434,0.002961,0.247502,0.003744,0.124610,0.002718,0.290380,0.005546,0.088608,0.001304,0.129068,0.001099,35,84
no_retrieval_controller,combined_stress,2,0.349320,0.021260,0.281359,0.002782,0.246754,0.003263,0.124205,0.002555,0.290316,0.005242,0.088574,0.001254,0.129001,0.001228,35,84
no_retrieval_controller,combined_stress,3,0.329252,0.023293,0.281285,0.002880,0.247035,0.003460,0.123663,0.002432,0.291241,0.005242,0.089030,0.001381,0.129410,0.001236,35,84
no_retrieval_controller,combined_stress,4,0.352041,0.018157,0.280295,0.003120,0.246972,0.003602,0.123382,0.002341,0.291665,0.005170,0.087972,0.001289,0.129356,0.001312,35,84
no_retrieval_controller,combined_stress,5,0.328912,0.019324,0.280678,0.002903,0.247596,0.003607,0.124071,0.002482,0.292576,0.005164,0.088242,0.001316,0.129542,0.001288,35,84
no_retrieval_controller,combined_stress,6,0.344218,0.020480,0.280146,0.002661,0.247877,0.003424,0.123736,0.002496,0.293501,0.005157,0.088203,0.001295,0.129723,0.001281,35,84
no_retrieval_controller,cross_embodiment,0,0.364286,0.024373,0.289219,0.003227,0.237501,0.003421,0.118494,0.002333,0.299603,0.005687,0.082760,0.001260,0.124569,0.001352,35,84
no_retrieval_controller,cross_embodiment,1,0.355442,0.020475,0.289152,0.003219,0.238131,0.003426,0.118673,0.002171,0.300008,0.005564,0.083063,0.001170,0.124302,0.001366,35,84
no_retrieval_controller,cross_embodiment,2,0.354422,0.026631,0.288171,0.002873,0.238417,0.003459,0.119126,0.002321,0.299913,0.005176,0.083257,0.001257,0.124258,0.001295,35,84
no_retrieval_controller,cross_embodiment,3,0.363265,0.017095,0.288104,0.002736,0.238704,0.003479,0.119154,0.002283,0.299817,0.005322,0.083084,0.001168,0.123756,0.001314,35,84
no_retrieval_controller,cross_embodiment,4,0.372449,0.018489,0.287123,0.002749,0.238648,0.003717,0.119150,0.002216,0.298706,0.006142,0.083134,0.001176,0.123477,0.001216,35,84
no_retrieval_controller,cross_embodiment,5,0.367347,0.026598,0.287513,0.002788,0.238592,0.003690,0.118288,0.002738,0.298624,0.006493,0.083157,0.001179,0.123656,0.001226,35,84
no_retrieval_controller,cross_embodiment,6,0.363946,0.019587,0.288361,0.002782,0.237850,0.003691,0.118255,0.002709,0.298570,0.006138,0.082926,0.000954,0.123822,0.001207,35,84
no_retrieval_controller,heldout_mechanism,0,0.384354,0.019571,0.292472,0.002779,0.232712,0.003786,0.115441,0.002652,0.302600,0.005523,0.080698,0.001035,0.121310,0.001268,35,84
no_retrieval_controller,heldout_mechanism,1,0.363946,0.019018,0.292413,0.002542,0.232662,0.003636,0.115804,0.002738,0.302527,0.005964,0.081167,0.001052,0.121492,0.001224,35,84
no_retrieval_controller,heldout_mechanism,2,0.384354,0.016418,0.292355,0.002827,0.232612,0.003525,0.115579,0.002467,0.303483,0.005944,0.081293,0.001000,0.121446,0.001103,35,84
no_retrieval_controller,heldout_mechanism,3,0.379932,0.017674,0.292296,0.003008,0.232905,0.003454,0.115877,0.002453,0.303396,0.006013,0.081538,0.001032,0.121406,0.000951,35,84
no_retrieval_controller,heldout_mechanism,4,0.384694,0.016534,0.292237,0.002834,0.233541,0.003459,0.116017,0.002556,0.303295,0.006010,0.081426,0.001051,0.121600,0.001010,35,84
no_retrieval_controller,heldout_mechanism,5,0.374150,0.018106,0.290806,0.002623,0.233491,0.003298,0.115954,0.002512,0.302708,0.005980,0.080614,0.001275,0.121554,0.001031,35,84
no_retrieval_controller,heldout_mechanism,6,0.377891,0.017595,0.291205,0.002587,0.233441,0.003358,0.115834,0.002402,0.302120,0.006121,0.080516,0.001348,0.121965,0.001036,35,84
no_retrieval_controller,heldout_object,0,0.382993,0.019191,0.296889,0.002559,0.226972,0.003558,0.112805,0.002512,0.305891,0.006046,0.078082,0.001287,0.119211,0.001220,35,84
no_retrieval_controller,heldout_object,1,0.372449,0.022096,0.296349,0.002462,0.227590,0.003562,0.113009,0.002514,0.306279,0.005948,0.078630,0.001398,0.119165,0.001212,35,84
no_retrieval_controller,heldout_object,2,0.386054,0.020810,0.296267,0.002447,0.226835,0.003779,0.113084,0.002498,0.306207,0.005809,0.077467,0.001315,0.118408,0.001202,35,84
no_retrieval_controller,heldout_object,3,0.391497,0.018494,0.296641,0.002674,0.227453,0.003784,0.112739,0.002037,0.306595,0.005788,0.077105,0.001149,0.118591,0.001203,35,84
no_retrieval_controller,heldout_object,4,0.387755,0.017749,0.297016,0.002765,0.227042,0.003490,0.112273,0.002207,0.306509,0.006123,0.077557,0.001156,0.118755,0.001186,35,84
no_retrieval_controller,heldout_object,5,0.385714,0.016211,0.297390,0.002771,0.227317,0.003302,0.112052,0.002297,0.306396,0.005815,0.077986,0.001127,0.118702,0.001388,35,84
no_retrieval_controller,heldout_object,6,0.397619,0.020984,0.296850,0.002832,0.227249,0.003318,0.111527,0.002455,0.307326,0.005796,0.077304,0.001191,0.117729,0.001341,35,84
no_retrieval_controller,seen_corpus,0,0.401361,0.018139,0.302386,0.002721,0.218391,0.003620,0.108394,0.002449,0.311885,0.006159,0.074638,0.001231,0.114572,0.001228,35,84
no_retrieval_controller,seen_corpus,1,0.410204,0.020679,0.302737,0.002465,0.218648,0.003433,0.108171,0.002387,0.312260,0.005990,0.074673,0.001239,0.114736,0.001186,35,84
no_retrieval_controller,seen_corpus,2,0.416327,0.019286,0.303545,0.002460,0.219248,0.003438,0.108486,0.002447,0.313136,0.005984,0.074061,0.001155,0.114677,0.001049,35,84
no_retrieval_controller,seen_corpus,3,0.396259,0.022608,0.303438,0.002345,0.219505,0.003396,0.108612,0.002428,0.312997,0.005987,0.074501,0.001151,0.114384,0.001233,35,84
no_retrieval_controller,seen_corpus,4,0.414626,0.020859,0.303789,0.002469,0.220105,0.003401,0.107996,0.002475,0.312843,0.005596,0.074403,0.001291,0.114783,0.001236,35,84
no_retrieval_controller,seen_corpus,5,0.416667,0.016513,0.304139,0.002543,0.220019,0.003587,0.108112,0.002284,0.312718,0.005794,0.074305,0.001325,0.114940,0.001286,35,84
no_retrieval_controller,seen_corpus,6,0.408503,0.016645,0.304033,0.002727,0.220276,0.003679,0.108458,0.002325,0.312578,0.005892,0.074579,0.001233,0.114647,0.001316,35,84
oracle_mechanism_retrieval,combined_stress,0,0.754422,0.019086,0.687331,0.002565,0.055622,0.002194,0.045287,0.002569,0.638574,0.005458,0.184281,0.001269,0.050311,0.001029,35,84
oracle_mechanism_retrieval,combined_stress,1,0.778912,0.016100,0.686822,0.002718,0.055578,0.002329,0.044757,0.002548,0.639024,0.005605,0.183896,0.001151,0.049811,0.001343,35,84
oracle_mechanism_retrieval,combined_stress,2,0.758163,0.014373,0.687229,0.002674,0.056220,0.002334,0.045411,0.002419,0.638418,0.006129,0.184603,0.001160,0.049324,0.001346,35,84
oracle_mechanism_retrieval,combined_stress,3,0.759864,0.020099,0.687178,0.002886,0.056519,0.002424,0.044905,0.002501,0.638854,0.006071,0.184766,0.001165,0.049517,0.001388,35,84
oracle_mechanism_retrieval,combined_stress,4,0.768367,0.018158,0.687128,0.002692,0.056132,0.002543,0.044668,0.002223,0.638803,0.006405,0.184149,0.001252,0.049697,0.001354,35,84
oracle_mechanism_retrieval,combined_stress,5,0.769048,0.016183,0.687992,0.002685,0.056431,0.002484,0.044868,0.002236,0.638211,0.006437,0.183640,0.001149,0.049661,0.001238,35,84
oracle_mechanism_retrieval,combined_stress,6,0.753741,0.018345,0.688398,0.002671,0.056044,0.002523,0.045108,0.002287,0.638160,0.006565,0.183813,0.001110,0.050070,0.001239,35,84
oracle_mechanism_retrieval,cross_embodiment,0,0.775510,0.018329,0.695274,0.002721,0.052900,0.002566,0.040419,0.002429,0.644588,0.006178,0.179077,0.001125,0.044634,0.001422,35,84
oracle_mechanism_retrieval,cross_embodiment,1,0.773129,0.017792,0.696146,0.002714,0.053548,0.002571,0.040024,0.002469,0.645019,0.006367,0.179302,0.001157,0.044608,0.001437,35,84
oracle_mechanism_retrieval,cross_embodiment,2,0.768027,0.015845,0.696560,0.002820,0.053167,0.002438,0.040064,0.002316,0.644463,0.006029,0.179107,0.000953,0.044564,0.001360,35,84
oracle_mechanism_retrieval,cross_embodiment,3,0.764966,0.018284,0.696518,0.003157,0.053472,0.002458,0.040572,0.002416,0.644908,0.005953,0.179341,0.001060,0.044303,0.001318,35,84
oracle_mechanism_retrieval,cross_embodiment,4,0.784354,0.017292,0.695560,0.003010,0.053091,0.002479,0.040351,0.002448,0.645896,0.005950,0.179261,0.001136,0.044259,0.001166,35,84
oracle_mechanism_retrieval,cross_embodiment,5,0.782313,0.015994,0.694603,0.003072,0.053396,0.002439,0.039924,0.002292,0.646341,0.005820,0.179710,0.001097,0.044227,0.001103,35,84
oracle_mechanism_retrieval,cross_embodiment,6,0.776190,0.018910,0.694560,0.002859,0.054044,0.002443,0.040291,0.002230,0.645743,0.005722,0.179300,0.001051,0.044430,0.001096,35,84
oracle_mechanism_retrieval,heldout_mechanism,0,0.775510,0.020137,0.699820,0.002957,0.052539,0.002418,0.037831,0.002387,0.648348,0.006036,0.177256,0.001217,0.042101,0.001299,35,84
oracle_mechanism_retrieval,heldout_mechanism,1,0.792517,0.019162,0.700243,0.002871,0.052507,0.002462,0.037916,0.002470,0.647787,0.005624,0.176527,0.001347,0.041838,0.001342,35,84
oracle_mechanism_retrieval,heldout_mechanism,2,0.785034,0.017869,0.700208,0.003183,0.052132,0.002412,0.038009,0.002368,0.648268,0.005846,0.176827,0.001223,0.041798,0.001221,35,84
oracle_mechanism_retrieval,heldout_mechanism,3,0.789796,0.018523,0.698801,0.003330,0.051757,0.002550,0.038085,0.002338,0.648750,0.006035,0.177185,0.001224,0.042215,0.001228,35,84
oracle_mechanism_retrieval,heldout_mechanism,4,0.773129,0.017454,0.699224,0.003129,0.051725,0.002437,0.038615,0.002381,0.649732,0.006014,0.176927,0.001160,0.042181,0.001282,35,84
oracle_mechanism_retrieval,heldout_mechanism,5,0.773810,0.018745,0.697360,0.002815,0.052379,0.002441,0.038392,0.002298,0.650172,0.005873,0.176884,0.001127,0.041702,0.001357,35,84
oracle_mechanism_retrieval,heldout_mechanism,6,0.791156,0.016187,0.697782,0.002841,0.052690,0.002388,0.037353,0.001888,0.650112,0.006084,0.177066,0.001017,0.041903,0.001261,35,84
oracle_mechanism_retrieval,heldout_object,0,0.781973,0.016227,0.703466,0.002865,0.051796,0.002222,0.035714,0.002421,0.653144,0.006187,0.174374,0.001328,0.039936,0.001000,35,84
oracle_mechanism_retrieval,heldout_object,1,0.783333,0.017053,0.702035,0.002651,0.051403,0.002179,0.035158,0.002204,0.652570,0.005755,0.174309,0.001326,0.040112,0.001038,35,84
oracle_mechanism_retrieval,heldout_object,2,0.793537,0.020155,0.702434,0.002614,0.051010,0.002313,0.034883,0.002203,0.651482,0.006294,0.174350,0.001337,0.040288,0.001059,35,84
oracle_mechanism_retrieval,heldout_object,3,0.772449,0.017606,0.703290,0.002607,0.050617,0.002529,0.035234,0.002360,0.651422,0.006396,0.174371,0.001263,0.039092,0.001297,35,84
oracle_mechanism_retrieval,heldout_object,4,0.790476,0.016684,0.704146,0.002601,0.050224,0.002538,0.035031,0.002323,0.651878,0.006268,0.174302,0.001124,0.039268,0.001384,35,84
oracle_mechanism_retrieval,heldout_object,5,0.788095,0.018069,0.703630,0.002666,0.050174,0.002530,0.034577,0.002020,0.652834,0.006256,0.174061,0.001156,0.038994,0.001421,35,84
oracle_mechanism_retrieval,heldout_object,6,0.781633,0.017585,0.704486,0.002660,0.050467,0.002486,0.034915,0.002141,0.651203,0.005981,0.174564,0.001122,0.039182,0.001383,35,84
oracle_mechanism_retrieval,seen_corpus,0,0.793537,0.015123,0.711078,0.002954,0.048258,0.002431,0.031732,0.002327,0.657714,0.005997,0.171167,0.001153,0.035759,0.001199,35,84
oracle_mechanism_retrieval,seen_corpus,1,0.800680,0.016770,0.710538,0.002762,0.048876,0.002436,0.031582,0.002449,0.657587,0.006006,0.170781,0.001307,0.036170,0.001202,35,84
oracle_mechanism_retrieval,seen_corpus,2,0.801701,0.016090,0.709998,0.002550,0.048808,0.002339,0.031732,0.002267,0.657488,0.006043,0.171167,0.001262,0.036111,0.001197,35,84
oracle_mechanism_retrieval,seen_corpus,3,0.791497,0.016988,0.709458,0.002449,0.049426,0.002343,0.032157,0.002230,0.657876,0.005943,0.170338,0.001270,0.035379,0.001186,35,84
oracle_mechanism_retrieval,seen_corpus,4,0.795918,0.015722,0.709375,0.002436,0.048672,0.002542,0.031730,0.001969,0.657804,0.005800,0.169990,0.001148,0.035537,0.001190,35,84
oracle_mechanism_retrieval,seen_corpus,5,0.789116,0.017471,0.709750,0.002663,0.048947,0.002485,0.031605,0.002001,0.657691,0.005977,0.170485,0.001186,0.035713,0.001176,35,84
oracle_mechanism_retrieval,seen_corpus,6,0.803061,0.014983,0.710125,0.002755,0.048536,0.002083,0.030784,0.002227,0.658120,0.006112,0.170690,0.001156,0.035648,0.001374,35,84
proposed_mechanism_retrieval_controller,combined_stress,0,0.659864,0.023182,0.609826,0.003002,0.119584,0.002628,0.065179,0.002434,0.572568,0.005627,0.239793,0.001278,0.069736,0.001008,35,84
proposed_mechanism_retrieval_controller,combined_stress,1,0.666667,0.020694,0.610336,0.002995,0.119618,0.002621,0.065288,0.002377,0.571589,0.005388,0.239708,0.001104,0.069976,0.000963,35,84
proposed_mechanism_retrieval_controller,combined_stress,2,0.670748,0.023391,0.610390,0.003014,0.118966,0.002871,0.065401,0.002475,0.572180,0.005293,0.239890,0.001164,0.069975,0.001096,35,84
proposed_mechanism_retrieval_controller,combined_stress,3,0.663605,0.014070,0.608613,0.003426,0.118314,0.003148,0.065510,0.002307,0.571228,0.005058,0.240001,0.001152,0.069745,0.001266,35,84
