method,split,seed,mean_success_rate,ci95_success_rate,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_damage_rate,ci95_damage_rate,mean_recovery_success,ci95_recovery_success,mean_query_cost,ci95_query_cost,mean_calibration_error,ci95_calibration_error,groups,episodes_per_group
conformal_retrieval_filter,combined_stress,0,0.552041,0.025001,0.524232,0.002721,0.202099,0.003822,0.086978,0.002537,0.488447,0.006471,0.269345,0.001430,0.089493,0.001362,35,84
conformal_retrieval_filter,combined_stress,1,0.564966,0.021883,0.524638,0.002708,0.202055,0.004030,0.086679,0.002554,0.488383,0.006612,0.268208,0.001179,0.089450,0.001250,35,84
conformal_retrieval_filter,combined_stress,2,0.564626,0.017826,0.524130,0.002603,0.201667,0.003852,0.086619,0.002483,0.487303,0.006175,0.268400,0.001173,0.089631,0.001258,35,84
conformal_retrieval_filter,combined_stress,3,0.572449,0.020966,0.523165,0.002886,0.201623,0.003632,0.086879,0.002440,0.487239,0.005774,0.268478,0.001201,0.089589,0.001287,35,84
conformal_retrieval_filter,combined_stress,4,0.555102,0.018649,0.523114,0.002840,0.200893,0.003746,0.087363,0.002493,0.487716,0.005681,0.268679,0.001202,0.089534,0.001325,35,84
conformal_retrieval_filter,combined_stress,5,0.563265,0.021018,0.523520,0.003030,0.200506,0.003920,0.087133,0.002575,0.488695,0.005682,0.268295,0.001008,0.088571,0.001105,35,84
conformal_retrieval_filter,combined_stress,6,0.558503,0.022195,0.523012,0.002934,0.201148,0.003925,0.087239,0.002515,0.488603,0.005424,0.268549,0.001037,0.088999,0.001106,35,84
conformal_retrieval_filter,cross_embodiment,0,0.596599,0.020996,0.529888,0.002890,0.190690,0.003804,0.080988,0.002499,0.496867,0.005861,0.264042,0.001117,0.083659,0.001137,35,84
conformal_retrieval_filter,cross_embodiment,1,0.585714,0.018420,0.530303,0.002870,0.191338,0.003809,0.081221,0.002497,0.496269,0.005756,0.264157,0.001248,0.083634,0.001102,35,84
conformal_retrieval_filter,cross_embodiment,2,0.592177,0.020856,0.530717,0.002896,0.191643,0.003841,0.081310,0.002505,0.495686,0.005730,0.264029,0.001135,0.083602,0.001127,35,84
conformal_retrieval_filter,cross_embodiment,3,0.584694,0.025503,0.530217,0.002898,0.191262,0.003978,0.081398,0.002555,0.495129,0.005555,0.264096,0.001104,0.084015,0.001130,35,84
conformal_retrieval_filter,cross_embodiment,4,0.571769,0.021400,0.530174,0.003111,0.190538,0.003797,0.081797,0.002582,0.495616,0.005778,0.264697,0.001098,0.084193,0.001143,35,84
conformal_retrieval_filter,cross_embodiment,5,0.574490,0.024111,0.530589,0.002869,0.190500,0.003828,0.081707,0.002525,0.496075,0.005606,0.264850,0.001125,0.084384,0.001106,35,84
conformal_retrieval_filter,cross_embodiment,6,0.573469,0.023809,0.531004,0.002757,0.190804,0.003653,0.081945,0.002351,0.495491,0.005265,0.265056,0.001078,0.084123,0.001156,35,84
conformal_retrieval_filter,heldout_mechanism,0,0.582993,0.017573,0.533520,0.002838,0.185420,0.003805,0.079448,0.002510,0.500823,0.005914,0.261725,0.001192,0.081038,0.001276,35,84
conformal_retrieval_filter,heldout_mechanism,1,0.602381,0.020852,0.534400,0.002833,0.185731,0.003736,0.078826,0.002444,0.500763,0.006129,0.261420,0.001120,0.081010,0.001265,35,84
conformal_retrieval_filter,heldout_mechanism,2,0.599320,0.021410,0.534822,0.002861,0.186385,0.003741,0.077992,0.002428,0.499660,0.005942,0.261659,0.001142,0.081446,0.001269,35,84
conformal_retrieval_filter,heldout_mechanism,3,0.609864,0.019699,0.534330,0.002656,0.186353,0.003506,0.078206,0.002385,0.498584,0.005737,0.261478,0.001196,0.081869,0.001271,35,84
conformal_retrieval_filter,heldout_mechanism,4,0.613605,0.018996,0.533838,0.002613,0.185292,0.003775,0.078023,0.002442,0.498578,0.005649,0.261620,0.001159,0.081359,0.001210,35,84
conformal_retrieval_filter,heldout_mechanism,5,0.610544,0.021100,0.534261,0.002577,0.184231,0.003845,0.078432,0.002480,0.498572,0.005627,0.261630,0.001129,0.081307,0.001132,35,84
