baseline,metric,mean_diff,ci95_diff,paired_seed_wins,non_oracle,decisive,budget
conformal_retrieval_filter,utility,0.4255563330,0.0030285212,10,True,True,0.0800000000
contrastive_mechanism_memory,utility,0.3038374376,0.0036773741,10,True,True,0.0800000000
learned_expected_utility_retrieval,utility,0.2918916341,0.0042669992,10,True,True,0.0800000000
model_predictive_retrieval_arbitration,utility,0.2682256691,0.0029862837,10,True,True,0.0800000000
no_retrieval_controller,utility,0.7312360791,0.0040487725,10,True,True,0.0800000000
proposed_mechanism_retrieval_controller_v4,utility,0.2192431425,0.0024894522,10,True,True,0.0800000000
test_time_retrieval_adaptation,utility,0.3811492667,0.0028785905,10,True,True,0.0800000000
conformal_retrieval_filter,utility,0.4142188330,0.0029257481,10,True,True,0.1000000000
contrastive_mechanism_memory,utility,0.2924999376,0.0036066555,10,True,True,0.1000000000
learned_expected_utility_retrieval,utility,0.2805541341,0.0042186008,10,True,True,0.1000000000
model_predictive_retrieval_arbitration,utility,0.2568881691,0.0029914521,10,True,True,0.1000000000
no_retrieval_controller,utility,0.7198985791,0.0039457615,10,True,True,0.1000000000
proposed_mechanism_retrieval_controller_v4,utility,0.2079056425,0.0023531188,10,True,True,0.1000000000
test_time_retrieval_adaptation,utility,0.3698117667,0.0027565617,10,True,True,0.1000000000
conformal_retrieval_filter,utility,0.4061188330,0.0030214320,10,True,True,0.1200000000
contrastive_mechanism_memory,utility,0.2843999376,0.0036773535,10,True,True,0.1200000000
learned_expected_utility_retrieval,utility,0.2720603841,0.0043430724,10,True,True,0.1200000000
model_predictive_retrieval_arbitration,utility,0.2430506691,0.0028669612,10,True,True,0.1200000000
no_retrieval_controller,utility,0.7117985791,0.0040461458,10,True,True,0.1200000000
proposed_mechanism_retrieval_controller_v4,utility,0.1731993925,0.0022927625,10,True,True,0.1200000000
test_time_retrieval_adaptation,utility,0.3617117667,0.0028646461,10,True,True,0.1200000000
conformal_retrieval_filter,utility,0.4011688330,0.0031936063,10,True,True,0.1600000000
contrastive_mechanism_memory,utility,0.2074499376,0.0037995751,10,True,True,0.1600000000
learned_expected_utility_retrieval,utility,0.1865603841,0.0041691766,10,True,True,0.1600000000
model_predictive_retrieval_arbitration,utility,0.1587881691,0.0029639987,10,True,True,0.1600000000
no_retrieval_controller,utility,0.7117985791,0.0040461458,10,True,True,0.1600000000
proposed_mechanism_retrieval_controller_v4,utility,0.1098056425,0.0024620433,10,True,True,0.1600000000
test_time_retrieval_adaptation,utility,0.3360617667,0.0028315154,10,True,True,0.1600000000
