method,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_regret,ci95_regret,mean_calibration_error,ci95_calibration_error,mean_retrieval_coverage,ci95_retrieval_coverage,groups,episodes_per_group
action_conditioned_mechanism_retrieval_v5,0.7238888889,0.0029156077,0.7969888753,0.0029966679,0.6645432708,0.0003053315,0.0906731287,0.0003000256,0.6319366205,0.0007447944,0.0559349323,0.0002154004,0.2253596531,0.0001444752,0.1035926050,0.0002539642,0.0576514076,0.0001584318,0.7523078539,0.0004049030,1200,96
conformal_retrieval_filter,0.5440885417,0.0032072758,0.4609823628,0.0033360080,0.5184231858,0.0003149625,0.2050077703,0.0003808999,0.4919192630,0.0007470879,0.0890624810,0.0002281012,0.2699394004,0.0001486380,0.1584417663,0.0002633027,0.0915248693,0.0001590271,0.5588759586,0.0004154976,1200,96
contrastive_mechanism_memory,0.6139149306,0.0031914255,0.5881875077,0.0033182874,0.5745295333,0.0003134912,0.1556563492,0.0003339373,0.5465553003,0.0007476708,0.0775527190,0.0002286374,0.2658437360,0.0001501040,0.1378327836,0.0002504606,0.0775900241,0.0001585463,0.6262200417,0.0004075232,1200,96
failure_aware_active_retrieval,0.6308072917,0.0031996745,0.6171610494,0.0032988655,0.5981872158,0.0003087894,0.1370370214,0.0003292880,0.5820099618,0.0007350288,0.0719003711,0.0002261974,0.3086896154,0.0001538235,0.1274368900,0.0002524544,0.0714310673,0.0001589935,0.6194507360,0.0004086471,1200,96
invariant_mechanism_alignment,0.5933767361,0.0031873106,0.5486260158,0.0033393068,0.5583498083,0.0003172494,0.1689752399,0.0003383045,0.5313251791,0.0007402581,0.0807619839,0.0002236030,0.2752767407,0.0001542999,0.1448494159,0.0002605560,0.0818199563,0.0001544581,0.5990479703,0.0004121418,1200,96
language_episode_retrieval,0.3641232639,0.0035746762,0.1134105785,0.0039050715,0.3906363533,0.0003122824,0.4150994291,0.0005556939,0.3566577375,0.0007247630,0.1412135696,0.0002632210,0.1883620218,0.0001579438,0.2269239884,0.0002668295,0.1507166409,0.0001596988,0.5658464425,0.0004187291,1200,96
learned_expected_utility_retrieval,0.6273958333,0.0031826288,0.6018490038,0.0032712856,0.5805846583,0.0003211489,0.1496605080,0.0003324113,0.5579251747,0.0007407356,0.0757436914,0.0002215914,0.2897333858,0.0001448155,0.1346430030,0.0002563048,0.0755028431,0.0001561638,0.6369822222,0.0004130297,1200,96
model_predictive_retrieval_arbitration,0.6407031250,0.0030535440,0.6293938297,0.0031778499,0.5926228083,0.0003177093,0.1411552920,0.0003197265,0.5691410623,0.0007445486,0.0729560225,0.0002233414,0.2815629163,0.0001486231,0.1289879524,0.0002584468,0.0734408972,0.0001619114,0.6535422471,0.0004054332,1200,96
no_retrieval_controller,0.3190364583,0.0030160534,0.1581029073,0.0031678446,0.2752637433,0.0003141196,0.2516628172,0.0003650974,0.2949904639,0.0007389714,0.1256057643,0.0002282627,0.0869379921,0.0001506129,0.2117209518,0.0002597727,0.1311498726,0.0001633691,0.0000000000,0.0000000000,1200,96
oracle_mechanism_retrieval,0.7875347222,0.0027901532,0.9219304893,0.0027112677,0.7325944408,0.0003122841,0.0560266893,0.0002723409,0.6772207159,0.0007238201,0.0434821216,0.0002138199,0.1864152864,0.0001462892,0.0829756215,0.0002499134,0.0459565220,0.0001572141,0.8597381739,0.0004030228,1200,96
proposed_mechanism_retrieval_controller_v4,0.6633940972,0.0030789898,0.6812924878,0.0031807748,0.6044516408,0.0003163475,0.1250337682,0.0003210161,0.5737293081,0.0007381327,0.0674265559,0.0002193440,0.2402062951,0.0001507057,0.1221765254,0.0002583117,0.0721424153,0.0001579051,0.6855362552,0.0004072741,1200,96
retrieved_context_behavior_clone,0.5060677083,0.0032405122,0.3508095915,0.0034395351,0.4634274558,0.0003144044,0.2973992928,0.0004536588,0.4305122923,0.0007297518,0.1133780251,0.0002411940,0.2293592671,0.0001528551,0.1843361002,0.0002648487,0.1179470337,0.0001585039,0.6489405189,0.0004178086,1200,96
state_nearest_memory,0.4736892361,0.0034295146,0.2995069584,0.0036486137,0.4464318133,0.0003282474,0.3241264244,0.0004557130,0.4085604801,0.0007457548,0.1187719468,0.0002453535,0.2087238857,0.0001577646,0.1951410438,0.0002634174,0.1264393178,0.0001584875,0.6260079096,0.0004195362,1200,96
test_time_retrieval_adaptation,0.5756510417,0.0031749636,0.5075515506,0.0033111920,0.5448377083,0.0003151142,0.1824274346,0.0003489935,0.5178477898,0.0007443442,0.0840162725,0.0002236697,0.3003765954,0.0001454666,0.1508021777,0.0002602022,0.0849577615,0.0001558219,0.5720827506,0.0004070148,1200,96
uncertainty_gated_retrieval,0.5097656250,0.0032616534,0.3958898856,0.0034295572,0.4946245758,0.0003113419,0.2280339060,0.0003940003,0.4729813108,0.0007359222,0.0964049680,0.0002273685,0.2862447963,0.0001524590,0.1676424555,0.0002652402,0.0986650925,0.0001571543,0.5255283917,0.0004055906,1200,96
visual_nearest_retrieval,0.4277604167,0.0035023925,0.2167105585,0.0037842300,0.4185290083,0.0003151673,0.3676479540,0.0005216394,0.3808627691,0.0007386391,0.1297377601,0.0002526309,0.1973880767,0.0001550601,0.2094747314,0.0002752584,0.1389749448,0.0001629657,0.6012181134,0.0004164512,1200,96
