method,split,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_regret,ci95_regret,mean_calibration_error,ci95_calibration_error,mean_retrieval_coverage,ci95_retrieval_coverage,groups,episodes_per_group
conformal_retrieval_filter,heldout_object,0.6173046875,0.0040967583,0.5757416946,0.0044983787,0.5407328788,0.0005318143,0.1719569010,0.0006727985,0.5073481322,0.0009341265,0.0746641837,0.0004748166,0.2577926806,0.0001942052,0.1318230842,0.0004513362,0.0775438379,0.0002157183,0.6010648362,0.0005202773,800,96
conformal_retrieval_filter,seen_corpus,0.6360286458,0.0037600921,0.6051721877,0.0041316764,0.5462970900,0.0005046978,0.1642840213,0.0006815580,0.5120243993,0.0009336590,0.0710191059,0.0004641823,0.2546314852,0.0001900510,0.1239622018,0.0004561545,0.0738407506,0.0002055609,0.6121024359,0.0005273500,800,96
conformal_retrieval_filter,sparse_corpus,0.5802083333,0.0042007840,0.5170882305,0.0046789506,0.5291465425,0.0005384645,0.1886822005,0.0006600845,0.4983637992,0.0009182115,0.0811492103,0.0004851806,0.2647220758,0.0001988795,0.1468828706,0.0004435104,0.0857052690,0.0001974044,0.5768033264,0.0005396516,800,96
conformal_retrieval_filter,stale_memory,0.5737760417,0.0042852053,0.5022233892,0.0047648008,0.5241056788,0.0005036849,0.1980653770,0.0006808671,0.4964662206,0.0009265079,0.0825274664,0.0004874449,0.2681258304,0.0002088727,0.1509050800,0.0004429936,0.0898822735,0.0002121315,0.5628045767,0.0005317480,800,96
conformal_retrieval_filter,visually_aliased,0.5689322917,0.0041679744,0.5001339484,0.0046163847,0.5263445300,0.0005429032,0.1920039455,0.0006818528,0.4951190182,0.0009356187,0.0831281512,0.0004768445,0.2661399004,0.0002100508,0.1519234602,0.0004509038,0.0869888469,0.0002054925,0.5731735457,0.0005347754,800,96
contrastive_mechanism_memory,combined_stress,0.6247526042,0.0040752242,0.6032580085,0.0044577590,0.5768907113,0.0005430909,0.1527575529,0.0005626122,0.5471330056,0.0009434480,0.0737733543,0.0004730512,0.2658797010,0.0002018759,0.1370712958,0.0004313737,0.0776964771,0.0002001563,0.6258823387,0.0005124099,800,96
contrastive_mechanism_memory,cross_embodiment,0.6466406250,0.0039911978,0.6433284441,0.0043121253,0.5876147700,0.0005150389,0.1394212530,0.0005569863,0.5549035324,0.0009587402,0.0684648290,0.0004622480,0.2592316713,0.0001957398,0.1244111628,0.0004401616,0.0698399275,0.0002028321,0.6498480514,0.0005103665,800,96
contrastive_mechanism_memory,heldout_mechanism,0.6596354167,0.0039851727,0.6636010664,0.0043181377,0.5919270625,0.0005111906,0.1344272509,0.0005768824,0.5579779225,0.0009545151,0.0663022276,0.0004505557,0.2568850829,0.0001876213,0.1184003537,0.0004623357,0.0668924960,0.0001978144,0.6588833999,0.0005245399,800,96
contrastive_mechanism_memory,heldout_object,0.6716276042,0.0038279269,0.6836318944,0.0041503272,0.5964480663,0.0005277326,0.1291910245,0.0005869654,0.5614033691,0.0009491557,0.0636693036,0.0004540460,0.2541741385,0.0002029200,0.1118943505,0.0004524591,0.0638868914,0.0001992966,0.6681358288,0.0005245358,800,96
contrastive_mechanism_memory,seen_corpus,0.6845703125,0.0037257234,0.7062977404,0.0039522026,0.6022524475,0.0005350955,0.1234592180,0.0005589288,0.5662693774,0.0009289646,0.0604946571,0.0004539431,0.2508966606,0.0001860956,0.1038344310,0.0004366363,0.0604003325,0.0001965764,0.6789132677,0.0005263710,800,96
contrastive_mechanism_memory,sparse_corpus,0.6453385417,0.0038148418,0.6379061341,0.0041523472,0.5850057638,0.0005106213,0.1425238604,0.0005909000,0.5531545424,0.0009495985,0.0696114690,0.0004595178,0.2608413742,0.0001986856,0.1270506320,0.0004579733,0.0717030955,0.0002120348,0.6441216695,0.0005092546,800,96
contrastive_mechanism_memory,stale_memory,0.6366145833,0.0039641651,0.6211012874,0.0043140848,0.5800182663,0.0005349735,0.1508376751,0.0005636038,0.5509450564,0.0009316135,0.0713016523,0.0004704794,0.2643901283,0.0001935195,0.1303904944,0.0004404655,0.0761710041,0.0001970817,0.6301818258,0.0005324242,800,96
contrastive_mechanism_memory,visually_aliased,0.6329036458,0.0041219936,0.6207698060,0.0045495926,0.5824643525,0.0005129908,0.1444193781,0.0005932034,0.5504303855,0.0009441294,0.0714580371,0.0004786767,0.2621695002,0.0001947581,0.1318664351,0.0004365206,0.0732331188,0.0002042832,0.6400868955,0.0005041449,800,96
failure_aware_active_retrieval,combined_stress,0.6397656250,0.0039703403,0.6304362600,0.0043333985,0.6006314575,0.0005275678,0.1341667686,0.0005420710,0.5828156381,0.0008922512,0.0682399551,0.0004728016,0.3084723325,0.0002066052,0.1266233331,0.0004252641,0.0715185483,0.0002076191,0.6188852905,0.0005148914,800,96
failure_aware_active_retrieval,cross_embodiment,0.6567187500,0.0040372686,0.6650714139,0.0044008316,0.6115298687,0.0005188264,0.1216538678,0.0005374746,0.5904865759,0.0009186647,0.0631150995,0.0004715229,0.3020731662,0.0001963823,0.1137114807,0.0004261907,0.0636748581,0.0002004824,0.6428551474,0.0005250509,800,96
failure_aware_active_retrieval,heldout_mechanism,0.6696223958,0.0038157300,0.6847965939,0.0040712140,0.6157644787,0.0005141151,0.1174070151,0.0005546565,0.5934221157,0.0009183461,0.0609506354,0.0004499473,0.2996645465,0.0001833823,0.1080725926,0.0004453487,0.0607060885,0.0001967487,0.6519051174,0.0005212441,800,96
failure_aware_active_retrieval,heldout_object,0.6784635417,0.0036484530,0.7014436994,0.0038911401,0.6203857575,0.0005142208,0.1128251781,0.0005609510,0.5971350388,0.0008953392,0.0584632125,0.0004527514,0.2969731579,0.0001895591,0.1012979873,0.0004484148,0.0576038541,0.0002038153,0.6610835549,0.0005258456,800,96
failure_aware_active_retrieval,seen_corpus,0.6939583333,0.0036055283,0.7262317479,0.0038211224,0.6262902388,0.0005349350,0.1078714378,0.0005326506,0.6018813184,0.0009094357,0.0551824144,0.0004503895,0.2938379183,0.0001880281,0.0935425410,0.0004376515,0.0540300730,0.0001935105,0.6719195378,0.0005315084,800,96
failure_aware_active_retrieval,sparse_corpus,0.6519140625,0.0039644092,0.6560065208,0.0042423300,0.6088598750,0.0005014308,0.1248206428,0.0005667143,0.5886393350,0.0009278232,0.0642881331,0.0004653295,0.3037357831,0.0001886928,0.1165208559,0.0004440912,0.0655204190,0.0002100845,0.6371051964,0.0005076941,800,96
failure_aware_active_retrieval,stale_memory,0.6495312500,0.0039800705,0.6457701196,0.0042642333,0.6039782700,0.0005477170,0.1327033662,0.0005541341,0.5861306197,0.0009413770,0.0657368106,0.0004541508,0.3072936700,0.0002035895,0.1200472853,0.0004426246,0.0698992489,0.0002032659,0.6234502946,0.0005259939,800,96
failure_aware_active_retrieval,visually_aliased,0.6459375000,0.0037439003,0.6456126796,0.0040563830,0.6062814162,0.0005243850,0.1261689160,0.0005421506,0.5857221967,0.0009059825,0.0660092891,0.0004704970,0.3049801262,0.0001870221,0.1213843817,0.0004308416,0.0668757339,0.0002039958,0.6332291983,0.0005115281,800,96
invariant_mechanism_alignment,combined_stress,0.6036067708,0.0042212791,0.5630378710,0.0046746894,0.5607379275,0.0005290761,0.1659757087,0.0005865216,0.5316648839,0.0009177508,0.0772181615,0.0004677853,0.2751451652,0.0002117031,0.1439196490,0.0004503119,0.0819488501,0.0002007150,0.5988539217,0.0005362562,800,96
invariant_mechanism_alignment,cross_embodiment,0.6273567708,0.0040924303,0.6055582469,0.0044801001,0.5715316537,0.0005214454,0.1515936143,0.0006019550,0.5392965585,0.0008977399,0.0718702911,0.0004801474,0.2683658577,0.0002042420,0.1309746246,0.0004284300,0.0741654553,0.0002082401,0.6229577804,0.0005164760,800,96
invariant_mechanism_alignment,heldout_mechanism,0.6388281250,0.0039551708,0.6245011155,0.0043310044,0.5758401225,0.0005179962,0.1462796179,0.0006120368,0.5423257984,0.0009199909,0.0694709533,0.0004680982,0.2660539663,0.0001906103,0.1252281834,0.0004526624,0.0710086639,0.0002038126,0.6319598127,0.0005139183,800,96
invariant_mechanism_alignment,heldout_object,0.6560546875,0.0036624363,0.6500946040,0.0040123976,0.5803937550,0.0004995180,0.1408627702,0.0006183962,0.5463854930,0.0008951542,0.0667451508,0.0004583508,0.2632762206,0.0001952034,0.1187012708,0.0004543959,0.0681267093,0.0002005262,0.6410742492,0.0005313751,800,96
invariant_mechanism_alignment,seen_corpus,0.6718098958,0.0037939097,0.6756481400,0.0041180516,0.5860380813,0.0005288429,0.1346424418,0.0005974584,0.5509509658,0.0009325747,0.0634921253,0.0004664661,0.2602434490,0.0001938756,0.1106833925,0.0004385550,0.0644061603,0.0001972910,0.6520368650,0.0005379176,800,96
invariant_mechanism_alignment,sparse_corpus,0.6218229167,0.0040459171,0.5958769762,0.0044359205,0.5691197675,0.0004953223,0.1550985551,0.0005909409,0.5381333081,0.0009029661,0.0729806339,0.0004721550,0.2699917217,0.0001883976,0.1337543054,0.0004437013,0.0759844731,0.0002020439,0.6168954481,0.0005110706,800,96
invariant_mechanism_alignment,stale_memory,0.6186848958,0.0039610011,0.5845581882,0.0043559212,0.5637299888,0.0005253001,0.1634166917,0.0006040921,0.5354863720,0.0009164344,0.0743756553,0.0004626784,0.2736950690,0.0001996670,0.1373125814,0.0004441171,0.0804601346,0.0001937051,0.6031235026,0.0005367765,800,96
invariant_mechanism_alignment,visually_aliased,0.6142447917,0.0040531296,0.5832905223,0.0044616122,0.5661746400,0.0005331954,0.1572044316,0.0006100075,0.5348755111,0.0009216308,0.0748141002,0.0004798927,0.2713714779,0.0002069321,0.1386186152,0.0004387450,0.0773598484,0.0002017519,0.6131053203,0.0005232153,800,96
language_episode_retrieval,combined_stress,0.3952343750,0.0058626481,0.1495183431,0.0067544483,0.3929903388,0.0005282688,0.4111954629,0.0010778774,0.3570883438,0.0009024463,0.1371209012,0.0005582075,0.1880485450,0.0002279442,0.2259990806,0.0004597091,0.1508989762,0.0002099789,0.5656644143,0.0005573900,800,96
language_episode_retrieval,cross_embodiment,0.4536979167,0.0051349658,0.2352156334,0.0059632478,0.4036100800,0.0005378438,0.3811541485,0.0010889168,0.3651991586,0.0009218885,0.1300224991,0.0005402951,0.1809713142,0.0002191284,0.2124014268,0.0004609665,0.1427454464,0.0002105940,0.5908346075,0.0005560334,800,96
language_episode_retrieval,heldout_mechanism,0.4812239583,0.0050203551,0.2743168778,0.0058396916,0.4077024062,0.0004961610,0.3684454514,0.0011232479,0.3687963330,0.0009136749,0.1268664866,0.0005412615,0.1782444758,0.0002110125,0.2063885913,0.0004718456,0.1397829097,0.0002101722,0.6000894954,0.0005479830,800,96
language_episode_retrieval,heldout_object,0.5089583333,0.0049490237,0.3147388647,0.0057086146,0.4124558012,0.0004995631,0.3548640709,0.0011038926,0.3728162863,0.0009294061,0.1232930525,0.0005283274,0.1753527071,0.0002247814,0.1995491100,0.0004710810,0.1364807476,0.0001976815,0.6098539498,0.0005518531,800,96
language_episode_retrieval,seen_corpus,0.5484895833,0.0046574235,0.3696927683,0.0053663262,0.4179499775,0.0005256679,0.3384228472,0.0010868663,0.3778869891,0.0009426342,0.1189823206,0.0005265788,0.1719977583,0.0002181097,0.1908563373,0.0004593138,0.1326298631,0.0002085982,0.6212019424,0.0005545587,800,96
language_episode_retrieval,sparse_corpus,0.4441145833,0.0051222401,0.2195696773,0.0059610633,0.4010095350,0.0005073806,0.3879238254,0.0011080002,0.3633127736,0.0009260788,0.1314734703,0.0005356124,0.1824904758,0.0002243821,0.2154533422,0.0004772087,0.1444833200,0.0002172882,0.5848136733,0.0005406815,800,96
language_episode_retrieval,stale_memory,0.4242187500,0.0054000216,0.1893492988,0.0062775536,0.3957760750,0.0005247252,0.4002160755,0.0010912893,0.3611207811,0.0009389930,0.1335078103,0.0005468578,0.1865329450,0.0002250380,0.2189814443,0.0004720324,0.1491946135,0.0002045099,0.5704448815,0.0005532410,800,96
language_episode_retrieval,visually_aliased,0.4177734375,0.0054365181,0.1850323375,0.0063037765,0.3984701538,0.0005013422,0.3963884884,0.0010856709,0.3609385154,0.0009070745,0.1341060986,0.0005484342,0.1840516781,0.0002213966,0.2205596187,0.0004623032,0.1462018608,0.0002102817,0.5802159880,0.0005432724,800,96
learned_expected_utility_retrieval,combined_stress,0.6389843750,0.0040174957,0.6175538515,0.0044012814,0.5825296950,0.0005142284,0.1467775919,0.0005683797,0.5583371418,0.0009211261,0.0721012402,0.0004705298,0.2897530788,0.0002017808,0.1336240731,0.0004490114,0.0757263515,0.0001994106,0.6367193201,0.0005243563,800,96
learned_expected_utility_retrieval,cross_embodiment,0.6608203125,0.0038966008,0.6575679478,0.0042434938,0.5937067762,0.0005341152,0.1335527773,0.0005719333,0.5659264740,0.0009317618,0.0668905563,0.0004630921,0.2830748181,0.0001979531,0.1206708084,0.0004509532,0.0678256182,0.0002046474,0.6607033205,0.0005228416,800,96
learned_expected_utility_retrieval,heldout_mechanism,0.6720703125,0.0037537981,0.6760280236,0.0040522781,0.5981186875,0.0005196485,0.1287393279,0.0005798964,0.5690416373,0.0009086562,0.0646646186,0.0004580145,0.2806002531,0.0002015846,0.1150144603,0.0004474315,0.0647962055,0.0001998564,0.6697527103,0.0005266575,800,96
learned_expected_utility_retrieval,heldout_object,0.6817578125,0.0036797720,0.6935557523,0.0039443001,0.6023102013,0.0005210943,0.1239521236,0.0005614564,0.5728047194,0.0009113172,0.0620159268,0.0004487142,0.2779379431,0.0001927890,0.1086144456,0.0004465421,0.0618441690,0.0001951244,0.6789336437,0.0005300245,800,96
learned_expected_utility_retrieval,seen_corpus,0.6952473958,0.0036863737,0.7165356518,0.0039309536,0.6081697600,0.0005180941,0.1185069573,0.0005633960,0.5774532415,0.0009044605,0.0589276751,0.0004669800,0.2746239302,0.0001938831,0.1006228797,0.0004277574,0.0581982501,0.0002083501,0.6896998134,0.0005148167,800,96
learned_expected_utility_retrieval,sparse_corpus,0.6522656250,0.0038575746,0.6447841521,0.0041663239,0.5912124562,0.0005019167,0.1367002237,0.0005708464,0.5641855484,0.0009204621,0.0680999732,0.0004576315,0.2847826825,0.0001856084,0.1234477202,0.0004479713,0.0697536623,0.0002038657,0.6550589631,0.0005250484,800,96
learned_expected_utility_retrieval,stale_memory,0.6497135417,0.0038850356,0.6343663470,0.0042235761,0.5859823563,0.0005183337,0.1449541998,0.0005622648,0.5623833780,0.0009413540,0.0695408865,0.0004576340,0.2881560654,0.0001996585,0.1271291732,0.0004364444,0.0740866259,0.0002016505,0.6409046415,0.0005283143,800,96
learned_expected_utility_retrieval,visually_aliased,0.6458854167,0.0040441760,0.6336867284,0.0043892742,0.5883673062,0.0005113414,0.1385119604,0.0005751053,0.5612831464,0.0009015961,0.0699191272,0.0004591618,0.2859333879,0.0001987581,0.1284295666,0.0004521671,0.0710771339,0.0002034629,0.6511615169,0.0005292297,800,96
model_predictive_retrieval_arbitration,combined_stress,0.6476432292,0.0038485954,0.6405311678,0.0042026241,0.5946756100,0.0005156335,0.1381698710,0.0005538196,0.5696527095,0.0009192426,0.0693261978,0.0004698219,0.2815513010,0.0001969933,0.1280008504,0.0004421735,0.0735613767,0.0002125831,0.6531756065,0.0005186904,800,96
model_predictive_retrieval_arbitration,cross_embodiment,0.6716145833,0.0036473397,0.6822446487,0.0039898050,0.6054310112,0.0005201805,0.1256608713,0.0005563408,0.5773380795,0.0009412257,0.0641490647,0.0004652359,0.2749925896,0.0001893922,0.1151172488,0.0004359735,0.0656939777,0.0002062350,0.6771721286,0.0005137057,800,96
model_predictive_retrieval_arbitration,heldout_mechanism,0.6821614583,0.0037257371,0.6999913125,0.0040020988,0.6100902588,0.0005124454,0.1211311172,0.0005488653,0.5807081584,0.0009328612,0.0619415832,0.0004513570,0.2724988021,0.0001908485,0.1093702934,0.0004363480,0.0627225791,0.0002049262,0.6860754737,0.0005195441,800,96
model_predictive_retrieval_arbitration,heldout_object,0.6908203125,0.0038478218,0.7162872635,0.0041599297,0.6145698663,0.0005243128,0.1166249098,0.0005536859,0.5840491494,0.0009056853,0.0593720043,0.0004646961,0.2697117306,0.0001958107,0.1029950662,0.0004429886,0.0595683423,0.0002015326,0.6953171647,0.0005305961,800,96
model_predictive_retrieval_arbitration,seen_corpus,0.7076692708,0.0037245006,0.7423780635,0.0040039994,0.6198767487,0.0005114429,0.1115021400,0.0005476451,0.5887640264,0.0009285256,0.0562190954,0.0004531942,0.2666465915,0.0001885082,0.0949911438,0.0004420695,0.0561259380,0.0001978205,0.7062342265,0.0005189197,800,96
model_predictive_retrieval_arbitration,sparse_corpus,0.6635546875,0.0038065765,0.6700466867,0.0041490710,0.6033049613,0.0005202647,0.1285906455,0.0005644428,0.5753952537,0.0009045150,0.0653946196,0.0004600850,0.2766187406,0.0002016341,0.1179483645,0.0004451009,0.0674837228,0.0002006906,0.6714205532,0.0005271828,800,96
model_predictive_retrieval_arbitration,stale_memory,0.6613151042,0.0038502048,0.6601299600,0.0041449337,0.5980590325,0.0005349645,0.1365566133,0.0005557802,0.5734122473,0.0009347232,0.0666904073,0.0004563522,0.2800184835,0.0001957273,0.1215210221,0.0004503535,0.0719478658,0.0002058061,0.6573332308,0.0005210085,800,96
model_predictive_retrieval_arbitration,visually_aliased,0.6577734375,0.0039301697,0.6598062067,0.0043044346,0.6005958212,0.0005211098,0.1301854405,0.0005551657,0.5727590158,0.0009072275,0.0671110290,0.0004697516,0.2777743281,0.0001977991,0.1228733175,0.0004404647,0.0689520583,0.0001957201,0.6674046143,0.0005257935,800,96
no_retrieval_controller,combined_stress,0.3310546875,0.0039849451,0.1744618739,0.0044594046,0.2775777588,0.0005391235,0.2485341377,0.0006551537,0.2956341052,0.0009112976,0.1219864540,0.0004730386,0.0868796881,0.0001958643,0.2107342223,0.0004489652,0.1312974675,0.0002062684,0.0000000000,0.0000000000,800,96
no_retrieval_controller,cross_embodiment,0.3580338542,0.0039166106,0.2210335127,0.0043145730,0.2886188125,0.0005206686,0.2326098288,0.0006523756,0.3031818922,0.0009280249,0.1164509374,0.0004709449,0.0801611698,0.0001988512,0.1977025582,0.0004525353,0.1233552748,0.0001992519,0.0000000000,0.0000000000,800,96
no_retrieval_controller,heldout_mechanism,0.3727473958,0.0039427353,0.2437393392,0.0043280156,0.2928451712,0.0004973878,0.2266018665,0.0006620647,0.3066960822,0.0009249025,0.1138269313,0.0004681746,0.0777386827,0.0002026253,0.1922394245,0.0004541585,0.1203923099,0.0001959199,0.0000000000,0.0000000000,800,96
no_retrieval_controller,heldout_object,0.3860807292,0.0038361124,0.2657245068,0.0041993013,0.2975006800,0.0005259936,0.2205426615,0.0006479139,0.3107750831,0.0009471418,0.1109823094,0.0004663907,0.0752091785,0.0001997559,0.1857514783,0.0004409819,0.1173336338,0.0002001063,0.0003287020,0.0000822753,800,96
no_retrieval_controller,seen_corpus,0.4045963542,0.0037028216,0.2946094661,0.0040216463,0.3026871275,0.0005223143,0.2129491350,0.0006297493,0.3148957215,0.0009280004,0.1078149526,0.0004656263,0.0718965048,0.0001874381,0.1774081631,0.0004399827,0.1136650149,0.0002089268,0.0030304616,0.0003322779,800,96
no_retrieval_controller,sparse_corpus,0.3512109375,0.0039893506,0.2097718599,0.0044061406,0.2863023450,0.0005150386,0.2366998495,0.0006466734,0.3020760740,0.0009348171,0.1173961976,0.0004625751,0.0819135081,0.0002035977,0.2009122339,0.0004634959,0.1252620663,0.0002015344,0.0000000000,0.0000000000,800,96
no_retrieval_controller,stale_memory,0.3475260417,0.0040110561,0.1979054016,0.0044629478,0.2806123975,0.0005185931,0.2449525418,0.0006488426,0.2995164523,0.0009207657,0.1190430254,0.0004817337,0.0854208304,0.0002003569,0.2041844132,0.0004405851,0.1297205932,0.0002086993,0.0000000000,0.0000000000,800,96
no_retrieval_controller,visually_aliased,0.3408723958,0.0040697317,0.1940472509,0.0045231028,0.2833983250,0.0005129681,0.2394500045,0.0006657568,0.2987667998,0.0009189458,0.1195446697,0.0004721690,0.0830868965,0.0002045063,0.2056298528,0.0004591002,0.1264627663,0.0002097657,0.0000000000,0.0000000000,800,96
oracle_mechanism_retrieval,combined_stress,0.7906901042,0.0033491167,0.9287661102,0.0033597032,0.7350709875,0.0005301990,0.0535756038,0.0004006407,0.6775771264,0.0008999245,0.0399543379,0.0004432330,0.1865182023,0.0001862075,0.0821174289,0.0004268454,0.0461395922,0.0002018905,0.8595121278,0.0005170037,800,96
oracle_mechanism_retrieval,cross_embodiment,0.8000781250,0.0030865059,0.9500043617,0.0027888428,0.7457082375,0.0005332313,0.0462669045,0.0004122104,0.6849448258,0.0009152296,0.0353605933,0.0004401129,0.1801355325,0.0001848487,0.0695661238,0.0004254174,0.0384098142,0.0002016083,0.8832997547,0.0005143251,800,96
oracle_mechanism_retrieval,heldout_mechanism,0.8043619792,0.0031212110,0.9587378273,0.0026879171,0.7496429850,0.0004921171,0.0433264883,0.0004339832,0.6881300754,0.0009065670,0.0333142236,0.0004376601,0.1777040698,0.0001793143,0.0640402956,0.0004412113,0.0355510438,0.0002016645,0.8919259245,0.0005123837,800,96
oracle_mechanism_retrieval,heldout_object,0.8071093750,0.0032082752,0.9649674781,0.0025510850,0.7544489062,0.0004958966,0.0412808986,0.0004249689,0.6918338198,0.0009216741,0.0309605416,0.0004331017,0.1751771263,0.0001915408,0.0577056067,0.0004373215,0.0325084919,0.0001888476,0.9010424536,0.0005107377,800,96
oracle_mechanism_retrieval,seen_corpus,0.8154036458,0.0032618039,0.9750558753,0.0022754405,0.7600306262,0.0005232132,0.0388651520,0.0004056680,0.6963435959,0.0009327896,0.0281638438,0.0004392568,0.1722294802,0.0001924965,0.0496340671,0.0004307099,0.0288745112,0.0001987321,0.9115859360,0.0005108982,800,96
oracle_mechanism_retrieval,sparse_corpus,0.7978125000,0.0032935066,0.9450222194,0.0030727966,0.7430026400,0.0005143721,0.0479509449,0.0004284770,0.6832889644,0.0009208690,0.0363313549,0.0004353730,0.1815297350,0.0001931802,0.0724350612,0.0004449486,0.0400888289,0.0002052456,0.8775655495,0.0005010378,800,96
oracle_mechanism_retrieval,stale_memory,0.7951822917,0.0032367200,0.9363078432,0.0030917283,0.7377166538,0.0005300991,0.0544875896,0.0004118915,0.6812458919,0.0009301566,0.0376595250,0.0004371889,0.1853379892,0.0001835934,0.0756614605,0.0004421073,0.0446855214,0.0001953956,0.8635278869,0.0005128660,800,96
oracle_mechanism_retrieval,visually_aliased,0.7935546875,0.0034646123,0.9379013403,0.0032645634,0.7404807675,0.0004955908,0.0476545121,0.0004017605,0.6812213446,0.0009023604,0.0379457027,0.0004429690,0.1827742669,0.0001822191,0.0770815388,0.0004323058,0.0415921547,0.0002018317,0.8734549107,0.0005032167,800,96
proposed_mechanism_retrieval_controller_v4,combined_stress,0.6689453125,0.0037551008,0.6909211446,0.0040920716,0.6066647338,0.0005272559,0.1221392316,0.0005378316,0.5741762881,0.0009150252,0.0638717768,0.0004605026,0.2403228406,0.0001989286,0.1211762172,0.0004465645,0.0723155365,0.0001962579,0.6851051648,0.0005230275,800,96
proposed_mechanism_retrieval_controller_v4,cross_embodiment,0.6893229167,0.0038314986,0.7284999420,0.0041192746,0.6173836475,0.0005146305,0.1105811690,0.0005153551,0.5816168003,0.0009365456,0.0588477781,0.0004510538,0.2336187142,0.0001942062,0.1083089602,0.0004529183,0.0645077450,0.0001987531,0.7091209117,0.0005169661,800,96
