method,split,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_regret,ci95_regret,mean_calibration_error,ci95_calibration_error,mean_retrieval_coverage,ci95_retrieval_coverage,groups,episodes_per_group
action_conditioned_mechanism_retrieval_v5,combined_stress,0.7303906250,0.0036216326,0.8075190454,0.0038649925,0.6667177500,0.0005171364,0.0879307552,0.0004825847,0.6324155323,0.0009106375,0.0523796579,0.0004436894,0.2254063225,0.0001935197,0.1026198594,0.0004464063,0.0577854021,0.0002050934,0.7519758797,0.0005183372,800,96
action_conditioned_mechanism_retrieval_v5,cross_embodiment,0.7354036458,0.0035511945,0.8285867786,0.0037517631,0.6775771012,0.0005200100,0.0782203993,0.0004601012,0.6400193560,0.0009191089,0.0477091923,0.0004432962,0.2190600290,0.0001900894,0.0899130596,0.0004389274,0.0498122339,0.0002013013,0.7758121691,0.0005262157,800,96
action_conditioned_mechanism_retrieval_v5,heldout_mechanism,0.7411067708,0.0034110404,0.8407728991,0.0035748055,0.6820322813,0.0005125706,0.0747936619,0.0004644961,0.6431817793,0.0009265645,0.0456837045,0.0004449057,0.2166591527,0.0001839495,0.0841628978,0.0004279780,0.0470111461,0.0002037602,0.7846464628,0.0005180676,800,96
action_conditioned_mechanism_retrieval_v5,heldout_object,0.7480078125,0.0034144657,0.8545700511,0.0036607986,0.6865572488,0.0005180740,0.0718286154,0.0004663140,0.6467242947,0.0009200662,0.0432055537,0.0004443027,0.2139236344,0.0001932214,0.0778392954,0.0004400238,0.0439310228,0.0002023897,0.7939552980,0.0005168142,800,96
action_conditioned_mechanism_retrieval_v5,seen_corpus,0.7581119792,0.0033514399,0.8728147557,0.0035570913,0.6921543513,0.0005139222,0.0685831142,0.0004621219,0.6514010560,0.0009524995,0.0403247874,0.0004416618,0.2109422348,0.0001875179,0.0699963311,0.0004451630,0.0403353811,0.0001985522,0.8043784962,0.0005037953,800,96
action_conditioned_mechanism_retrieval_v5,sparse_corpus,0.7312890625,0.0036089007,0.8207488732,0.0038851100,0.6750444125,0.0005159046,0.0805382871,0.0004619058,0.6381115175,0.0009054406,0.0488167007,0.0004457534,0.2205467169,0.0001999033,0.0925236656,0.0004498232,0.0517405763,0.0002028620,0.7701825858,0.0005198305,800,96
action_conditioned_mechanism_retrieval_v5,stale_memory,0.7380338542,0.0035195693,0.8202160393,0.0037560181,0.6699398138,0.0005122300,0.0878936821,0.0004720040,0.6361686499,0.0009329287,0.0499986146,0.0004455082,0.2238662410,0.0001897831,0.0960988600,0.0004476239,0.0562255052,0.0002027619,0.7561039042,0.0005153596,800,96
action_conditioned_mechanism_retrieval_v5,visually_aliased,0.7354557292,0.0035705330,0.8210485219,0.0038548712,0.6724372800,0.0005104880,0.0811055686,0.0004532632,0.6354381626,0.0009323913,0.0503183354,0.0004508293,0.2216967960,0.0001931168,0.0974713437,0.0004381902,0.0531761591,0.0002070928,0.7661546783,0.0005165475,800,96
conformal_retrieval_filter,combined_stress,0.5612890625,0.0043118784,0.4826898284,0.0047909502,0.5201643650,0.0005059365,0.2015917310,0.0006951491,0.4924670257,0.0009365373,0.0852618618,0.0004765728,0.2698231731,0.0002097686,0.1574066414,0.0004643660,0.0915649364,0.0002054606,0.5584088603,0.0005290809,800,96
conformal_retrieval_filter,cross_embodiment,0.5869401042,0.0040736668,0.5283744223,0.0044982410,0.5315194738,0.0005093709,0.1846085962,0.0006841330,0.4999106991,0.0009442995,0.0799082774,0.0004674295,0.2631978135,0.0002083931,0.1440384292,0.0004540419,0.0836428488,0.0002019058,0.5827443371,0.0005289822,800,96
conformal_retrieval_filter,heldout_mechanism,0.6012630208,0.0041728129,0.5507536756,0.0045937880,0.5361195537,0.0005400627,0.1786503647,0.0006587592,0.5034817122,0.0009514593,0.0774624537,0.0004795952,0.2604982402,0.0002056854,0.1384498956,0.0004395562,0.0805932221,0.0002020046,0.5918449224,0.0005216432,800,96
