budget,method,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_regret,ci95_regret,mean_calibration_error,ci95_calibration_error,mean_retrieval_coverage,ci95_retrieval_coverage,groups,episodes_per_group
0.0800000000,action_conditioned_mechanism_retrieval_v5,0,0.7219531250,0.0079080445,0.8353630775,0.0084952049,0.6716131562,0.0015324679,0.0843882939,0.0012137479,0.6376039447,0.0021636585,0.0523912993,0.0008151352,0.2500477812,0.0012732011,0.0943648772,0.0016930512,0.0519187640,0.0009320328,0.7682370049,0.0027147544,160,96
0.0800000000,action_conditioned_mechanism_retrieval_v5,1,0.7243645833,0.0074490509,0.8378525376,0.0079223369,0.6718994563,0.0015413348,0.0844002002,0.0012024386,0.6371824780,0.0021413223,0.0525363390,0.0007912262,0.2500862333,0.0012049193,0.0943745244,0.0016830863,0.0522352482,0.0009288263,0.7684688195,0.0027121613,160,96
0.0800000000,action_conditioned_mechanism_retrieval_v5,2,0.7223463542,0.0081920057,0.8357886855,0.0087181245,0.6717480375,0.0014941687,0.0844121064,0.0011893231,0.6372862738,0.0022226567,0.0524245693,0.0007620765,0.2502627073,0.0012047241,0.0945748169,0.0016560721,0.0522515825,0.0009157756,0.7683154416,0.0026845383,160,96
0.0800000000,action_conditioned_mechanism_retrieval_v5,3,0.7226718750,0.0073492701,0.8359723747,0.0077523578,0.6716841625,0.0015080963,0.0845490751,0.0011934213,0.6372981486,0.0022521911,0.0525044790,0.0007507808,0.2501812562,0.0012109808,0.0947823917,0.0016333541,0.0523449552,0.0009228783,0.7684116885,0.0026943793,160,96
0.0800000000,action_conditioned_mechanism_retrieval_v5,4,0.7203229167,0.0082508590,0.8333222888,0.0084623445,0.6715327438,0.0014266452,0.0841857939,0.0011980839,0.6368898135,0.0022433976,0.0524121681,0.0007661757,0.2499140729,0.0014046853,0.0947248941,0.0016549631,0.0525803990,0.0009349186,0.7684809219,0.0026901417,160,96
0.0800000000,action_conditioned_mechanism_retrieval_v5,5,0.7241041667,0.0080263590,0.8375616889,0.0085874109,0.6718190438,0.0013991901,0.0843227626,0.0011980431,0.6367266008,0.0022529717,0.0520899559,0.0007601913,0.2503450854,0.0012508927,0.0948355705,0.0016464500,0.0526362530,0.0009347145,0.7686552077,0.0027193019,160,96
0.0800000000,action_conditioned_mechanism_retrieval_v5,6,0.7201979167,0.0079859801,0.8336060287,0.0086018033,0.6718427125,0.0014114592,0.0843346689,0.0011573990,0.6363926778,0.0021831514,0.0521247268,0.0007963800,0.2502478417,0.0012490757,0.0947435919,0.0017286307,0.0527276247,0.0009349134,0.7686158869,0.0027187438,160,96
0.0800000000,action_conditioned_mechanism_retrieval_v5,7,0.7119921875,0.0086195322,0.8252481731,0.0089496274,0.6719539250,0.0014616935,0.0840339189,0.0012131858,0.6364198728,0.0022143582,0.0522911649,0.0007839431,0.2501742406,0.0013257759,0.0946810686,0.0017282523,0.0525513627,0.0009550109,0.7684022289,0.0027122224,160,96
0.0800000000,action_conditioned_mechanism_retrieval_v5,8,0.7230598958,0.0083627588,0.8363714012,0.0087210408,0.6721526813,0.0014943772,0.0839207626,0.0011713157,0.6365280458,0.0022585272,0.0522727628,0.0007620652,0.2501675115,0.0013309570,0.0949256795,0.0017419701,0.0523030647,0.0009275824,0.7686345437,0.0027111375,160,96
0.0800000000,action_conditioned_mechanism_retrieval_v5,9,0.7259270833,0.0078302690,0.8397165458,0.0083271726,0.6724389813,0.0014729992,0.0838701376,0.0011617914,0.6370717489,0.0022706314,0.0522551471,0.0007617845,0.2501245458,0.0012294591,0.0949151397,0.0017007828,0.0523559172,0.0009243098,0.7685699602,0.0027299117,160,96
0.0800000000,conformal_retrieval_filter,0,0.4389453125,0.0091536808,0.4100806251,0.0106028395,0.5262047438,0.0013906827,0.1934831920,0.0019546393,0.4972968920,0.0022722250,0.0845713891,0.0009124843,0.2953904406,0.0008259430,0.1492867496,0.0017261411,0.0859058386,0.0009515985,0.5749794630,0.0027570839,160,96
0.0800000000,conformal_retrieval_filter,1,0.4451302083,0.0090737037,0.4164496433,0.0107063330,0.5263860438,0.0014475480,0.1933575670,0.0019923096,0.4976506764,0.0022710352,0.0846325234,0.0008957375,0.2952194771,0.0008504086,0.1493163033,0.0017007760,0.0859500098,0.0009410292,0.5750010545,0.0027887415,160,96
0.0800000000,conformal_retrieval_filter,2,0.4401171875,0.0097833228,0.4110788498,0.0113623689,0.5261296250,0.0014731933,0.1936071295,0.0020104717,0.4973785230,0.0022305533,0.0848089272,0.0009035193,0.2952803219,0.0008548079,0.1493740074,0.0016750569,0.0860001841,0.0009304176,0.5750651672,0.0028203457,160,96
0.0800000000,conformal_retrieval_filter,3,0.4318489583,0.0104536716,0.4027504853,0.0118411044,0.5258732063,0.0014769502,0.1935440358,0.0020425665,0.4975550312,0.0022459771,0.0850220388,0.0009126423,0.2951616271,0.0008426079,0.1494095660,0.0016627497,0.0859703183,0.0009214676,0.5750980144,0.0028206933,160,96
0.0800000000,conformal_retrieval_filter,4,0.4342578125,0.0088020818,0.4050044522,0.0103218319,0.5260545063,0.0014354952,0.1937310670,0.0020128830,0.4974601539,0.0022655362,0.0852105466,0.0008954736,0.2951936031,0.0008267409,0.1492111402,0.0017137885,0.0859069358,0.0009274730,0.5749507715,0.0027855865,160,96
0.0800000000,conformal_retrieval_filter,5,0.4405078125,0.0090335885,0.4113592176,0.0103164837,0.5261482625,0.0014989268,0.1939180983,0.0020746628,0.4974528203,0.0022644184,0.0849922450,0.0008630526,0.2952093219,0.0008258553,0.1490111387,0.0017272887,0.0860311471,0.0009038245,0.5751467001,0.0027904321,160,96
0.0800000000,conformal_retrieval_filter,6,0.4364062500,0.0104443610,0.4072254153,0.0121234209,0.5257167563,0.0015307960,0.1936674107,0.0020808063,0.4975483506,0.0021463808,0.0850046688,0.0009041553,0.2953699625,0.0008828685,0.1491897882,0.0017601010,0.0861858736,0.0009023760,0.5751767959,0.0027620497,160,96
0.0800000000,conformal_retrieval_filter,7,0.4399218750,0.0103997704,0.4105982415,0.0119691835,0.5253727938,0.0015350358,0.1937293795,0.0020829747,0.4969325880,0.0023105180,0.0849769066,0.0009116447,0.2953114063,0.0008622052,0.1489951105,0.0017523457,0.0861580088,0.0009461954,0.5752451607,0.0027811981,160,96
0.0800000000,conformal_retrieval_filter,8,0.4388802083,0.0105586317,0.4094582682,0.0121591879,0.5253790063,0.0015069683,0.1939164107,0.0020669049,0.4967501669,0.0021869051,0.0851149675,0.0009007277,0.2951665771,0.0008648401,0.1487482355,0.0017760887,0.0861696638,0.0009527968,0.5753840609,0.0027300773,160,96
0.0800000000,conformal_retrieval_filter,9,0.4406380208,0.0089487573,0.4112342737,0.0102725111,0.5258229375,0.0015163244,0.1938533170,0.0021016455,0.4965765002,0.0021303205,0.0851851291,0.0008492038,0.2950575927,0.0008265074,0.1488401223,0.0017811031,0.0861397981,0.0009669088,0.5752228110,0.0027309610,160,96
0.0800000000,contrastive_mechanism_memory,0,0.5033333333,0.0091910662,0.5299122459,0.0100505670,0.5818364562,0.0015359313,0.1471011031,0.0016454325,0.5518329401,0.0022178503,0.0735191335,0.0008227031,0.2915126708,0.0008011656,0.1292890067,0.0017370700,0.0723278439,0.0009720166,0.6421130003,0.0027566471,160,96
0.0800000000,contrastive_mechanism_memory,1,0.5142057292,0.0088435425,0.5410758404,0.0098235077,0.5817691250,0.0014421780,0.1468604157,0.0016163547,0.5518545767,0.0022330721,0.0733437635,0.0008336695,0.2913196010,0.0008107841,0.1292273113,0.0017011171,0.0722260992,0.0009665903,0.6424797801,0.0027519638,160,96
0.0800000000,contrastive_mechanism_memory,2,0.5011848958,0.0093457482,0.5281862016,0.0105522754,0.5822270563,0.0014131982,0.1466822594,0.0016334539,0.5523992872,0.0022158649,0.0737154050,0.0008513650,0.2914610365,0.0008294461,0.1287588145,0.0017154157,0.0721253549,0.0009446971,0.6424846289,0.0027094523,160,96
0.0800000000,contrastive_mechanism_memory,3,0.4994921875,0.0093445647,0.5263915655,0.0104796591,0.5816344625,0.0014666042,0.1468167594,0.0016559949,0.5523202484,0.0023130817,0.0736423950,0.0008863216,0.2915189156,0.0008215145,0.1286157647,0.0016917764,0.0721046507,0.0009339936,0.6426868264,0.0027129969,160,96
0.0800000000,contrastive_mechanism_memory,4,0.5027473958,0.0086215717,0.5293336656,0.0096589710,0.5818297625,0.0014450036,0.1469512594,0.0016550282,0.5515408597,0.0022557540,0.0736303975,0.0008622451,0.2915075240,0.0008313106,0.1289855712,0.0017183213,0.0722340214,0.0009099195,0.6425518554,0.0027729692,160,96
0.0800000000,contrastive_mechanism_memory,5,0.5060677083,0.0082831822,0.5327835599,0.0093495738,0.5815873438,0.0014585890,0.1469606969,0.0016571368,0.5517288294,0.0022082967,0.0736084738,0.0008625065,0.2912701083,0.0008256475,0.1288821124,0.0016678932,0.0723238724,0.0009478590,0.6423893707,0.0027472347,160,96
0.0800000000,contrastive_mechanism_memory,6,0.5130338542,0.0094960622,0.5398866346,0.0106859218,0.5816075563,0.0014835544,0.1470326657,0.0016320886,0.5517395230,0.0021838401,0.0734127460,0.0008818491,0.2911317260,0.0008156730,0.1288847085,0.0016459007,0.0725647989,0.0009566365,0.6423441946,0.0027151663,160,96
0.0800000000,contrastive_mechanism_memory,7,0.5014453125,0.0092975416,0.5279921726,0.0104006176,0.5816277687,0.0014992632,0.1469795719,0.0016193187,0.5514044187,0.0021664445,0.0736923232,0.0009021062,0.2912531094,0.0008160283,0.1290379762,0.0016432369,0.0725035744,0.0009200185,0.6425566472,0.0027179561,160,96
0.0800000000,contrastive_mechanism_memory,8,0.5011848958,0.0089187241,0.5281637539,0.0097960907,0.5817355250,0.0014969060,0.1464887594,0.0016375641,0.5513472659,0.0021547317,0.0734372038,0.0008131267,0.2912158990,0.0007789812,0.1288663934,0.0016650290,0.0724353464,0.0009399327,0.6426522914,0.0027256825,160,96
0.0800000000,contrastive_mechanism_memory,9,0.5019010417,0.0084111676,0.5287027862,0.0096052673,0.5820183688,0.0015473366,0.1467483219,0.0016469098,0.5511763062,0.0021870614,0.0734046263,0.0008328833,0.2912775729,0.0007946606,0.1290808010,0.0016748714,0.0724916807,0.0009140441,0.6426668952,0.0027549915,160,96
0.0800000000,learned_expected_utility_retrieval,0,0.5147916667,0.0090625235,0.5417461167,0.0102592765,0.5879033938,0.0014962846,0.1408375396,0.0016315983,0.5630547461,0.0022306784,0.0717828590,0.0008502337,0.3153456542,0.0008252456,0.1255830038,0.0017422603,0.0703489956,0.0009268743,0.6532257691,0.0027107118,160,96
0.0800000000,learned_expected_utility_retrieval,1,0.5132942708,0.0088290789,0.5401693872,0.0099790896,0.5877905188,0.0015430829,0.1410645708,0.0016318207,0.5631020125,0.0022409244,0.0717683293,0.0008419616,0.3153437615,0.0007995793,0.1255158695,0.0017289601,0.0703477719,0.0009388405,0.6532346673,0.0027315934,160,96
0.0800000000,learned_expected_utility_retrieval,2,0.5189583333,0.0075377336,0.5459022316,0.0088783422,0.5878527313,0.0014732361,0.1408538833,0.0015985514,0.5629019678,0.0022763970,0.0718568843,0.0008332321,0.3151290521,0.0008086851,0.1255335393,0.0017117361,0.0703770634,0.0009535312,0.6534339105,0.0026984481,160,96
0.0800000000,learned_expected_utility_retrieval,3,0.5200651042,0.0081949012,0.5469135303,0.0091253154,0.5880024875,0.0014819442,0.1408307896,0.0015518264,0.5628704449,0.0022797533,0.0720030834,0.0008166812,0.3152032573,0.0007984380,0.1255566175,0.0016717067,0.0701467251,0.0009429469,0.6533287516,0.0026979130,160,96
0.0800000000,learned_expected_utility_retrieval,4,0.5073697917,0.0090913833,0.5340738064,0.0101897637,0.5877145250,0.0014219964,0.1409952896,0.0015744405,0.5630949874,0.0022485835,0.0721107015,0.0008350588,0.3152080604,0.0007957218,0.1256335533,0.0017012013,0.0702195384,0.0009628560,0.6533273946,0.0027146363,160,96
0.0800000000,learned_expected_utility_retrieval,5,0.5144661458,0.0086913698,0.5414027998,0.0095427320,0.5879518250,0.0014541756,0.1407846021,0.0015583446,0.5628949427,0.0022444579,0.0720234003,0.0008243558,0.3151233740,0.0007839824,0.1253510731,0.0016648058,0.0702863486,0.0009347806,0.6532404949,0.0027390672,160,96
0.0800000000,learned_expected_utility_retrieval,6,0.5226041667,0.0085470412,0.5496921729,0.0096015943,0.5881015812,0.0013988798,0.1408240396,0.0015594908,0.5632114061,0.0022503978,0.0717847828,0.0008640263,0.3152116979,0.0008029202,0.1255207765,0.0016793511,0.0702446046,0.0009474847,0.6533316841,0.0027587080,160,96
0.0800000000,learned_expected_utility_retrieval,7,0.5205208333,0.0082655828,0.5475651727,0.0093138193,0.5879887062,0.0014524667,0.1408634770,0.0015445324,0.5630026071,0.0022127211,0.0716551121,0.0008366159,0.3152180083,0.0008011755,0.1256499095,0.0016992448,0.0702028606,0.0009412759,0.6532517879,0.0027585506,160,96
0.0800000000,learned_expected_utility_retrieval,8,0.5158333333,0.0085906391,0.5426657715,0.0096317269,0.5878758313,0.0014835344,0.1410905083,0.0015490110,0.5626996985,0.0021399483,0.0717730418,0.0008548085,0.3151482208,0.0008423622,0.1255390533,0.0016961335,0.0700140431,0.0009231680,0.6532606860,0.0027680031,160,96
0.0800000000,learned_expected_utility_retrieval,9,0.5147265625,0.0085497187,0.5417554713,0.0097260922,0.5876754125,0.0015097181,0.1408172896,0.0015557390,0.5628520174,0.0021730078,0.0717539821,0.0008387138,0.3151033406,0.0008367464,0.1253974917,0.0017162061,0.0701173716,0.0009151871,0.6531425206,0.0027730131,160,96
0.0800000000,model_predictive_retrieval_arbitration,0,0.5281380208,0.0087585075,0.5691917130,0.0100307050,0.5999786000,0.0015020957,0.1327488658,0.0014832195,0.5744039997,0.0022487223,0.0690345237,0.0008542786,0.3070254365,0.0008126454,0.1199921520,0.0017128899,0.0682595706,0.0009287774,0.6695648311,0.0027402456,160,96
