budget,method,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_regret,ci95_regret,mean_calibration_error,ci95_calibration_error,mean_retrieval_coverage,ci95_retrieval_coverage,groups,episodes_per_group
0.0800000000,model_predictive_retrieval_arbitration,1,0.5270963542,0.0081239639,0.5681065846,0.0092190094,0.6002439000,0.0015079828,0.1329333658,0.0015210751,0.5741305797,0.0022539107,0.0690208137,0.0008198771,0.3069541260,0.0008037092,0.1198448260,0.0016843697,0.0683071851,0.0009353034,0.6698726601,0.0027415200,160,96
0.0800000000,model_predictive_retrieval_arbitration,2,0.5267708333,0.0091266621,0.5678878710,0.0100874468,0.5999839375,0.0014767983,0.1324925533,0.0014866449,0.5743167644,0.0022238096,0.0691005162,0.0008115968,0.3069853458,0.0007953391,0.1200112631,0.0016842711,0.0680821634,0.0009320678,0.6698758368,0.0027047650,160,96
0.0800000000,model_predictive_retrieval_arbitration,3,0.5276171875,0.0095036513,0.5687038054,0.0102108816,0.6000741500,0.0013800975,0.1326770533,0.0014664890,0.5744810631,0.0022358135,0.0690528219,0.0008232893,0.3070001594,0.0007981777,0.1201061833,0.0016772183,0.0681672966,0.0009444270,0.6698194838,0.0027407885,160,96
0.0800000000,model_predictive_retrieval_arbitration,4,0.5275520833,0.0085863466,0.5685540601,0.0097870552,0.5999892750,0.0013882302,0.1326114282,0.0015418038,0.5742163975,0.0022352203,0.0690790625,0.0008575562,0.3069902146,0.0008365403,0.1201975691,0.0016925287,0.0682109091,0.0009202621,0.6697141063,0.0027471121,160,96
0.0800000000,model_predictive_retrieval_arbitration,5,0.5321744792,0.0088935653,0.5732445690,0.0099115333,0.5999919438,0.0013990866,0.1326708658,0.0015580485,0.5742099859,0.0022203680,0.0688796075,0.0008591806,0.3070272010,0.0008218283,0.1202399092,0.0016773120,0.0681439664,0.0009477162,0.6695081786,0.0027743784,160,96
0.0800000000,model_predictive_retrieval_arbitration,6,0.5237109375,0.0084710694,0.5647218687,0.0096293353,0.6004323313,0.0014442830,0.1329178970,0.0015583392,0.5746347274,0.0021781611,0.0690789059,0.0008562475,0.3070597969,0.0008439545,0.1201828803,0.0016806666,0.0678924314,0.0009230393,0.6696761877,0.0027513418,160,96
0.0800000000,model_predictive_retrieval_arbitration,7,0.5207812500,0.0091538207,0.5617525542,0.0103659264,0.6000848250,0.0015227943,0.1327272095,0.0015388585,0.5742868952,0.0021914060,0.0690729172,0.0008455404,0.3071649938,0.0008307645,0.1200200103,0.0017047395,0.0679340429,0.0009077964,0.6696573534,0.0027029826,160,96
0.0800000000,model_predictive_retrieval_arbitration,8,0.5262500000,0.0089071482,0.5671540130,0.0099456654,0.6002625812,0.0015534814,0.1329117095,0.0015142119,0.5738383877,0.0021886501,0.0690545759,0.0008320656,0.3068899812,0.0007804163,0.1200259109,0.0017173543,0.0679066199,0.0009099168,0.6697580789,0.0026900156,160,96
0.0800000000,model_predictive_retrieval_arbitration,9,0.5184375000,0.0095258285,0.5592290719,0.0106243848,0.6001777062,0.0015087607,0.1329086157,0.0015225567,0.5741843397,0.0022061537,0.0692996844,0.0008593129,0.3071010562,0.0008100406,0.1199090196,0.0017015828,0.0679137141,0.0009141401,0.6697489996,0.0027149653,160,96
0.0800000000,no_retrieval_controller,0,0.2096484375,0.0086573218,0.1023409540,0.0101695828,0.2825199688,0.0014632217,0.2411444705,0.0019508125,0.3006012723,0.0021065326,0.1213240161,0.0008803024,0.1123833969,0.0007975519,0.2026570033,0.0016855175,0.1260121440,0.0009234888,0.0000000000,0.0000000000,160,96
0.0800000000,no_retrieval_controller,1,0.2159635417,0.0090193672,0.1088882589,0.0105386596,0.2822425500,0.0013923745,0.2406911893,0.0019435767,0.3005953496,0.0021479509,0.1210507207,0.0009072502,0.1123892042,0.0008229984,0.2030164622,0.0016845709,0.1259670353,0.0009657536,0.0000000000,0.0000000000,160,96
0.0800000000,no_retrieval_controller,2,0.2037447917,0.0097111814,0.0962898080,0.0110517310,0.2825779375,0.0013973508,0.2406756268,0.0019224719,0.3003114756,0.0021654181,0.1213683345,0.0008907930,0.1126932073,0.0008184385,0.2029503966,0.0017085978,0.1259289300,0.0009635680,0.0000000000,0.0000000000,160,96
0.0800000000,no_retrieval_controller,3,0.2204557292,0.0095264252,0.1133273811,0.0110196778,0.2822129750,0.0014109103,0.2408476580,0.0019629270,0.2999334920,0.0021776611,0.1209126204,0.0009240662,0.1122146010,0.0008367780,0.2028444418,0.0016727908,0.1259313450,0.0009644870,0.0000000000,0.0000000000,160,96
0.0800000000,no_retrieval_controller,4,0.2080208333,0.0088198936,0.1006215463,0.0101203272,0.2828109937,0.0014354979,0.2410822205,0.0020025086,0.3002536698,0.0022183260,0.1212500867,0.0008936142,0.1124078708,0.0008335755,0.2030789089,0.0016811027,0.1260848355,0.0009677074,0.0000000000,0.0000000000,160,96
0.0800000000,no_retrieval_controller,5,0.2093880208,0.0092438119,0.1020561708,0.0107365529,0.2828837500,0.0014315856,0.2410041268,0.0019541922,0.3002346156,0.0022899861,0.1212797107,0.0009045985,0.1123328740,0.0008666825,0.2030052626,0.0016822650,0.1260457298,0.0009711847,0.0000000000,0.0000000000,160,96
0.0800000000,no_retrieval_controller,6,0.2095182292,0.0091185740,0.1024539737,0.0106505777,0.2832191375,0.0014475122,0.2406133767,0.0019578583,0.3004891356,0.0023111830,0.1212346770,0.0008940688,0.1125003073,0.0008393496,0.2029626475,0.0016883314,0.1258890653,0.0009355905,0.0000000000,0.0000000000,160,96
0.0800000000,no_retrieval_controller,7,0.2140104167,0.0084946406,0.1071027319,0.0098585348,0.2833794375,0.0014480970,0.2407228768,0.0019280735,0.3007261468,0.0023290938,0.1211461451,0.0008531418,0.1123065229,0.0008498636,0.2029428588,0.0017283469,0.1256653673,0.0009376612,0.0000000000,0.0000000000,160,96
0.0800000000,no_retrieval_controller,8,0.2063932292,0.0084920302,0.0990338722,0.0098861905,0.2829269313,0.0015247284,0.2409574393,0.0019128431,0.3008712371,0.0022702394,0.1215469676,0.0008523250,0.1124323448,0.0008532649,0.2030804275,0.0017438525,0.1255562265,0.0009303907,0.0000000000,0.0000000000,160,96
0.0800000000,no_retrieval_controller,9,0.2134244792,0.0085071150,0.1063273143,0.0100654623,0.2829996875,0.0014815953,0.2408793455,0.0019120356,0.3010272704,0.0022735513,0.1212870448,0.0008625207,0.1125031635,0.0008755696,0.2029035797,0.0017349539,0.1257797520,0.0009419443,0.0000000000,0.0000000000,160,96
0.0800000000,proposed_mechanism_retrieval_controller_v4,0,0.5544401042,0.0077452892,0.6244738696,0.0087350051,0.6119670500,0.0014361228,0.1172010187,0.0013898847,0.5788574806,0.0022017967,0.0632909932,0.0007687294,0.2658167323,0.0007894268,0.1133201862,0.0016711993,0.0670361738,0.0009400927,0.7017551279,0.0027414035,160,96
0.0800000000,proposed_mechanism_retrieval_controller_v4,1,0.5448697917,0.0085990035,0.6148251344,0.0095788341,0.6119101750,0.0013695005,0.1170928625,0.0013926929,0.5789724786,0.0022511513,0.0634598316,0.0007951877,0.2658017854,0.0008504497,0.1135188742,0.0016756739,0.0669785495,0.0009225560,0.7015204673,0.0027452663,160,96
0.0800000000,proposed_mechanism_retrieval_controller_v4,2,0.5454557292,0.0089631648,0.6154268257,0.0100166136,0.6123785625,0.0013231069,0.1170472375,0.0014261512,0.5789977442,0.0022960480,0.0635252722,0.0008130184,0.2657947260,0.0008401159,0.1136719663,0.0016899316,0.0669219258,0.0009329994,0.7015742008,0.0027380301,160,96
0.0800000000,proposed_mechanism_retrieval_controller_v4,3,0.5425911458,0.0087280544,0.6124679818,0.0097534534,0.6122341438,0.0014694589,0.1171892062,0.0014387212,0.5791915315,0.0022805770,0.0635533976,0.0008107435,0.2659110115,0.0008465653,0.1136803917,0.0017190374,0.0670558973,0.0009166793,0.7014175791,0.0027559582,160,96
0.0800000000,proposed_mechanism_retrieval_controller_v4,4,0.5444791667,0.0087737002,0.6144893461,0.0096204820,0.6127025313,0.0015095534,0.1172061124,0.0014249084,0.5793896961,0.0022759904,0.0635247404,0.0008233036,0.2659982792,0.0008107988,0.1135330355,0.0017591104,0.0669627553,0.0008941434,0.7015175858,0.0027366067,160,96
0.0800000000,proposed_mechanism_retrieval_controller_v4,5,0.5450000000,0.0088347432,0.6149008551,0.0096773166,0.6128207438,0.0015184130,0.1173480812,0.0014030895,0.5790582209,0.0022197697,0.0636795219,0.0008206517,0.2658795750,0.0008011206,0.1132507657,0.0017209766,0.0665714643,0.0008970344,0.7015320496,0.0026926057,160,96
0.0800000000,proposed_mechanism_retrieval_controller_v4,6,0.5455208333,0.0095278924,0.6151258092,0.0105240820,0.6119759750,0.0015937943,0.1174275187,0.0013622892,0.5787289343,0.0021489757,0.0637548888,0.0008372027,0.2659484646,0.0007968108,0.1132157675,0.0016953824,0.0666669165,0.0009144519,0.7016233019,0.0026767720,160,96
0.0800000000,proposed_mechanism_retrieval_controller_v4,7,0.5417447917,0.0086930015,0.6111834384,0.0096760269,0.6119191000,0.0015110106,0.1176320187,0.0013886772,0.5787454456,0.0021627586,0.0640289101,0.0008311489,0.2658523979,0.0008098118,0.1129800728,0.0017025971,0.0666893323,0.0009332124,0.7014699319,0.0027233070,160,96
0.0800000000,proposed_mechanism_retrieval_controller_v4,8,0.5461067708,0.0084769668,0.6157747531,0.0095315251,0.6112494188,0.0014901415,0.1174613312,0.0014095389,0.5792128072,0.0021538328,0.0639801088,0.0008363062,0.2656423990,0.0007967264,0.1128694544,0.0016589524,0.0668183013,0.0009460468,0.7016902486,0.0027256927,160,96
0.0800000000,proposed_mechanism_retrieval_controller_v4,9,0.5501432292,0.0090921211,0.6197033636,0.0102352395,0.6110174563,0.0014885229,0.1173531749,0.0014647985,0.5786274551,0.0022076303,0.0639040254,0.0008688435,0.2655495135,0.0008234657,0.1130807487,0.0016628458,0.0667231583,0.0009440637,0.7017917560,0.0027516701,160,96
0.0800000000,test_time_retrieval_adaptation,0,0.4688932292,0.0094359548,0.4537115115,0.0107827598,0.5515649437,0.0015062498,0.1724129683,0.0018494973,0.5228127561,0.0022837938,0.0800460172,0.0008745391,0.3259636698,0.0008328984,0.1417804040,0.0017278137,0.0798740212,0.0009529317,0.5884460174,0.0026925767,160,96
0.0800000000,test_time_retrieval_adaptation,1,0.4745572917,0.0090854338,0.4596451752,0.0103741026,0.5517742437,0.0015257027,0.1726199996,0.0018540800,0.5228327225,0.0023074202,0.0798141437,0.0008937246,0.3256619229,0.0008042565,0.1414467360,0.0016993637,0.0797854400,0.0009436489,0.5886159645,0.0027098197,160,96
0.0800000000,test_time_retrieval_adaptation,2,0.4675911458,0.0088102686,0.4525177913,0.0099936851,0.5518960000,0.0014807927,0.1725143746,0.0018723325,0.5225134569,0.0022891229,0.0799753218,0.0008758411,0.3257621115,0.0007947373,0.1415053046,0.0017017664,0.0795793000,0.0009681981,0.5886475925,0.0027269392,160,96
0.0800000000,test_time_retrieval_adaptation,3,0.4648567708,0.0094352602,0.4498490927,0.0106226747,0.5521928437,0.0015208648,0.1724712808,0.0018599140,0.5228923527,0.0022929840,0.0802522990,0.0008841754,0.3256154615,0.0007992361,0.1414040453,0.0016856687,0.0795992730,0.0009675606,0.5886394507,0.0027520485,160,96
0.0800000000,test_time_retrieval_adaptation,4,0.4677213542,0.0095822041,0.4527142313,0.0108378461,0.5519644250,0.0014337776,0.1723031246,0.0017785542,0.5226628194,0.0022333506,0.0801195906,0.0008694541,0.3257280948,0.0007907613,0.1415082099,0.0016871318,0.0795422075,0.0009639648,0.5887468665,0.0027248536,160,96
0.0800000000,test_time_retrieval_adaptation,5,0.4681770833,0.0091118387,0.4532871149,0.0105809636,0.5517360062,0.0014321071,0.1720724370,0.0017850563,0.5223479310,0.0021605083,0.0797632331,0.0008609447,0.3258369333,0.0007911348,0.1417111469,0.0016966903,0.0795591790,0.0009281756,0.5886579343,0.0027121395,160,96
0.0800000000,test_time_retrieval_adaptation,6,0.4709114583,0.0090588841,0.4559290234,0.0102269201,0.5514200438,0.0014427607,0.1722169371,0.0017905790,0.5227202610,0.0021922808,0.0798423481,0.0008584659,0.3258013146,0.0008012840,0.1418685725,0.0017261876,0.0794695972,0.0008947911,0.5886395373,0.0027337958,160,96
0.0800000000,test_time_retrieval_adaptation,7,0.4696744792,0.0087599104,0.4546329468,0.0100204214,0.5514542562,0.0014780675,0.1722989058,0.0017921966,0.5226570608,0.0021509965,0.0798009765,0.0008600458,0.3258212948,0.0008311324,0.1419809987,0.0017245762,0.0796041275,0.0009246866,0.5883527562,0.0028236549,160,96
0.0800000000,test_time_retrieval_adaptation,8,0.4666796875,0.0096168538,0.4518941727,0.0107799281,0.5516635562,0.0015028370,0.1720682183,0.0018200311,0.5228674349,0.0022157085,0.0797693597,0.0008668063,0.3258283656,0.0008323952,0.1417742810,0.0017047388,0.0797711740,0.0009107756,0.5882488164,0.0028112668,160,96
0.0800000000,test_time_retrieval_adaptation,9,0.4698046875,0.0087689776,0.4551290750,0.0102995157,0.5519604000,0.0014175509,0.1720251246,0.0018371090,0.5228086119,0.0021556763,0.0796407181,0.0008685408,0.3258247969,0.0008424697,0.1418309756,0.0017067235,0.0796785907,0.0009100775,0.5884407745,0.0028021057,160,96
