ablation,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_regret,ci95_regret,mean_calibration_error,ci95_calibration_error,mean_retrieval_coverage,ci95_retrieval_coverage,groups,episodes_per_group
classifier_only_mechanism_score,0.6531380208,0.0039516576,0.6422113445,0.0043375027,0.5807296413,0.0005159935,0.1578564852,0.0005927319,0.5540991018,0.0009456815,0.0757031433,0.0004576922,0.2274419627,0.0002089118,0.1421770380,0.0004489512,0.0838597688,0.0002027096,0.6307760272,0.0005315177,800,96
full_action_conditioned_mechanism_retrieval,0.7222395833,0.0036240865,0.7993110591,0.0038295099,0.6667627075,0.0005223447,0.0878059490,0.0004742039,0.6324552768,0.0009064091,0.0524720627,0.0004399260,0.2255908133,0.0001901210,0.1026628127,0.0004380865,0.0576157877,0.0002026858,0.7518871197,0.0005113316,800,96
minus_action_conditioned_key,0.6591276042,0.0041062624,0.6577728299,0.0044927182,0.5906645763,0.0005254014,0.1471988080,0.0005607448,0.5632939180,0.0009039792,0.0718560359,0.0004583609,0.2353763935,0.0002038584,0.1365009058,0.0004548490,0.0786607872,0.0001969424,0.6453285626,0.0005378809,800,96
minus_active_disambiguation,0.6615364583,0.0038354499,0.6628645758,0.0042007872,0.5885988200,0.0005239340,0.1529827753,0.0005940816,0.5637171979,0.0009400165,0.0741903968,0.0004545944,0.2134459183,0.0002044370,0.1387573753,0.0004521191,0.0808170132,0.0002010720,0.6368925341,0.0005277348,800,96
minus_calibration_guard,0.6845572917,0.0038262745,0.6936918031,0.0041268816,0.6043702350,0.0005375250,0.1335117837,0.0005374010,0.5806798376,0.0009220796,0.0714752199,0.0004529058,0.2471941492,0.0001894268,0.1293685982,0.0004488229,0.0945033585,0.0002001342,0.6812330418,0.0005231322,800,96
minus_counterfactual_rejection,0.6666536458,0.0038041259,0.6729658385,0.0041126992,0.5985142950,0.0005301001,0.1416517121,0.0005622100,0.5706397651,0.0009254960,0.0742134030,0.0004570124,0.2264466640,0.0001946611,0.1341406613,0.0004506949,0.0765039149,0.0002016733,0.6592459859,0.0005185883,800,96
minus_mechanism_index,0.6451822917,0.0042354823,0.6279578817,0.0046563154,0.5746056625,0.0005221210,0.1600517763,0.0006078777,0.5490977003,0.0009120633,0.0759181281,0.0004638976,0.2356244504,0.0002045918,0.1432966863,0.0004495518,0.0827908947,0.0001958445,0.6250174064,0.0005273800,800,96
minus_recovery_controller,0.6821614583,0.0039250213,0.6891466551,0.0042595962,0.6095951188,0.0005002225,0.1289883263,0.0005444397,0.5199414611,0.0009187273,0.0690442141,0.0004612392,0.2211381558,0.0002040520,0.1295586034,0.0004451878,0.0733314245,0.0001961871,0.6748714149,0.0005189644,800,96
minus_stale_memory_downweight,0.6794531250,0.0038263120,0.6891668081,0.0041866107,0.6005082663,0.0005155228,0.1390530648,0.0005567360,0.5744057427,0.0008782514,0.0720787945,0.0004573724,0.2291083175,0.0002031603,0.1316958695,0.0004536249,0.0755380378,0.0002026087,0.6686358524,0.0005294036,800,96
top1_only_retrieval,0.6557682292,0.0038815337,0.6534198858,0.0042829323,0.5832149313,0.0005220680,0.1560159464,0.0005669823,0.5558054006,0.0009182608,0.0764776869,0.0004717451,0.2064604935,0.0002014721,0.1409978004,0.0004389216,0.0808582014,0.0002074080,0.6181707877,0.0005417756,800,96
