method,split,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_regret,ci95_regret,mean_calibration_error,ci95_calibration_error,mean_retrieval_coverage,ci95_retrieval_coverage,groups,episodes_per_group
action_conditioned_mechanism_retrieval_v5,combined_stress,0,0.7372395833,0.0112706458,0.8145902672,0.0118249205,0.6664702125,0.0018040059,0.0879015052,0.0013742667,0.6332685523,0.0030095441,0.0524663804,0.0013996105,0.2252508458,0.0006195109,0.1025057338,0.0014197481,0.0576518466,0.0006436541,0.7516242767,0.0017201190,80,96
action_conditioned_mechanism_retrieval_v5,combined_stress,1,0.7240885417,0.0125866939,0.8009674967,0.0133435439,0.6665446750,0.0017056083,0.0880747552,0.0014584301,0.6324545136,0.0030284637,0.0526631016,0.0014273714,0.2255299104,0.0005898535,0.1024586827,0.0013532940,0.0579176436,0.0006454993,0.7518584887,0.0017241155,80,96
action_conditioned_mechanism_retrieval_v5,combined_stress,2,0.7274739583,0.0117321017,0.8048205613,0.0125394608,0.6669693125,0.0016823068,0.0876226927,0.0015651673,0.6325377983,0.0030680722,0.0523683197,0.0013642181,0.2255024271,0.0006643890,0.1024673908,0.0013608173,0.0579483231,0.0006406551,0.7519581334,0.0017896219,80,96
action_conditioned_mechanism_retrieval_v5,combined_stress,3,0.7263020833,0.0120347625,0.8035682084,0.0130158627,0.6668686875,0.0016583698,0.0881711302,0.0015890079,0.6329362404,0.0030200220,0.0524507166,0.0014211526,0.2253886708,0.0006363681,0.1021152485,0.0014497643,0.0579950106,0.0006223566,0.7519557272,0.0017364107,80,96
action_conditioned_mechanism_retrieval_v5,combined_stress,4,0.7311197917,0.0095961753,0.8082856803,0.0104212505,0.6671182375,0.0016502287,0.0882193177,0.0015457507,0.6328269289,0.0029117383,0.0523902835,0.0014402368,0.2254161729,0.0006230349,0.1025501346,0.0014167139,0.0578836191,0.0006530849,0.7520113499,0.0016570127,80,96
action_conditioned_mechanism_retrieval_v5,combined_stress,5,0.7375000000,0.0117037123,0.8143841703,0.0126620862,0.6668425250,0.0016918791,0.0880173802,0.0015521691,0.6318509342,0.0028315834,0.0524342916,0.0013953989,0.2254968375,0.0006265266,0.1026892153,0.0014334188,0.0578432631,0.0006620782,0.7519399092,0.0015561342,80,96
action_conditioned_mechanism_retrieval_v5,combined_stress,6,0.7238281250,0.0109862723,0.8005336034,0.0118444961,0.6665668125,0.0016498608,0.0880655677,0.0015679812,0.6320917976,0.0028457193,0.0525565960,0.0014356226,0.2257081562,0.0006246043,0.1028176482,0.0014508032,0.0578069091,0.0006938146,0.7523537109,0.0015307802,80,96
action_conditioned_mechanism_retrieval_v5,combined_stress,7,0.7282552083,0.0112777757,0.8052675787,0.0120646774,0.6666412750,0.0014904629,0.0881137552,0.0016370383,0.6319824861,0.0026864921,0.0522030441,0.0014161927,0.2253659396,0.0006120600,0.1027522842,0.0014481866,0.0576204801,0.0007057673,0.7517950267,0.0015968804,80,96
action_conditioned_mechanism_retrieval_v5,combined_stress,8,0.7300781250,0.0116573746,0.8071190467,0.0123891848,0.6665406500,0.0015620536,0.0877867552,0.0015553625,0.6320613936,0.0026951012,0.0523203291,0.0014193742,0.2253603312,0.0005775747,0.1029667989,0.0014295842,0.0575030856,0.0006416928,0.7520452467,0.0015934400,80,96
action_conditioned_mechanism_retrieval_v5,combined_stress,9,0.7380208333,0.0115202491,0.8156538412,0.0120098491,0.6666151125,0.0015211642,0.0873346927,0.0014744221,0.6321446783,0.0028171337,0.0519435160,0.0013832735,0.2250439333,0.0005627799,0.1028754570,0.0014208937,0.0576838401,0.0005982471,0.7522169274,0.0015511731,80,96
