method,split,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_regret,ci95_regret,mean_calibration_error,ci95_calibration_error,mean_retrieval_coverage,ci95_retrieval_coverage,groups,episodes_per_group
action_conditioned_mechanism_retrieval_v5,cross_embodiment,0,0.7291666667,0.0132354995,0.8222861564,0.0141342516,0.6772455375,0.0016374103,0.0781561430,0.0013837428,0.6401592600,0.0029903517,0.0479029550,0.0014630047,0.2187966167,0.0006531950,0.0901223598,0.0014037546,0.0497996858,0.0007102729,0.7759982244,0.0015693667,80,96
action_conditioned_mechanism_retrieval_v5,cross_embodiment,1,0.7427083333,0.0117655390,0.8361313835,0.0124553288,0.6775020875,0.0015435954,0.0780842680,0.0012927455,0.6400611506,0.0029529446,0.0473799363,0.0014073219,0.2189300958,0.0005970846,0.0901554413,0.0013857884,0.0497644108,0.0007030817,0.7756654109,0.0016414208,80,96
action_conditioned_mechanism_retrieval_v5,cross_embodiment,2,0.7388020833,0.0118792089,0.8324424273,0.0122636965,0.6777586375,0.0015784259,0.0781374555,0.0014178159,0.6404839266,0.0028933602,0.0473298094,0.0013857533,0.2189326583,0.0005918670,0.0898846248,0.0013794491,0.0498061743,0.0006977104,0.7757252937,0.0017310019,80,96
action_conditioned_mechanism_retrieval_v5,cross_embodiment,3,0.7368489583,0.0111870547,0.8303223578,0.0117292350,0.6778401000,0.0016150391,0.0783157055,0.0014414941,0.6400268878,0.0029667751,0.0472532806,0.0014147623,0.2190579521,0.0006227158,0.0898353728,0.0013474132,0.0498499388,0.0006346652,0.7755635657,0.0017507929,80,96
action_conditioned_mechanism_retrieval_v5,cross_embodiment,4,0.7274739583,0.0102563144,0.8205529497,0.0111238556,0.6782717375,0.0016361485,0.0783688930,0.0014679277,0.6395742262,0.0029414245,0.0476767788,0.0013982300,0.2192871521,0.0006148636,0.0897804141,0.0013676401,0.0497416273,0.0006175947,0.7756374554,0.0017087354,80,96
action_conditioned_mechanism_retrieval_v5,cross_embodiment,5,0.7276041667,0.0113005975,0.8203508150,0.0115020244,0.6778279375,0.0015887332,0.0784220805,0.0014858490,0.6396468272,0.0029042439,0.0480042206,0.0013924077,0.2193832792,0.0005959559,0.0899161007,0.0014277673,0.0499334658,0.0006257743,0.7758414102,0.0016636980,80,96
action_conditioned_mechanism_retrieval_v5,cross_embodiment,6,0.7316406250,0.0107939794,0.8242156848,0.0116514019,0.6777343125,0.0017449891,0.0786003305,0.0014312388,0.6397150509,0.0028917771,0.0481200294,0.0014033172,0.2192746437,0.0006238977,0.0901575440,0.0014343747,0.0497521178,0.0005982967,0.7759658252,0.0016628927,80,96
action_conditioned_mechanism_retrieval_v5,cross_embodiment,7,0.7361979167,0.0106310140,0.8291577955,0.0109592030,0.6772905125,0.0017449719,0.0780282055,0.0015086693,0.6399846253,0.0029349384,0.0480238619,0.0013976248,0.2191587167,0.0005818525,0.0900614460,0.0013436646,0.0496338013,0.0006031730,0.7758070987,0.0016725917,80,96
action_conditioned_mechanism_retrieval_v5,cross_embodiment,8,0.7432291667,0.0092959782,0.8365854623,0.0103431552,0.6771968875,0.0017707305,0.0780813930,0.0016126727,0.6402323137,0.0028611187,0.0477768600,0.0014248256,0.2187830417,0.0005706729,0.0896937310,0.0014496950,0.0497506023,0.0006045030,0.7761391174,0.0016510110,80,96
action_conditioned_mechanism_retrieval_v5,cross_embodiment,9,0.7403645833,0.0114321738,0.8338227540,0.0120188116,0.6771032625,0.0016428083,0.0780095180,0.0015594211,0.6403092919,0.0028836607,0.0476241913,0.0013940987,0.2189961333,0.0005721911,0.0895235611,0.0014080352,0.0500905148,0.0005856084,0.7757782899,0.0016723112,80,96
action_conditioned_mechanism_retrieval_v5,heldout_mechanism,0,0.7485677083,0.0110863744,0.8483638697,0.0114975589,0.6812840250,0.0017199747,0.0747569307,0.0013872347,0.6433242374,0.0030464689,0.0457393914,0.0014331767,0.2162054771,0.0005698767,0.0839251756,0.0013702115,0.0471506209,0.0005790426,0.7847295062,0.0016185870,80,96
action_conditioned_mechanism_retrieval_v5,heldout_mechanism,1,0.7453125000,0.0108101980,0.8450816772,0.0113282723,0.6817226625,0.0016883112,0.0745649932,0.0014934125,0.6430622427,0.0030872941,0.0457384245,0.0014301368,0.2165020750,0.0005867337,0.0839598043,0.0013463753,0.0472664999,0.0006241375,0.7849227134,0.0016798940,80,96
action_conditioned_mechanism_retrieval_v5,heldout_mechanism,2,0.7467447917,0.0094122753,0.8464467889,0.0096675879,0.6818111250,0.0015968309,0.0744981182,0.0014312261,0.6427958709,0.0030816063,0.0456618370,0.0013922045,0.2167330479,0.0005549933,0.0840001396,0.0013205359,0.0473093424,0.0006142748,0.7846802029,0.0017068405,80,96
action_conditioned_mechanism_retrieval_v5,heldout_mechanism,3,0.7460937500,0.0109645258,0.8453931078,0.0118270271,0.6820746750,0.0015012556,0.0751816182,0.0014332728,0.6426783234,0.0029514702,0.0458253508,0.0014749699,0.2167680750,0.0005843380,0.0839715130,0.0013223792,0.0474392284,0.0006420395,0.7845067269,0.0017065131,80,96
action_conditioned_mechanism_retrieval_v5,heldout_mechanism,4,0.7386718750,0.0110114580,0.8380592199,0.0115023289,0.6821631375,0.0015696757,0.0748646182,0.0015131273,0.6427708809,0.0030320028,0.0458906295,0.0014903115,0.2167478187,0.0006006736,0.0841942320,0.0013092078,0.0470278439,0.0006706046,0.7844793239,0.0016382165,80,96
action_conditioned_mechanism_retrieval_v5,heldout_mechanism,5,0.7309895833,0.0110567745,0.8306835358,0.0114995380,0.6826017750,0.0015953402,0.0746726807,0.0015135190,0.6432092362,0.0030419019,0.0458943126,0.0014764113,0.2166561708,0.0005446103,0.0841162044,0.0012540020,0.0467685354,0.0006745149,0.7845724812,0.0016698009,80,96
action_conditioned_mechanism_retrieval_v5,heldout_mechanism,6,0.7398437500,0.0113928749,0.8398807922,0.0119954114,0.6825151500,0.0017484600,0.0746058057,0.0014607382,0.6432930393,0.0028830037,0.0453839814,0.0013940721,0.2164830875,0.0005787154,0.0843503365,0.0012950939,0.0467363404,0.0006665284,0.7849162637,0.0016591793,80,96
action_conditioned_mechanism_retrieval_v5,heldout_mechanism,7,0.7411458333,0.0105583328,0.8410507606,0.0109196576,0.6822534375,0.0016291308,0.0747890557,0.0014839771,0.6437182631,0.0028202094,0.0454773214,0.0013504461,0.2167158833,0.0005869003,0.0842894288,0.0013885736,0.0467831849,0.0006705260,0.7846307317,0.0015893295,80,96
action_conditioned_mechanism_retrieval_v5,heldout_mechanism,8,0.7373697917,0.0104237547,0.8371349939,0.0109928643,0.6819917250,0.0016422460,0.0748472432,0.0015112552,0.6436226015,0.0027307257,0.0455032383,0.0013349033,0.2168696979,0.0006217508,0.0842322691,0.0014803001,0.0469030659,0.0006642552,0.7845528034,0.0016076058,80,96
action_conditioned_mechanism_retrieval_v5,heldout_mechanism,9,0.7363281250,0.0110138537,0.8356342457,0.0116840123,0.6819051000,0.0015738954,0.0751555557,0.0015298996,0.6433430981,0.0027544944,0.0457225576,0.0013575694,0.2169101937,0.0006009492,0.0845898742,0.0014965542,0.0467267989,0.0006434496,0.7844738747,0.0015907471,80,96
action_conditioned_mechanism_retrieval_v5,heldout_object,0,0.7563802083,0.0113378531,0.8632557842,0.0117499877,0.6869190000,0.0015800432,0.0720344717,0.0014224641,0.6476005860,0.0028905367,0.0429346318,0.0013563752,0.2141055021,0.0005731904,0.0777733407,0.0014156439,0.0437546990,0.0006260869,0.7941966017,0.0016047097,80,96
action_conditioned_mechanism_retrieval_v5,heldout_object,1,0.7408854167,0.0116810076,0.8475053711,0.0125813746,0.6868113750,0.0015871209,0.0719525967,0.0014540955,0.6471386516,0.0029055260,0.0432277193,0.0014052669,0.2139641542,0.0006095899,0.0779045711,0.0013248863,0.0438633390,0.0006588988,0.7939273042,0.0016269187,80,96
action_conditioned_mechanism_retrieval_v5,heldout_object,2,0.7529947917,0.0110114580,0.8594235879,0.0116694475,0.6870539250,0.0015673284,0.0721208467,0.0015271387,0.6468430504,0.0027979120,0.0431164780,0.0014153358,0.2138115354,0.0005867699,0.0779440132,0.0014555384,0.0439759810,0.0006480544,0.7939711632,0.0016584827,80,96
action_conditioned_mechanism_retrieval_v5,heldout_object,3,0.7433593750,0.0105904160,0.8495012209,0.0112549105,0.6869463000,0.0014906138,0.0724141592,0.0015385317,0.6463679844,0.0027941752,0.0434804349,0.0013875301,0.2138883062,0.0006292495,0.0777922134,0.0014318621,0.0440906240,0.0006509139,0.7938794544,0.0016379663,80,96
action_conditioned_mechanism_retrieval_v5,heldout_object,4,0.7460937500,0.0091980827,0.8523022086,0.0100435902,0.6868386750,0.0014837903,0.0723322842,0.0014238121,0.6460811376,0.0028377602,0.0433703599,0.0014096807,0.2136418250,0.0006057231,0.0779202923,0.0014380063,0.0441992640,0.0006386509,0.7939103069,0.0016461478,80,96
action_conditioned_mechanism_retrieval_v5,heldout_object,5,0.7459635417,0.0112385238,0.8523149073,0.0117993846,0.6860307000,0.0017193293,0.0717501592,0.0015628927,0.6458117994,0.0029336279,0.0431267549,0.0014172156,0.2138106354,0.0006373892,0.0780255448,0.0014024881,0.0440747875,0.0006915678,0.7939151464,0.0016173608,80,96
action_conditioned_mechanism_retrieval_v5,heldout_object,6,0.7533854167,0.0106496100,0.8598489567,0.0115928501,0.6860981625,0.0017432152,0.0716682842,0.0014928223,0.6458751276,0.0030639226,0.0430823799,0.0014369195,0.2136486042,0.0006137670,0.0781473205,0.0014192464,0.0440333525,0.0006431541,0.7942601559,0.0016169135,80,96
action_conditioned_mechanism_retrieval_v5,heldout_object,7,0.7476562500,0.0105762771,0.8542993153,0.0115040052,0.6859905375,0.0017455651,0.0715864092,0.0014550160,0.6468138932,0.0030601670,0.0431996861,0.0013760764,0.2140458750,0.0006286607,0.0776530383,0.0013645633,0.0438418425,0.0006173602,0.7941909584,0.0017278473,80,96
action_conditioned_mechanism_retrieval_v5,heldout_object,8,0.7480468750,0.0100066568,0.8549276173,0.0110299599,0.6864081750,0.0017389927,0.0712544092,0.0014233728,0.6472361507,0.0029638119,0.0431893274,0.0014654633,0.2142073938,0.0006399141,0.0777570977,0.0013521311,0.0437964055,0.0006012653,0.7937785894,0.0016131419,80,96
action_conditioned_mechanism_retrieval_v5,heldout_object,9,0.7453125000,0.0115819163,0.8523215416,0.0125345823,0.6864756375,0.0017637520,0.0711725342,0.0014955877,0.6474745663,0.0029663701,0.0433277649,0.0014526113,0.2141125125,0.0006034113,0.0774755218,0.0013780300,0.0436799330,0.0006466583,0.7935232989,0.0016761918,80,96
action_conditioned_mechanism_retrieval_v5,seen_corpus,0,0.7638020833,0.0095595489,0.8789787027,0.0105536235,0.6918052000,0.0016606154,0.0680560705,0.0015066502,0.6512244125,0.0029820250,0.0399787874,0.0014952716,0.2106093583,0.0006297913,0.0702404837,0.0013978670,0.0399702221,0.0006303955,0.8041606518,0.0015863596,80,96
action_conditioned_mechanism_retrieval_v5,seen_corpus,1,0.7622395833,0.0092081161,0.8770850894,0.0094555286,0.6920267500,0.0016755341,0.0685845080,0.0015164590,0.6514204672,0.0030737813,0.0399797781,0.0013579124,0.2110143333,0.0005824557,0.0703753345,0.0014024772,0.0398545146,0.0006426932,0.8039691195,0.0016119702,80,96
action_conditioned_mechanism_retrieval_v5,seen_corpus,2,0.7549479167,0.0105074550,0.8696228118,0.0112348303,0.6924233875,0.0016911367,0.0687377580,0.0015313438,0.6516296535,0.0031343175,0.0403577806,0.0013818179,0.2111243292,0.0005998303,0.0699928153,0.0013720445,0.0401079916,0.0006063572,0.8042143055,0.0015671283,80,96
action_conditioned_mechanism_retrieval_v5,seen_corpus,3,0.7494791667,0.0116896152,0.8639952439,0.0124602908,0.6922947625,0.0016618211,0.0685158205,0.0015042662,0.6513267088,0.0030380800,0.0405266324,0.0013807782,0.2113588792,0.0005861105,0.0701028812,0.0013485331,0.0404305031,0.0006317955,0.8042398818,0.0015966639,80,96
action_conditioned_mechanism_retrieval_v5,seen_corpus,4,0.7613281250,0.0108728214,0.8762121147,0.0116656532,0.6918159625,0.0015284228,0.0682938830,0.0014844727,0.6518992016,0.0031168993,0.0403837656,0.0013852096,0.2110508312,0.0005648265,0.0700971391,0.0014122719,0.0406779771,0.0006157235,0.8045375940,0.0015832303,80,96
action_conditioned_mechanism_retrieval_v5,seen_corpus,5,0.7589843750,0.0108579492,0.8733234747,0.0111631631,0.6920375125,0.0016478350,0.0688223205,0.0014957579,0.6519201688,0.0030563368,0.0403988187,0.0013697353,0.2111665937,0.0005881589,0.0701350914,0.0014103195,0.0407123446,0.0006381103,0.8047462618,0.0015779077,80,96
action_conditioned_mechanism_retrieval_v5,seen_corpus,6,0.7609375000,0.0111879759,0.8756718717,0.0117524243,0.6924341500,0.0017405303,0.0683502580,0.0014270613,0.6519761535,0.0030617630,0.0403415306,0.0014438338,0.2107719750,0.0006183351,0.0699272908,0.0014067614,0.0405055916,0.0006419430,0.8044286665,0.0016170022,80,96
action_conditioned_mechanism_retrieval_v5,seen_corpus,7,0.7588541667,0.0103501359,0.8734631706,0.0109718813,0.6921304375,0.0015872909,0.0687536330,0.0014361990,0.6509509728,0.0031010574,0.0404932168,0.0014002211,0.2107340167,0.0005905624,0.0697783460,0.0014450247,0.0403128456,0.0006116344,0.8044027170,0.0016123217,80,96
action_conditioned_mechanism_retrieval_v5,seen_corpus,8,0.7563802083,0.0107157883,0.8711078097,0.0116013281,0.6921769000,0.0015742119,0.0689068830,0.0013780308,0.6509850716,0.0029597165,0.0402592381,0.0014212409,0.2107765646,0.0005834448,0.0695990784,0.0014848727,0.0402661726,0.0006244795,0.8047199390,0.0016356277,80,96
action_conditioned_mechanism_retrieval_v5,seen_corpus,9,0.7541666667,0.0110079011,0.8686872683,0.0116046762,0.6923984500,0.0015566423,0.0688100080,0.0013960667,0.6506777497,0.0027327997,0.0405283256,0.0013982589,0.2108154667,0.0005969273,0.0697148509,0.0014626614,0.0405156476,0.0006410244,0.8043658255,0.0016240714,80,96
action_conditioned_mechanism_retrieval_v5,sparse_corpus,0,0.7278645833,0.0114931657,0.8169107771,0.0124942879,0.6741595250,0.0016794402,0.0809042121,0.0014579576,0.6382608301,0.0031253498,0.0489929323,0.0014275552,0.2207421583,0.0006118388,0.0924859946,0.0014480349,0.0517228849,0.0007058740,0.7700424093,0.0015737031,80,96
action_conditioned_mechanism_retrieval_v5,sparse_corpus,1,0.7319010417,0.0108153447,0.8211720506,0.0116401267,0.6742199875,0.0016231070,0.0806922746,0.0014641988,0.6383217104,0.0029638979,0.0489223530,0.0014108740,0.2206995604,0.0006359265,0.0922978116,0.0014640224,0.0516763689,0.0006935270,0.7703906625,0.0016150378,80,96
action_conditioned_mechanism_retrieval_v5,sparse_corpus,2,0.7279947917,0.0106942241,0.8173711060,0.0116008026,0.6744555375,0.0016362926,0.0803552746,0.0014187999,0.6383869679,0.0028702442,0.0492111005,0.0013664127,0.2205430479,0.0006912876,0.0922039719,0.0014535171,0.0518529644,0.0006901800,0.7704602765,0.0016117496,80,96
action_conditioned_mechanism_retrieval_v5,sparse_corpus,3,0.7369791667,0.0119220225,0.8263580534,0.0126942972,0.6752163500,0.0015691934,0.0806435871,0.0014759901,0.6377299895,0.0029351964,0.0489364011,0.0013648428,0.2203561417,0.0006529396,0.0923513716,0.0014564180,0.0518144524,0.0006819936,0.7703342928,0.0016586604,80,96
action_conditioned_mechanism_retrieval_v5,sparse_corpus,4,0.7201822917,0.0120005639,0.8094628120,0.0128504916,0.6758020750,0.0016153122,0.0806817746,0.0014228974,0.6381322904,0.0029333958,0.0491832930,0.0014041479,0.2205301729,0.0006342423,0.0925684986,0.0014339015,0.0519220134,0.0006840549,0.7701092595,0.0016990246,80,96
action_conditioned_mechanism_retrieval_v5,sparse_corpus,5,0.7274739583,0.0114360313,0.8167994002,0.0124089600,0.6758625375,0.0015976413,0.0807199621,0.0015317721,0.6374840663,0.0028378600,0.0487714786,0.0014045393,0.2204420021,0.0006362547,0.0928045351,0.0014614321,0.0517294244,0.0006411113,0.7700423053,0.0017057545,80,96
action_conditioned_mechanism_retrieval_v5,sparse_corpus,6,0.7279947917,0.0121927607,0.8174094432,0.0129687285,0.6753977375,0.0016289258,0.0805080246,0.0014936130,0.6378951216,0.0027170145,0.0488392180,0.0014026995,0.2205236604,0.0006250495,0.0927100989,0.0014504200,0.0516078709,0.0005783047,0.7701484375,0.0016674752,80,96
action_conditioned_mechanism_retrieval_v5,sparse_corpus,7,0.7438802083,0.0099245896,0.8336760232,0.0111848447,0.6749329375,0.0017135496,0.0804211496,0.0014536722,0.6381267123,0.0026551960,0.0484140367,0.0014557033,0.2204652521,0.0006627649,0.0924244209,0.0013959835,0.0516383934,0.0005580575,0.7702470660,0.0017014497,80,96
action_conditioned_mechanism_retrieval_v5,sparse_corpus,8,0.7305989583,0.0114377614,0.8203621231,0.0121891801,0.6748183125,0.0016747124,0.0803342746,0.0014376949,0.6383583029,0.0028532596,0.0484388180,0.0014391861,0.2205150271,0.0005915022,0.0927390429,0.0014055515,0.0516689159,0.0005871778,0.7700735585,0.0016266074,80,96
action_conditioned_mechanism_retrieval_v5,sparse_corpus,9,0.7380208333,0.0117918570,0.8279669431,0.0125429777,0.6755791250,0.0016109607,0.0801223371,0.0015205728,0.6384191832,0.0028697504,0.0484573761,0.0014823203,0.2206501458,0.0006046254,0.0926509099,0.0013238386,0.0517724749,0.0006062344,0.7699775898,0.0016633921,80,96
action_conditioned_mechanism_retrieval_v5,stale_memory,0,0.7312500000,0.0110724220,0.8133029302,0.0117008772,0.6695591625,0.0017443497,0.0878443884,0.0014559979,0.6361363814,0.0029586478,0.0501597197,0.0013612651,0.2239196125,0.0005954683,0.0960037426,0.0015005308,0.0560345802,0.0005695389,0.7560269697,0.0017142078,80,96
action_conditioned_mechanism_retrieval_v5,stale_memory,1,0.7427083333,0.0108497836,0.8247827554,0.0119307900,0.6697877125,0.0017202110,0.0881277009,0.0014491613,0.6361729280,0.0029704794,0.0501372891,0.0013853228,0.2236950708,0.0006447826,0.0959343338,0.0014299244,0.0561430632,0.0005310720,0.7557546549,0.0016754246,80,96
action_conditioned_mechanism_retrieval_v5,stale_memory,2,0.7317708333,0.0101402662,0.8138071503,0.0110037929,0.6691408250,0.0016436075,0.0879107634,0.0014837986,0.6360518958,0.0029310499,0.0501077784,0.0013695599,0.2238591083,0.0006268592,0.0958452502,0.0014523180,0.0562435422,0.0005763091,0.7559425702,0.0016476065,80,96
action_conditioned_mechanism_retrieval_v5,stale_memory,3,0.7437500000,0.0112156492,0.8262245698,0.0118996172,0.6695444625,0.0015896517,0.0875687634,0.0015301375,0.6362854158,0.0030610451,0.0499571634,0.0013439978,0.2236272750,0.0006547216,0.0958442069,0.0014702594,0.0562669827,0.0006026232,0.7561219812,0.0016693014,80,96
action_conditioned_mechanism_retrieval_v5,stale_memory,4,0.7352864583,0.0117053676,0.8174589598,0.0123893276,0.6697730125,0.0015633748,0.0878520759,0.0014751652,0.6361468748,0.0029753696,0.0500682141,0.0013856097,0.2236816396,0.0006234773,0.0961781497,0.0014539889,0.0560753157,0.0006833562,0.7563499164,0.0016214746,80,96
action_conditioned_mechanism_retrieval_v5,stale_memory,5,0.7319010417,0.0111811574,0.8139984326,0.0117301573,0.6700015625,0.0015340106,0.0877602009,0.0015022831,0.6363716405,0.0029742778,0.0502867078,0.0013998276,0.2238900229,0.0005711258,0.0961885195,0.0014773913,0.0564029082,0.0006967246,0.7561001129,0.0016250021,80,96
action_conditioned_mechanism_retrieval_v5,stale_memory,6,0.7515625000,0.0110884936,0.8340723007,0.0117764424,0.6702301125,0.0015863127,0.0879184509,0.0015233495,0.6365876517,0.0030125825,0.0498077166,0.0014905058,0.2236256750,0.0005610357,0.0961102526,0.0013620854,0.0562092402,0.0006541713,0.7560354019,0.0015915473,80,96
action_conditioned_mechanism_retrieval_v5,stale_memory,7,0.7378906250,0.0120208821,0.8200893749,0.0128429232,0.6704586625,0.0015981396,0.0878265759,0.0015247467,0.6359369798,0.0029759023,0.0498361791,0.0014863724,0.2239780687,0.0005785488,0.0964365303,0.0014085879,0.0562366827,0.0006830089,0.7562858484,0.0016342150,80,96
action_conditioned_mechanism_retrieval_v5,stale_memory,8,0.7412760417,0.0117713886,0.8234311990,0.0122822836,0.6705121250,0.0015992356,0.0881098884,0.0015527171,0.6359735264,0.0029693038,0.0497339484,0.0014433421,0.2241666979,0.0005805126,0.0961670215,0.0013383141,0.0562701282,0.0006935165,0.7560995767,0.0016037816,80,96
action_conditioned_mechanism_retrieval_v5,stale_memory,9,0.7329427083,0.0098079367,0.8149927200,0.0109005364,0.6703905000,0.0016702930,0.0880180134,0.0015060252,0.6360232045,0.0028326222,0.0498914297,0.0014872627,0.2242192396,0.0005740843,0.0962805929,0.0013245553,0.0563726082,0.0007228926,0.7563220092,0.0015984969,80,96
action_conditioned_mechanism_retrieval_v5,visually_aliased,0,0.7385416667,0.0111862071,0.8240001310,0.0121411225,0.6722983125,0.0016595874,0.0813289561,0.0015707740,0.6351477890,0.0030266687,0.0505520144,0.0014468408,0.2216105167,0.0006247285,0.0968208928,0.0014223081,0.0535283933,0.0005946633,0.7660287276,0.0015210031,80,96
action_conditioned_mechanism_retrieval_v5,visually_aliased,1,0.7303385417,0.0112297173,0.8157162713,0.0118658324,0.6723797750,0.0015692912,0.0811320186,0.0015029281,0.6350540568,0.0031011078,0.0506367601,0.0013652605,0.2216732354,0.0005622511,0.0971484178,0.0013646396,0.0532660048,0.0006614941,0.7661896609,0.0015547494,80,96
action_conditioned_mechanism_retrieval_v5,visually_aliased,2,0.7326822917,0.0113520966,0.8183312814,0.0125616425,0.6721110625,0.0016706905,0.0806849561,0.0013728604,0.6353192540,0.0030645483,0.0504391157,0.0015096437,0.2216633354,0.0005933361,0.0974582265,0.0013695851,0.0532247268,0.0006896455,0.7662375376,0.0015753312,80,96
action_conditioned_mechanism_retrieval_v5,visually_aliased,3,0.7377604167,0.0110865603,0.8235548145,0.0120536547,0.6720174375,0.0016273393,0.0808632061,0.0013828550,0.6357376528,0.0029731244,0.0503110619,0.0014501963,0.2213150042,0.0006299597,0.0976933665,0.0014096631,0.0532684913,0.0007034227,0.7663619526,0.0015658175,80,96
action_conditioned_mechanism_retrieval_v5,visually_aliased,4,0.7373697917,0.0119617540,0.8231162505,0.0126375760,0.6722739875,0.0015362494,0.0809163936,0.0013002978,0.6354600787,0.0029450528,0.0500475788,0.0014033297,0.2216435354,0.0005935507,0.0978353563,0.0014026295,0.0530101048,0.0007082937,0.7660216354,0.0016393451,80,96
action_conditioned_mechanism_retrieval_v5,visually_aliased,5,0.7453125000,0.0127165358,0.8315052137,0.0139225926,0.6725305375,0.0015714923,0.0809695811,0.0014253845,0.6360579422,0.0028763352,0.0497841707,0.0014496981,0.2214802125,0.0006258842,0.0975613882,0.0013832940,0.0530518683,0.0007028454,0.7659814681,0.0017186106,80,96
action_conditioned_mechanism_retrieval_v5,visually_aliased,6,0.7350260417,0.0110750650,0.8208315989,0.0114826283,0.6727870875,0.0015757930,0.0811478311,0.0014491524,0.6356009034,0.0029491269,0.0500077169,0.0013955842,0.2218722479,0.0006024647,0.0974120861,0.0013531257,0.0531706703,0.0006520018,0.7659337971,0.0017443209,80,96
action_conditioned_mechanism_retrieval_v5,visually_aliased,7,0.7350260417,0.0117343502,0.8206801066,0.0128316835,0.6730436375,0.0016297941,0.0813260811,0.0014528852,0.6353189522,0.0029531876,0.0501211444,0.0014349374,0.2218201229,0.0006436205,0.0973596825,0.0013738448,0.0529893223,0.0006207343,0.7661862761,0.0017601205,80,96
