budget,method,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_regret,ci95_regret,mean_calibration_error,ci95_calibration_error,mean_retrieval_coverage,ci95_retrieval_coverage,mean_accepted_under_budget,ci95_accepted_under_budget,mean_risk_breach,ci95_risk_breach,mean_realized_risk,ci95_realized_risk,groups,episodes_per_group
0.0800000000,action_conditioned_mechanism_retrieval_v5,0.7216940104,0.0025308893,0.8350802802,0.0026743571,0.6718684900,0.0004652826,0.0842417720,0.0003754102,0.6369399605,0.0007005280,0.0523302612,0.0002445551,0.2501551276,0.0004005231,0.0946922555,0.0005320703,0.0523905171,0.0002938350,0.7684791704,0.0008541973,0.0281250000,0.0081036992,0.0000000000,0.0000000000,0.0826572992,0.0003627661,1600,96
0.0800000000,conformal_retrieval_filter,0.4386653646,0.0030605441,0.4095239472,0.0035341260,0.5259087881,0.0004675484,0.1936807608,0.0006441289,0.4972601702,0.0007043880,0.0849519342,0.0002824382,0.2952360330,0.0002669729,0.1491382162,0.0005449958,0.0860417778,0.0002947676,0.5751269999,0.0008756750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1546770081,0.0004995693,1600,96
0.0800000000,contrastive_mechanism_memory,0.5044596354,0.0028431549,0.5312428426,0.0031781008,0.5817873425,0.0004666054,0.1468621813,0.0005172188,0.5517344255,0.0006984108,0.0735406468,0.0002697895,0.2913468164,0.0002563501,0.1289628460,0.0005318485,0.0723337243,0.0002967603,0.6424925490,0.0008629858,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1264110320,0.0004410390,1600,96
0.0800000000,learned_expected_utility_retrieval,0.5162630208,0.0027030202,0.5431886460,0.0030451459,0.5878857013,0.0004642387,0.1408961989,0.0004969508,0.5629684830,0.0007032600,0.0718512177,0.0002648663,0.3152034427,0.0002553543,0.1255280888,0.0005365066,0.0702305323,0.0002960846,0.6532777667,0.0008625165,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1225738493,0.0004293359,1600,96
0.0800000000,model_predictive_retrieval_arbitration,0.5258528646,0.0028171676,0.5668546111,0.0031550989,0.6001219250,0.0004634500,0.1327599564,0.0004791827,0.5742703140,0.0006996020,0.0690673429,0.0002655802,0.3070198311,0.0002565708,0.1200529724,0.0005340089,0.0680817899,0.0002922328,0.6697195716,0.0008611796,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1168609272,0.0004234549,1600,96
0.0800000000,no_retrieval_controller,0.2110567708,0.0028374407,0.1038442011,0.0032937031,0.2827773369,0.0004556362,0.2408618330,0.0006133592,0.3005043665,0.0007034212,0.1212400324,0.0002796825,0.1124163493,0.0002648564,0.2029441989,0.0005364849,0.1258860431,0.0002997784,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2079502923,0.0004861939,1600,96
0.0800000000,proposed_mechanism_retrieval_controller_v4,0.5460351562,0.0027658674,0.6158371377,0.0030780143,0.6120175156,0.0004651832,0.1172958562,0.0004448151,0.5789781794,0.0007002818,0.0636701690,0.0002591081,0.2658194884,0.0002576460,0.1133121263,0.0005349203,0.0668424474,0.0002915730,0.7015892249,0.0008605219,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1058966772,0.0004041068,1600,96
0.0800000000,test_time_retrieval_adaptation,0.4688867187,0.0028948459,0.4539310135,0.0032995058,0.5517626719,0.0004651226,0.1723003371,0.0005753282,0.5227115407,0.0007029182,0.0799024008,0.0002748997,0.3257843966,0.0002561751,0.1416810674,0.0005380851,0.0796462910,0.0002954730,0.5885435710,0.0008669799,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1419305221,0.0004673773,1600,96
0.1000000000,action_conditioned_mechanism_retrieval_v5,0.7273627604,0.0025747289,0.8237427802,0.0025707396,0.6718684900,0.0004652826,0.0842417720,0.0003754102,0.6369399605,0.0007005280,0.0523302612,0.0002445551,0.2331488776,0.0009101975,0.0946922555,0.0005320703,0.0523905171,0.0002938350,0.7684791704,0.0008541973,0.5950000000,0.0240612305,0.0000000000,0.0000000000,0.0826572992,0.0003627661,1600,96
0.1000000000,conformal_retrieval_filter,0.4386653646,0.0030605441,0.4095239472,0.0035341260,0.5259087881,0.0004675484,0.1936807608,0.0006441289,0.4972601702,0.0007043880,0.0849519342,0.0002824382,0.2952360330,0.0002669729,0.1491382162,0.0005449958,0.0860417778,0.0002947676,0.5751269999,0.0008756750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1546770081,0.0004995693,1600,96
0.1000000000,contrastive_mechanism_memory,0.5044596354,0.0028431549,0.5312428426,0.0031781008,0.5817873425,0.0004666054,0.1468621813,0.0005172188,0.5517344255,0.0006984108,0.0735406468,0.0002697895,0.2913468164,0.0002563501,0.1289628460,0.0005318485,0.0723337243,0.0002967603,0.6424925490,0.0008629858,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1264110320,0.0004410390,1600,96
0.1000000000,learned_expected_utility_retrieval,0.5162630208,0.0027030202,0.5431886460,0.0030451459,0.5878857013,0.0004642387,0.1408961989,0.0004969508,0.5629684830,0.0007032600,0.0718512177,0.0002648663,0.3152034427,0.0002553543,0.1255280888,0.0005365066,0.0702305323,0.0002960846,0.6532777667,0.0008625165,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1225738493,0.0004293359,1600,96
0.1000000000,model_predictive_retrieval_arbitration,0.5258528646,0.0028171676,0.5668546111,0.0031550989,0.6001219250,0.0004634500,0.1327599564,0.0004791827,0.5742703140,0.0006996020,0.0690673429,0.0002655802,0.3070198311,0.0002565708,0.1200529724,0.0005340089,0.0680817899,0.0002922328,0.6697195716,0.0008611796,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1168609272,0.0004234549,1600,96
0.1000000000,no_retrieval_controller,0.2110567708,0.0028374407,0.1038442011,0.0032937031,0.2827773369,0.0004556362,0.2408618330,0.0006133592,0.3005043665,0.0007034212,0.1212400324,0.0002796825,0.1124163493,0.0002648564,0.2029441989,0.0005364849,0.1258860431,0.0002997784,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2079502923,0.0004861939,1600,96
0.1000000000,proposed_mechanism_retrieval_controller_v4,0.5460351562,0.0027658674,0.6158371377,0.0030780143,0.6120175156,0.0004651832,0.1172958562,0.0004448151,0.5789781794,0.0007002818,0.0636701690,0.0002591081,0.2658194884,0.0002576460,0.1133121263,0.0005349203,0.0668424474,0.0002915730,0.7015892249,0.0008605219,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1058966772,0.0004041068,1600,96
0.1000000000,test_time_retrieval_adaptation,0.4688867187,0.0028948459,0.4539310135,0.0032995058,0.5517626719,0.0004651226,0.1723003371,0.0005753282,0.5227115407,0.0007029182,0.0799024008,0.0002748997,0.3257843966,0.0002561751,0.1416810674,0.0005380851,0.0796462910,0.0002954730,0.5885435710,0.0008669799,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1419305221,0.0004673773,1600,96
0.1200000000,action_conditioned_mechanism_retrieval_v5,0.7314127604,0.0025205294,0.8156427802,0.0026998803,0.6718684900,0.0004652826,0.0842417720,0.0003754102,0.6369399605,0.0007005280,0.0523302612,0.0002445551,0.2209988776,0.0002487844,0.0946922555,0.0005320703,0.0523905171,0.0002938350,0.7684791704,0.0008541973,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0826572992,0.0003627661,1600,96
0.1200000000,conformal_retrieval_filter,0.4386653646,0.0030605441,0.4095239472,0.0035341260,0.5259087881,0.0004675484,0.1936807608,0.0006441289,0.4972601702,0.0007043880,0.0849519342,0.0002824382,0.2952360330,0.0002669729,0.1491382162,0.0005449958,0.0860417778,0.0002947676,0.5751269999,0.0008756750,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1546770081,0.0004995693,1600,96
0.1200000000,contrastive_mechanism_memory,0.5044596354,0.0028431549,0.5312428426,0.0031781008,0.5817873425,0.0004666054,0.1468621813,0.0005172188,0.5517344255,0.0006984108,0.0735406468,0.0002697895,0.2913468164,0.0002563501,0.1289628460,0.0005318485,0.0723337243,0.0002967603,0.6424925490,0.0008629858,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1264110320,0.0004410390,1600,96
0.1200000000,learned_expected_utility_retrieval,0.5168317708,0.0027803008,0.5435823960,0.0030972211,0.5878857013,0.0004642387,0.1408961989,0.0004969508,0.5629684830,0.0007032600,0.0718512177,0.0002648663,0.3150721927,0.0002838968,0.1255280888,0.0005365066,0.0702305323,0.0002960846,0.6532777667,0.0008625165,0.0043750000,0.0032349589,0.0000000000,0.0000000000,0.1225738493,0.0004293359,1600,96
0.1200000000,model_predictive_retrieval_arbitration,0.5341403646,0.0035012185,0.5725921111,0.0036328523,0.6001219250,0.0004634500,0.1327599564,0.0004791827,0.5742703140,0.0006996020,0.0690673429,0.0002655802,0.3051073311,0.0005279255,0.1200529724,0.0005340089,0.0680817899,0.0002922328,0.6697195716,0.0008611796,0.0637500000,0.0119747884,0.0000000000,0.0000000000,0.1168609272,0.0004234549,1600,96
0.1200000000,no_retrieval_controller,0.2110567708,0.0028374407,0.1038442011,0.0032937031,0.2827773369,0.0004556362,0.2408618330,0.0006133592,0.3005043665,0.0007034212,0.1212400324,0.0002796825,0.1124163493,0.0002648564,0.2029441989,0.0005364849,0.1258860431,0.0002997784,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2079502923,0.0004861939,1600,96
0.1200000000,proposed_mechanism_retrieval_controller_v4,0.5844664063,0.0046529615,0.6424433877,0.0044248110,0.6120175156,0.0004651832,0.1172958562,0.0004448151,0.5789781794,0.0007002818,0.0636701690,0.0002591081,0.2569507384,0.0008769334,0.1133121263,0.0005349203,0.0668424474,0.0002915730,0.7015892249,0.0008605219,0.2956250000,0.0223668273,0.0000000000,0.0000000000,0.1058966772,0.0004041068,1600,96
0.1200000000,test_time_retrieval_adaptation,0.4688867187,0.0028948459,0.4539310135,0.0032995058,0.5517626719,0.0004651226,0.1723003371,0.0005753282,0.5227115407,0.0007029182,0.0799024008,0.0002748997,0.3257843966,0.0002561751,0.1416810674,0.0005380851,0.0796462910,0.0002954730,0.5885435710,0.0008669799,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1419305221,0.0004673773,1600,96
0.1600000000,action_conditioned_mechanism_retrieval_v5,0.7314127604,0.0025205294,0.8156427802,0.0026998803,0.6718684900,0.0004652826,0.0842417720,0.0003754102,0.6369399605,0.0007005280,0.0523302612,0.0002445551,0.2209988776,0.0002487844,0.0946922555,0.0005320703,0.0523905171,0.0002938350,0.7684791704,0.0008541973,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0826572992,0.0003627661,1600,96
0.1600000000,conformal_retrieval_filter,0.4458153646,0.0037070283,0.4144739472,0.0039816651,0.5259087881,0.0004675484,0.1936807608,0.0006441289,0.4972601702,0.0007043880,0.0849519342,0.0002824382,0.2935860330,0.0005133294,0.1491382162,0.0005449958,0.0860417778,0.0002947676,0.5751269999,0.0008756750,0.0550000000,0.0111745254,0.0000000000,0.0000000000,0.1546770081,0.0004995693,1600,96
