ablation,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_regret,ci95_regret,mean_calibration_error,ci95_calibration_error,mean_retrieval_coverage,ci95_retrieval_coverage,groups,episodes_per_group
classifier_only_mechanism_score,0,0.6591145833,0.0143403870,0.6485593986,0.0156135511,0.5802893500,0.0016042498,0.1573643914,0.0018421407,0.5540927263,0.0029860518,0.0753078699,0.0015271449,0.2273511583,0.0006626885,0.1423876285,0.0012958395,0.0837937778,0.0006579423,0.6305367345,0.0016348848,80,96
classifier_only_mechanism_score,1,0.6545572917,0.0128791019,0.6438251761,0.0138940264,0.5804689000,0.0017273472,0.1574876414,0.0018129434,0.5542609626,0.0029663903,0.0754664786,0.0014903348,0.2275549479,0.0006269039,0.1424807465,0.0012859400,0.0838786998,0.0006576620,0.6307423535,0.0016784319,80,96
classifier_only_mechanism_score,2,0.6485677083,0.0127829778,0.6374564941,0.0137778705,0.5806484500,0.0016188029,0.1578610164,0.0017750865,0.5540702694,0.0029468044,0.0758184524,0.0014936383,0.2274036021,0.0006475289,0.1425915809,0.0012799561,0.0841176988,0.0006334280,0.6307328650,0.0016830624,80,96
classifier_only_mechanism_score,3,0.6526041667,0.0123758806,0.6416803556,0.0137289566,0.5811781750,0.0016760887,0.1579842664,0.0018208776,0.5542385057,0.0030379114,0.0758223736,0.0015119556,0.2274120417,0.0006720069,0.1420843989,0.0013809430,0.0840525458,0.0006397538,0.6307663980,0.0017452470,80,96
classifier_only_mechanism_score,4,0.6584635417,0.0114490005,0.6476259414,0.0131413453,0.5806573750,0.0016938455,0.1579824539,0.0018280130,0.5542360316,0.0029722784,0.0754845780,0.0014941977,0.2273949604,0.0007063340,0.1422750119,0.0014281643,0.0841354668,0.0006200190,0.6305232928,0.0017278897,80,96
classifier_only_mechanism_score,5,0.6501302083,0.0119837892,0.6392412366,0.0133656310,0.5810120125,0.0016331593,0.1578555789,0.0018443043,0.5545881097,0.0029614193,0.0758437218,0.0014694147,0.2275015396,0.0006983856,0.1422535151,0.0014850902,0.0839912743,0.0006478822,0.6308579763,0.0017434098,80,96
classifier_only_mechanism_score,6,0.6519531250,0.0129059599,0.6412181987,0.0142325776,0.5811915625,0.0015547007,0.1577287039,0.0019402594,0.5545900129,0.0029764283,0.0757949405,0.0014251310,0.2274659312,0.0006731841,0.1421382714,0.0015149764,0.0836219693,0.0006252313,0.6309785528,0.0017049874,80,96
classifier_only_mechanism_score,7,0.6557291667,0.0131249077,0.6448124873,0.0142057752,0.5808458500,0.0015175239,0.1579770164,0.0019775982,0.5538784344,0.0030843396,0.0757372661,0.0014010014,0.2274029792,0.0006704907,0.1417526039,0.0015700548,0.0837088923,0.0006325024,0.6309345470,0.0016839684,80,96
classifier_only_mechanism_score,8,0.6453125000,0.0109496276,0.6339714941,0.0121837868,0.5803250500,0.0016332753,0.1582253289,0.0020179944,0.5538672060,0.0030936912,0.0760100980,0.0013700360,0.2274636875,0.0006328196,0.1419546301,0.0015307899,0.0835707028,0.0006631567,0.6308765343,0.0016835730,80,96
classifier_only_mechanism_score,9,0.6549479167,0.0122326238,0.6437226628,0.0132171080,0.5806796875,0.0017237009,0.1580984539,0.0019659035,0.5531687591,0.0030332167,0.0757456543,0.0013542320,0.2274687792,0.0006478127,0.1418519928,0.0014580710,0.0837266603,0.0006530645,0.6308110178,0.0016099742,80,96
full_action_conditioned_mechanism_retrieval,0,0.7194010417,0.0116412385,0.7963855402,0.0120468324,0.6671875375,0.0015784819,0.0875941302,0.0015046012,0.6321486354,0.0030446667,0.0527233954,0.0014441674,0.2257915854,0.0006022701,0.1024553104,0.0013333662,0.0575123411,0.0006615433,0.7517543552,0.0016422467,80,96
full_action_conditioned_mechanism_retrieval,1,0.7251302083,0.0118609767,0.8022165599,0.0128681616,0.6671009125,0.0016507345,0.0877773802,0.0015472278,0.6325738592,0.0029669912,0.0525869729,0.0015296971,0.2257372896,0.0006157416,0.1024944526,0.0013053850,0.0575591856,0.0006615981,0.7516829302,0.0016791226,80,96
full_action_conditioned_mechanism_retrieval,2,0.7223958333,0.0113180934,0.7996996300,0.0119376841,0.6673644625,0.0017048714,0.0875854427,0.0014603979,0.6328371270,0.0029384431,0.0525766310,0.0014986529,0.2255763708,0.0005755943,0.1026196766,0.0012469820,0.0576000271,0.0006768832,0.7520622304,0.0016640695,80,96
full_action_conditioned_mechanism_retrieval,3,0.7259114583,0.0112976424,0.8034767778,0.0118714687,0.6671027500,0.0016607438,0.0875185677,0.0014757091,0.6329209301,0.0028060023,0.0521623935,0.0013848277,0.2254780271,0.0005767874,0.1027537588,0.0013143535,0.0576428696,0.0006814551,0.7519918059,0.0016173437,80,96
full_action_conditioned_mechanism_retrieval,4,0.7175781250,0.0119302834,0.7949693875,0.0125254502,0.6670161250,0.0016538543,0.0877018177,0.0015394992,0.6331710664,0.0027470587,0.0524291710,0.0013919361,0.2255455687,0.0005953004,0.1025959526,0.0013880703,0.0575396391,0.0006392060,0.7518203309,0.0016133004,80,96
