ablation,seed,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_regret,ci95_regret,mean_calibration_error,ci95_calibration_error,mean_retrieval_coverage,ci95_retrieval_coverage,groups,episodes_per_group
full_action_conditioned_mechanism_retrieval,5,0.7134114583,0.0119358106,0.7904795452,0.0126629212,0.6665793250,0.0014916883,0.0878850677,0.0015194582,0.6325457651,0.0027405054,0.0523958360,0.0013655464,0.2257048521,0.0006157191,0.1025539543,0.0014751376,0.0575864836,0.0006206597,0.7516208419,0.0015959788,80,96
full_action_conditioned_mechanism_retrieval,6,0.7257812500,0.0103671682,0.8025164732,0.0109567674,0.6663176125,0.0015471380,0.0880683177,0.0015244993,0.6322706389,0.0027983636,0.0524400322,0.0013630474,0.2257076625,0.0006089556,0.1030059028,0.0014948385,0.0576333281,0.0006302334,0.7518355599,0.0016149358,80,96
full_action_conditioned_mechanism_retrieval,7,0.7257812500,0.0109187132,0.8025249713,0.0113167081,0.6662309875,0.0016866802,0.0882515677,0.0015026139,0.6321706001,0.0028484681,0.0524067347,0.0013233229,0.2256585375,0.0005754148,0.1026542997,0.0014214471,0.0575300976,0.0006236376,0.7518641849,0.0016012334,80,96
full_action_conditioned_mechanism_retrieval,8,0.7209635417,0.0114949948,0.7979187433,0.0122556752,0.6664945375,0.0017710411,0.0879345677,0.0015702278,0.6320880701,0.0028563298,0.0524251385,0.0013315910,0.2254517479,0.0006379431,0.1026800703,0.0014486858,0.0577190131,0.0006444626,0.7520508889,0.0015978554,80,96
full_action_conditioned_mechanism_retrieval,9,0.7260416667,0.0120206421,0.8029229626,0.0128604581,0.6662328250,0.0018154092,0.0877426302,0.0014230556,0.6318260754,0.0030451670,0.0525743216,0.0013379438,0.2252564917,0.0006292047,0.1028147490,0.0014758372,0.0578348921,0.0005979353,0.7521880682,0.0016288289,80,96
minus_action_conditioned_key,0,0.6688802083,0.0134808613,0.6674409154,0.0151710651,0.5911241875,0.0017981019,0.1476871705,0.0018080263,0.5634527790,0.0031101583,0.0718170832,0.0015999679,0.2353032396,0.0006720296,0.1365665226,0.0013813892,0.0784183672,0.0006512117,0.6453965548,0.0016199839,80,96
minus_action_conditioned_key,1,0.6553385417,0.0121613456,0.6539590069,0.0133850404,0.5912827375,0.0018780159,0.1470450455,0.0016187595,0.5632766284,0.0029511719,0.0719997969,0.0014543547,0.2354737354,0.0006543783,0.1367194477,0.0013550560,0.0785570807,0.0006214969,0.6454343163,0.0016541171,80,96
minus_action_conditioned_key,2,0.6688802083,0.0127568950,0.6680488511,0.0140665565,0.5910911125,0.0018590028,0.1469031705,0.0015984318,0.5637833190,0.0029643116,0.0715799532,0.0014111012,0.2352650646,0.0006911841,0.1364823929,0.0014077608,0.0787037982,0.0006167512,0.6455140988,0.0016686356,80,96
minus_action_conditioned_key,3,0.6576822917,0.0125853838,0.6564197227,0.0136517848,0.5907244000,0.0017409490,0.1471364830,0.0016606200,0.5632263531,0.0029092728,0.0718567976,0.0014192436,0.2352526729,0.0006596627,0.1363814174,0.0014228695,0.0785563687,0.0006146542,0.6456574130,0.0016764645,80,96
minus_action_conditioned_key,4,0.6558593750,0.0119603754,0.6544568258,0.0130752626,0.5905327750,0.0016426695,0.1472447330,0.0017951628,0.5631990268,0.0028005572,0.0719561376,0.0014090835,0.2352591062,0.0006495265,0.1363653305,0.0014409451,0.0785570132,0.0005867551,0.6451218880,0.0018097143,80,96
minus_action_conditioned_key,5,0.6537760417,0.0135469931,0.6523035738,0.0151092318,0.5906913250,0.0016339478,0.1472279205,0.0018416908,0.5631760778,0.0028123510,0.0719013357,0.0014768209,0.2354192604,0.0006890808,0.1366436870,0.0014270883,0.0787057317,0.0006024884,0.6451221308,0.0018201687,80,96
minus_action_conditioned_key,6,0.6484375000,0.0123192596,0.6469164985,0.0132231769,0.5908498750,0.0015427234,0.1472111080,0.0017325402,0.5631531287,0.0027652173,0.0721302401,0.0013744133,0.2354749125,0.0006241218,0.1363217435,0.0015132173,0.0787043752,0.0006187531,0.6452224235,0.0017612272,80,96
minus_action_conditioned_key,7,0.6549479167,0.0135232680,0.6533306275,0.0144853094,0.5899579000,0.0014718331,0.1473193580,0.0018583024,0.5633008900,0.0027844788,0.0720045426,0.0014213352,0.2354397167,0.0005986326,0.1365026051,0.0014889793,0.0788550947,0.0006126439,0.6453312205,0.0017062603,80,96
minus_action_conditioned_key,8,0.6662760417,0.0134355290,0.6649627445,0.0144930912,0.5904666250,0.0014832853,0.1471774830,0.0018967016,0.5634574056,0.0027686840,0.0717746176,0.0014639195,0.2354871479,0.0006229363,0.1364719534,0.0015227828,0.0787766997,0.0006507769,0.6452669310,0.0016339894,80,96
minus_action_conditioned_key,9,0.6611979167,0.0138490431,0.6598895323,0.0152322307,0.5899248250,0.0015698534,0.1470356080,0.0019782439,0.5629135712,0.0028590163,0.0715398551,0.0015278263,0.2353890792,0.0006113030,0.1365539581,0.0014927073,0.0787733422,0.0006763920,0.6452186495,0.0017382293,80,96
minus_active_disambiguation,0,0.6572916667,0.0134362961,0.6582629534,0.0147694286,0.5883020375,0.0018776633,0.1535436628,0.0018601538,0.5632922143,0.0029472197,0.0740617939,0.0014604407,0.2134096417,0.0006659115,0.1389348050,0.0013857513,0.0810244711,0.0006415174,0.6374739432,0.0017403252,80,96
minus_active_disambiguation,1,0.6717447917,0.0136186166,0.6726133271,0.0148519952,0.5884535875,0.0019180400,0.1537719753,0.0018925404,0.5632536859,0.0030948624,0.0741737195,0.0014672683,0.2134103229,0.0006954434,0.1387202225,0.0013839707,0.0806488491,0.0006269514,0.6373548685,0.0017437437,80,96
minus_active_disambiguation,2,0.6587239583,0.0110952947,0.6594320860,0.0114030666,0.5887802250,0.0018502878,0.1537501628,0.0019320207,0.5632239118,0.0030683625,0.0743124426,0.0013815064,0.2136455646,0.0006249145,0.1388944269,0.0013837554,0.0808695251,0.0006407507,0.6371647582,0.0017501513,80,96
minus_active_disambiguation,3,0.6618489583,0.0095192314,0.6628313904,0.0105526361,0.5885816000,0.0016643819,0.1529779753,0.0018802342,0.5630453134,0.0030042480,0.0743331270,0.0014227170,0.2136547646,0.0006203090,0.1388374432,0.0014390402,0.0810031576,0.0006511247,0.6369776495,0.0016832423,80,96
minus_active_disambiguation,4,0.6554687500,0.0121969861,0.6567972410,0.0133840098,0.5889082375,0.0016463352,0.1525809753,0.0019568315,0.5635539334,0.0030461719,0.0743260558,0.0014669228,0.2136469625,0.0006744022,0.1388850231,0.0014124436,0.0808426431,0.0006442406,0.6372102505,0.0016690332,80,96
minus_active_disambiguation,5,0.6574218750,0.0132603612,0.6586682299,0.0147180108,0.5885345250,0.0016658158,0.1526842253,0.0019109743,0.5633446946,0.0030028076,0.0742040020,0.0015084005,0.2136725688,0.0006754459,0.1388679856,0.0014459897,0.0806901326,0.0006788446,0.6372567585,0.0016923650,80,96
minus_active_disambiguation,6,0.6639322917,0.0114895426,0.6655860606,0.0127349011,0.5886860750,0.0015550922,0.1525373503,0.0019226338,0.5638445602,0.0030087322,0.0741324833,0.0014283905,0.2134092604,0.0006545915,0.1386268287,0.0014925156,0.0806836951,0.0006591425,0.6366599450,0.0016695311,80,96
minus_active_disambiguation,7,0.6652343750,0.0111397891,0.6669025690,0.0122567180,0.5884874500,0.0014404742,0.1526406003,0.0018495973,0.5639854965,0.0028944318,0.0742472608,0.0014241516,0.2131438312,0.0006253235,0.1385034381,0.0014809736,0.0807562971,0.0006050355,0.6363202600,0.0015936737,80,96
minus_active_disambiguation,8,0.6617187500,0.0123698836,0.6636888704,0.0134001029,0.5886390000,0.0014545111,0.1526187878,0.0018287497,0.5646560724,0.0028819597,0.0739897776,0.0014203608,0.2131709625,0.0006105585,0.1386650361,0.0014874209,0.0806768231,0.0006277506,0.6363162427,0.0016150420,80,96
minus_active_disambiguation,9,0.6619791667,0.0128249922,0.6638630305,0.0143817540,0.5886154625,0.0015026950,0.1527220378,0.0018251403,0.5649720962,0.0029066177,0.0741233051,0.0014709156,0.2132953042,0.0006351419,0.1386385440,0.0014574891,0.0809745376,0.0006083790,0.6361906647,0.0015861598,80,96
minus_calibration_guard,0,0.6886718750,0.0113116449,0.6977083632,0.0126829253,0.6044445750,0.0018085889,0.1340000900,0.0017355077,0.5806985519,0.0029455789,0.0714851876,0.0014850964,0.2467496687,0.0005811331,0.1295167301,0.0014292696,0.0944259864,0.0007033667,0.6812501606,0.0016835556,80,96
minus_calibration_guard,1,0.6861979167,0.0134499110,0.6953145778,0.0143569883,0.6042179500,0.0017019220,0.1335830900,0.0018166925,0.5808296968,0.0028446493,0.0716945538,0.0014395404,0.2469002917,0.0005493344,0.1292540545,0.0014309541,0.0945533019,0.0006975041,0.6815237506,0.0016234026,80,96
minus_calibration_guard,2,0.6845052083,0.0122262531,0.6935075201,0.0133718863,0.6045165875,0.0016207363,0.1335412775,0.0017756165,0.5800722728,0.0029662325,0.0716910082,0.0014670929,0.2470399771,0.0005800940,0.1290242566,0.0015054172,0.0945365454,0.0006993478,0.6812165504,0.0015980565,80,96
minus_calibration_guard,3,0.6864583333,0.0121852190,0.6955450789,0.0132113569,0.6041148750,0.0017586086,0.1334994650,0.0017722605,0.5805404612,0.0030139829,0.0716968750,0.0014622115,0.2469785458,0.0005683551,0.1290725476,0.0014763460,0.0945948264,0.0006511699,0.6814536221,0.0016549801,80,96
minus_calibration_guard,4,0.6911458333,0.0124767279,0.7003218337,0.0134819140,0.6038882500,0.0017631964,0.1334576525,0.0016539499,0.5804833872,0.0029608742,0.0715784857,0.0014207291,0.2469538708,0.0006113135,0.1289301934,0.0014310023,0.0944279949,0.0006207810,0.6812044508,0.0016282981,80,96
minus_calibration_guard,5,0.6763020833,0.0120610399,0.6852544124,0.0125746046,0.6040118000,0.0017834994,0.1336659650,0.0016147263,0.5807677337,0.0029564746,0.0716040551,0.0013566900,0.2475027833,0.0005774644,0.1289930492,0.0013822500,0.0944902779,0.0006009937,0.6810683361,0.0016231854,80,96
minus_calibration_guard,6,0.6761718750,0.0121124367,0.6853790682,0.0130554136,0.6048357000,0.0017807130,0.1329988400,0.0016112802,0.5809076331,0.0028170166,0.0716786875,0.0014092985,0.2476205938,0.0006207806,0.1294193104,0.0013840222,0.0945385539,0.0006133233,0.6813409256,0.0016287967,80,96
minus_calibration_guard,7,0.6858072917,0.0105604799,0.6949293735,0.0109660826,0.6046090750,0.0016974362,0.1333322150,0.0016667265,0.5808374275,0.0028218624,0.0714224613,0.0013242909,0.2475266479,0.0005855096,0.1296942760,0.0013576440,0.0943777254,0.0005996094,0.6812693431,0.0017031784,80,96
minus_calibration_guard,8,0.6825520833,0.0134724496,0.6917933314,0.0145726888,0.6043824500,0.0016428704,0.1334154650,0.0017277655,0.5807759762,0.0029162242,0.0710055700,0.0015008712,0.2475381333,0.0006375271,0.1298577784,0.0014252171,0.0945130449,0.0005843987,0.6812127681,0.0017469869,80,96
minus_calibration_guard,9,0.6877604167,0.0110579675,0.6971644720,0.0121806833,0.6046810875,0.0015011020,0.1336237775,0.0016947079,0.5808852353,0.0030662264,0.0708953144,0.0015128543,0.2471309792,0.0006659425,0.1299237858,0.0014244948,0.0945753279,0.0005750060,0.6807905103,0.0017338055,80,96
minus_counterfactual_rejection,0,0.6639322917,0.0118289593,0.6705523946,0.0129052131,0.5995237125,0.0016049601,0.1414697621,0.0017373637,0.5708116133,0.0030218189,0.0740849396,0.0013231262,0.2265511604,0.0005956493,0.1341398803,0.0014998004,0.0764864012,0.0006306190,0.6594222113,0.0016489827,80,96
minus_counterfactual_rejection,1,0.6592447917,0.0128007662,0.6653657292,0.0140947155,0.5984706500,0.0017858765,0.1415880121,0.0017754586,0.5704477621,0.0031303975,0.0743175796,0.0013974799,0.2268288104,0.0005832308,0.1340382508,0.0014964346,0.0762680932,0.0005795999,0.6593254213,0.0016976331,80,96
minus_counterfactual_rejection,2,0.6588541667,0.0126988891,0.6652888842,0.0139009505,0.5986432000,0.0017041090,0.1413310746,0.0018015784,0.5713226549,0.0031207002,0.0743715752,0.0014757194,0.2268962292,0.0005293535,0.1339974906,0.0014696435,0.0763439322,0.0005566871,0.6595492915,0.0017092077,80,96
minus_counterfactual_rejection,3,0.6783854167,0.0112260826,0.6846244232,0.0126062469,0.5979403125,0.0016143599,0.1415743871,0.0018566690,0.5702540765,0.0030406466,0.0741019946,0.0015073932,0.2263845917,0.0005744647,0.1342143240,0.0015121125,0.0765028127,0.0005996510,0.6590728118,0.0016892414,80,96
minus_counterfactual_rejection,4,0.6720052083,0.0129126019,0.6784665063,0.0137912758,0.5981128625,0.0016326200,0.1415675746,0.0018559098,0.5707700399,0.0029671713,0.0741312365,0.0013982088,0.2263857896,0.0005908590,0.1338911301,0.0014636062,0.0765826537,0.0006451507,0.6590815745,0.0016761758,80,96
minus_counterfactual_rejection,5,0.6611979167,0.0092950913,0.6672465464,0.0101853413,0.5982854125,0.0016655133,0.1418108871,0.0017822235,0.5709270740,0.0029642935,0.0744077496,0.0014442528,0.2266740792,0.0006080032,0.1342860026,0.0014529004,0.0764413842,0.0006957165,0.6589752798,0.0016229618,80,96
minus_counterfactual_rejection,6,0.6670572917,0.0128329289,0.6731911521,0.0134581953,0.5986330500,0.0017264465,0.1418040746,0.0017493419,0.5705675999,0.0028557391,0.0742166790,0.0014617176,0.2266539979,0.0006566727,0.1342787166,0.0014222799,0.0765962627,0.0007156780,0.6591981495,0.0015766632,80,96
minus_counterfactual_rejection,7,0.6705729167,0.0123399885,0.6768986873,0.0131145621,0.5984554250,0.0016701562,0.1416721996,0.0017282148,0.5702125030,0.0027913026,0.0740590415,0.0015154536,0.2261414667,0.0006418010,0.1343657739,0.0014023942,0.0765240277,0.0006782433,0.6591864020,0.0015672590,80,96
minus_counterfactual_rejection,8,0.6707031250,0.0119109182,0.6770326146,0.0126125833,0.5984528875,0.0017229098,0.1417904496,0.0018005145,0.5703739143,0.0027670097,0.0741299252,0.0014797983,0.2260515187,0.0006688864,0.1342546898,0.0013042326,0.0765308322,0.0006433583,0.6593737540,0.0016416756,80,96
minus_counterfactual_rejection,9,0.6645833333,0.0119711583,0.6709914470,0.0130318455,0.5986254375,0.0016997096,0.1419086996,0.0017835487,0.5707104130,0.0027331533,0.0743133090,0.0015163136,0.2258989958,0.0006847062,0.1339403540,0.0012858740,0.0767627492,0.0006449076,0.6592749630,0.0016520157,80,96
minus_mechanism_index,0,0.6441406250,0.0136498185,0.6264202568,0.0150580287,0.5741126875,0.0016144264,0.1599097450,0.0019593678,0.5479758639,0.0028523053,0.0763864759,0.0015930108,0.2355267813,0.0006228195,0.1431528230,0.0012513433,0.0831131284,0.0006662757,0.6255031803,0.0017343230,80,96
minus_mechanism_index,1,0.6404947917,0.0125236546,0.6231737709,0.0139928996,0.5745724125,0.0016076481,0.1596078075,0.0019663547,0.5480889817,0.0028661356,0.0761687653,0.0015433064,0.2356878104,0.0006339739,0.1427875997,0.0013706052,0.0829361349,0.0006598586,0.6254165746,0.0017659040,80,96
minus_mechanism_index,2,0.6408854167,0.0121655819,0.6238855258,0.0133515291,0.5746819625,0.0016246110,0.1596810575,0.0020224004,0.5488893180,0.0028643175,0.0759046615,0.0014964010,0.2357923292,0.0005944427,0.1427270399,0.0013676931,0.0828401819,0.0006664530,0.6254795436,0.0017698845,80,96
minus_mechanism_index,3,0.6481770833,0.0131001350,0.6309935441,0.0144091358,0.5740911625,0.0016518220,0.1598793700,0.0019930628,0.5489849270,0.0028898701,0.0759753184,0.0014651324,0.2355751208,0.0006436384,0.1429849430,0.0013915408,0.0827462299,0.0006118171,0.6250787808,0.0017087340,80,96
minus_mechanism_index,4,0.6471354167,0.0139883592,0.6300717236,0.0153020042,0.5740256250,0.0016950999,0.1595774325,0.0019224435,0.5494482199,0.0028466869,0.0760108828,0.0014919152,0.2357747292,0.0006475996,0.1431136665,0.0014135363,0.0827193114,0.0006276619,0.6247500541,0.0016702975,80,96
minus_mechanism_index,5,0.6442708333,0.0149224586,0.6272440808,0.0163501971,0.5744853500,0.0016800915,0.1597757450,0.0018838023,0.5493687414,0.0029772543,0.0758891646,0.0014680133,0.2355496333,0.0007196038,0.1433747212,0.0013824702,0.0827003969,0.0006757823,0.6246334333,0.0015783308,80,96
minus_mechanism_index,6,0.6460937500,0.0125551153,0.6287254197,0.0141942025,0.5745949000,0.0017317540,0.1603492450,0.0018861139,0.5492761314,0.0028800993,0.0759344472,0.0014046835,0.2357091375,0.0007086067,0.1433527457,0.0014920379,0.0826124479,0.0005675073,0.6247664373,0.0016002345,80,96
minus_mechanism_index,7,0.6458333333,0.0143864211,0.6285786895,0.0153429612,0.5752297125,0.0017038306,0.1605475575,0.0018577744,0.5497219155,0.0029254324,0.0758408915,0.0013980007,0.2355976583,0.0006777911,0.1437043956,0.0014888271,0.0826685709,0.0005849013,0.6246638236,0.0016172871,80,96
minus_mechanism_index,8,0.6451822917,0.0127550853,0.6279340753,0.0142250692,0.5749890875,0.0016873000,0.1606208075,0.0019176765,0.5496468142,0.0029263820,0.0755955378,0.0014246399,0.2356417229,0.0006263011,0.1438596937,0.0015479845,0.0827226929,0.0005670449,0.6246987786,0.0016538012,80,96
minus_mechanism_index,9,0.6496093750,0.0142215489,0.6325517310,0.0154881417,0.5752737250,0.0015741270,0.1605689950,0.0018961357,0.5495760902,0.0029451384,0.0754751359,0.0014466133,0.2353895812,0.0006151538,0.1439092352,0.0015369600,0.0828498514,0.0005791546,0.6251834583,0.0016440681,80,96
minus_recovery_controller,0,0.6764322917,0.0117596163,0.6831891110,0.0124939139,0.6092387750,0.0016410340,0.1289438888,0.0016288606,0.5199858564,0.0029016362,0.0693696785,0.0014730052,0.2214498104,0.0006130393,0.1292060796,0.0013597445,0.0733610997,0.0005551214,0.6749000687,0.0016556531,80,96
minus_recovery_controller,1,0.6842447917,0.0107040874,0.6911100134,0.0121942720,0.6093763250,0.0016077578,0.1290371388,0.0017352609,0.5197629676,0.0029728964,0.0690604185,0.0015456466,0.2213123479,0.0006601101,0.1293809378,0.0014111021,0.0732024292,0.0005214187,0.6748800277,0.0016790139,80,96
minus_recovery_controller,2,0.6884114583,0.0132862003,0.6951982883,0.0141878424,0.6096889625,0.0016043918,0.1291303888,0.0017195835,0.5195400789,0.0029113579,0.0691169335,0.0014991172,0.2211508896,0.0006572946,0.1295557961,0.0013844336,0.0732688712,0.0005543200,0.6750740937,0.0016777920,80,96
minus_recovery_controller,3,0.6738281250,0.0133525553,0.6805317404,0.0143820308,0.6093012500,0.0014619156,0.1290985763,0.0017158661,0.5198468298,0.0028645973,0.0692770816,0.0014937995,0.2212519312,0.0006622307,0.1295153930,0.0014374069,0.0734833872,0.0005857841,0.6747193854,0.0016983521,80,96
minus_recovery_controller,4,0.6919270833,0.0125593173,0.6988081129,0.0135393026,0.6096138875,0.0015234942,0.1291918263,0.0017796017,0.5196239411,0.0028629573,0.0689327403,0.0014264256,0.2210454958,0.0006759732,0.1296902512,0.0014177883,0.0733997542,0.0006682629,0.6749134514,0.0017050176,80,96
minus_recovery_controller,5,0.6846354167,0.0110161365,0.6917052846,0.0124497058,0.6095763500,0.0014903638,0.1289098888,0.0018010714,0.5195892714,0.0029030839,0.0688690922,0.0014081782,0.2209694167,0.0006489524,0.1296447381,0.0013959163,0.0733101182,0.0005922159,0.6749019147,0.0016271470,80,96
minus_recovery_controller,6,0.6869791667,0.0126176054,0.6945127076,0.0139017592,0.6098889875,0.0015121019,0.1286279513,0.0017438953,0.5204300392,0.0028988637,0.0687070441,0.0014552189,0.2210585917,0.0006515312,0.1295834671,0.0014239901,0.0733705572,0.0006533486,0.6751184919,0.0016492463,80,96
minus_recovery_controller,7,0.6804687500,0.0108884682,0.6874668192,0.0119107259,0.6096763625,0.0015662938,0.1290963888,0.0017907048,0.5200189314,0.0029555665,0.0689069722,0.0014251335,0.2211216500,0.0006085673,0.1297785967,0.0014006167,0.0732929272,0.0006741990,0.6749478757,0.0015892212,80,96
minus_recovery_controller,8,0.6811197917,0.0142597588,0.6884213446,0.0151868556,0.6099890000,0.0016888855,0.1289395138,0.0017339890,0.5203300595,0.0029324580,0.0689342222,0.0014686816,0.2209343729,0.0006392869,0.1295323870,0.0014416835,0.0733553672,0.0007141628,0.6746566992,0.0016081529,80,96
minus_recovery_controller,9,0.6735677083,0.0131652674,0.6805231288,0.0141682055,0.6096012875,0.0017772616,0.1289077013,0.0016543567,0.5202866355,0.0030032721,0.0692679578,0.0014615045,0.2210870521,0.0006605209,0.1296983871,0.0014775732,0.0732697332,0.0006861707,0.6746021409,0.0016064765,80,96
minus_stale_memory_downweight,0,0.6789062500,0.0115469834,0.6883504490,0.0126143485,0.5999558875,0.0016339078,0.1394814085,0.0015537069,0.5745877307,0.0029645893,0.0718923736,0.0014279090,0.2290533000,0.0006259650,0.1323706842,0.0014459228,0.0753411875,0.0006473900,0.6686084865,0.0016875578,80,96
minus_stale_memory_downweight,1,0.6880208333,0.0132648680,0.6975892048,0.0144382948,0.6006467000,0.0016585462,0.1394695960,0.0016134488,0.5745716066,0.0027771672,0.0719395092,0.0014655119,0.2290596833,0.0006459528,0.1321528929,0.0014997988,0.0754179485,0.0006317149,0.6687550602,0.0016981532,80,96
minus_stale_memory_downweight,2,0.6804687500,0.0105187476,0.6900435544,0.0118404009,0.6004620750,0.0016413366,0.1390825960,0.0017094300,0.5740433516,0.0026969616,0.0722603817,0.0014171267,0.2289242125,0.0006854246,0.1316272865,0.0014874417,0.0755637440,0.0006056431,0.6688541102,0.0017525354,80,96
minus_stale_memory_downweight,3,0.6730468750,0.0122332641,0.6824394433,0.0135073504,0.6008027125,0.0017008275,0.1391958460,0.0017509463,0.5740228504,0.0027487690,0.0724638530,0.0013987254,0.2291621062,0.0006753357,0.1315152518,0.0014808832,0.0756425060,0.0006274928,0.6688651162,0.0018031444,80,96
minus_stale_memory_downweight,4,0.6777343750,0.0126146974,0.6873063000,0.0135154574,0.6011433500,0.0017180668,0.1390589710,0.0017979917,0.5738360160,0.0026526410,0.0722817717,0.0014139343,0.2291554312,0.0006655477,0.1314950054,0.0014335212,0.0754921535,0.0006060617,0.6687910797,0.0017859309,80,96
