method,split,task,regime,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_regret,ci95_regret,mean_calibration_error,ci95_calibration_error,mean_retrieval_coverage,ci95_retrieval_coverage,groups,episodes_per_group
action_conditioned_mechanism_retrieval_v5,combined_stress,deformable_packing_corner,compound_mechanism_shift,0.7041666667,0.0200041662,0.7656039462,0.0211986646,0.6563583000,0.0018521619,0.0969433664,0.0019439169,0.6309043422,0.0018579328,0.0633980356,0.0007860485,0.2280130667,0.0010962686,0.1115045733,0.0018057741,0.0616285139,0.0011511671,0.7407216620,0.0016432151,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,deformable_packing_corner,friction_mismatch,0.7072916667,0.0220420167,0.7930659149,0.0218670140,0.6706138000,0.0017602106,0.0831129864,0.0012479105,0.6403835055,0.0027599657,0.0483708590,0.0009624511,0.2249432167,0.0009469201,0.0973211813,0.0017020047,0.0562211278,0.0013169331,0.7563523248,0.0010642706,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,deformable_packing_corner,occluded_contact_shift,0.6937500000,0.0247632462,0.7685320296,0.0250542097,0.6664199000,0.0027249393,0.0907657544,0.0016941026,0.6360009586,0.0030964671,0.0541481028,0.0008994490,0.2260115000,0.0015123314,0.1051524417,0.0015871563,0.0589007721,0.0012608579,0.7499996467,0.0009789700,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,deformable_packing_corner,source_matched,0.7406250000,0.0232686314,0.8375748786,0.0240630763,0.6795992000,0.0030057043,0.0755683904,0.0019704721,0.6419220663,0.0017299437,0.0424225373,0.0009347145,0.2222304500,0.0013547569,0.0909879804,0.0017979677,0.0528742142,0.0012997265,0.7652078326,0.0019222780,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,deformable_packing_corner,support_topology_shift,0.7218750000,0.0258342331,0.8030708466,0.0260392377,0.6695892000,0.0029502309,0.0868113624,0.0016941026,0.6380235623,0.0030964671,0.0498283454,0.0009107953,0.2251926500,0.0014699196,0.1020188872,0.0010731867,0.0570993018,0.0013205158,0.7543504543,0.0009220609,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,deformable_packing_corner,tool_geometry_shift,0.7218750000,0.0258342331,0.7897266430,0.0262772877,0.6608773000,0.0031461484,0.0936233184,0.0022538083,0.6311695439,0.0023909657,0.0579831823,0.0014019820,0.2281977500,0.0013704498,0.1075227975,0.0009250629,0.0606894931,0.0011692641,0.7452455849,0.0017383609,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,drawer_pull_with_stiction,actuator_lag_shift,0.7541666667,0.0249495788,0.8276048342,0.0253100709,0.6647184000,0.0029776332,0.0914080000,0.0022289480,0.6349961200,0.0027570953,0.0552133600,0.0015644702,0.2263062667,0.0013161170,0.1044834298,0.0009439586,0.0596840280,0.0007481659,0.7495885920,0.0014026057,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,drawer_pull_with_stiction,compliance_shift,0.7843750000,0.0275688007,0.8656155752,0.0282108461,0.6681235000,0.0017470747,0.0881379360,0.0012385277,0.6405244722,0.0030221408,0.0505310055,0.0014359973,0.2249143500,0.0014194154,0.0999087666,0.0010623049,0.0574630070,0.0013384852,0.7529856038,0.0010562765,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,drawer_pull_with_stiction,compound_mechanism_shift,0.7635416667,0.0251068742,0.8285990641,0.0258966591,0.6593495000,0.0018521619,0.0960700800,0.0013135900,0.6352785472,0.0017930503,0.0619888556,0.0014338355,0.2264039167,0.0007832656,0.1102653398,0.0016759724,0.0610801213,0.0013068877,0.7413365552,0.0015385014,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,drawer_pull_with_stiction,friction_mismatch,0.7875000000,0.0251345300,0.8770599067,0.0257138719,0.6709387000,0.0023639157,0.0813357000,0.0012479105,0.6435237505,0.0017033978,0.0459809990,0.0011371542,0.2225000000,0.0009700761,0.0977414790,0.0017039007,0.0557161712,0.0013169331,0.7576857540,0.0016805906,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,drawer_pull_with_stiction,occluded_contact_shift,0.7677083333,0.0323603988,0.8444986205,0.0324768220,0.6654477000,0.0030774996,0.0900629680,0.0019488955,0.6378064961,0.0031300422,0.0525906578,0.0007376575,0.2249007833,0.0015465987,0.1049039166,0.0014116056,0.0578571075,0.0013060538,0.7512240379,0.0009324372,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,drawer_pull_with_stiction,source_matched,0.7750000000,0.0287449137,0.8741670012,0.0292344146,0.6809825000,0.0017208029,0.0765481040,0.0022539367,0.6446235164,0.0030078460,0.0397033673,0.0004157058,0.2208825000,0.0004914137,0.0921450414,0.0013569721,0.0534672697,0.0013771588,0.7670653138,0.0014037259,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,drawer_pull_with_stiction,support_topology_shift,0.7895833333,0.0219050103,0.8722213393,0.0218260113,0.6700177000,0.0030774996,0.0871090760,0.0016941026,0.6397940823,0.0031471127,0.0490537353,0.0011839176,0.2241694333,0.0014099686,0.1010156149,0.0010765639,0.0560716452,0.0011557408,0.7556268714,0.0008874581,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,drawer_pull_with_stiction,tool_geometry_shift,0.7687500000,0.0254276540,0.8380472510,0.0262391847,0.6609635000,0.0031461484,0.0936765320,0.0022227560,0.6340070214,0.0027536991,0.0574197572,0.0013446170,0.2273195000,0.0006650614,0.1070941176,0.0015070670,0.0601115245,0.0012885832,0.7463136881,0.0015461674,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,granular_scoop_boundary,actuator_lag_shift,0.6697916667,0.0432621410,0.7426194352,0.0433507647,0.6641976000,0.0023621372,0.0919649384,0.0021418749,0.6401531872,0.0031338634,0.0564974957,0.0014204491,0.2270309167,0.0012745535,0.1066344649,0.0009670099,0.0587636590,0.0011650754,0.7486179117,0.0011030130,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,granular_scoop_boundary,compliance_shift,0.7104166667,0.0291608327,0.7909409730,0.0294644490,0.6680213000,0.0017208029,0.0879933744,0.0019704721,0.6419225919,0.0031662743,0.0505573362,0.0013696767,0.2250722667,0.0008817361,0.1039358952,0.0009779671,0.0585117140,0.0012087680,0.7531301015,0.0011550257,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,granular_scoop_boundary,compound_mechanism_shift,0.6833333333,0.0247632462,0.7457380499,0.0247919718,0.6575729000,0.0027249393,0.0987315184,0.0012948244,0.6377054569,0.0029807582,0.0622068063,0.0011714701,0.2295335333,0.0013919146,0.1126430201,0.0011084518,0.0614561243,0.0012984027,0.7402219409,0.0009245420,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,granular_scoop_boundary,friction_mismatch,0.7052083333,0.0333472222,0.7932238342,0.0342820307,0.6706272000,0.0027507639,0.0820421384,0.0012291449,0.6474841852,0.0016777828,0.0485283997,0.0014610483,0.2250860833,0.0012892453,0.0968387809,0.0015710989,0.0566887942,0.0007740423,0.7560420477,0.0014536545,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,granular_scoop_boundary,occluded_contact_shift,0.7354166667,0.0336445082,0.8120964322,0.0339580707,0.6626890000,0.0023696798,0.0890214064,0.0019540417,0.6407816108,0.0018067357,0.0536671984,0.0013352760,0.2263383667,0.0015537505,0.1041426943,0.0009526867,0.0583532625,0.0012815289,0.7488914356,0.0017246242,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,granular_scoop_boundary,source_matched,0.7250000000,0.0290653797,0.8247635482,0.0295181634,0.6784975000,0.0031643332,0.0747015424,0.0012009966,0.6493012060,0.0016393603,0.0417599080,0.0015475037,0.2214847000,0.0013521951,0.0906729477,0.0009703212,0.0534675447,0.0013545994,0.7641589075,0.0018155989,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,granular_scoop_boundary,support_topology_shift,0.6989583333,0.0282983478,0.7812991252,0.0285031536,0.6672590000,0.0023696798,0.0850670144,0.0019540417,0.6428042145,0.0018067357,0.0511102410,0.0014165607,0.2264236833,0.0009611058,0.0994083398,0.0009526867,0.0559514922,0.0007743940,0.7541546991,0.0017478912,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,granular_scoop_boundary,tool_geometry_shift,0.6937500000,0.0282574010,0.7632964723,0.0283987006,0.6630348000,0.0017602106,0.0940839704,0.0019620722,0.6389600210,0.0031743987,0.0584349779,0.0014587154,0.2284235000,0.0011793746,0.1075216983,0.0013380095,0.0590990635,0.0007570679,0.7454397458,0.0011788962,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,mobile_base_contact_alignment,actuator_lag_shift,0.7354166667,0.0247632462,0.8068260860,0.0255334347,0.6646122000,0.0023738783,0.0917494912,0.0012948244,0.6301202478,0.0027410273,0.0549195644,0.0011632636,0.2267442667,0.0014127553,0.1070549626,0.0010942019,0.0593730519,0.0011597573,0.7472400065,0.0010071136,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,mobile_base_contact_alignment,compliance_shift,0.7697916667,0.0331242546,0.8482906080,0.0330314340,0.6674734000,0.0031369933,0.0870904272,0.0022165864,0.6295505150,0.0027503584,0.0504321799,0.0013215666,0.2256612167,0.0007000355,0.1006159600,0.0012951416,0.0580973068,0.0011757954,0.7535676464,0.0015434404,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,mobile_base_contact_alignment,compound_mechanism_shift,0.7177083333,0.0358117102,0.7782829984,0.0360131021,0.6566729000,0.0019047055,0.0975770712,0.0021955117,0.6249900825,0.0027130516,0.0623631450,0.0014353917,0.2279203833,0.0010310878,0.1107175467,0.0010143626,0.0608867931,0.0012509147,0.7420460077,0.0015752533,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,mobile_base_contact_alignment,friction_mismatch,0.7333333333,0.0217777778,0.8186618623,0.0230783631,0.6726616000,0.0030860413,0.0829836912,0.0021170338,0.6334277508,0.0030923728,0.0478003584,0.0009253761,0.2230171333,0.0008815609,0.0975089666,0.0017995855,0.0562099991,0.0012953648,0.7596519065,0.0009503005,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,mobile_base_contact_alignment,occluded_contact_shift,0.7416666667,0.0229378522,0.8157849743,0.0230627988,0.6636279000,0.0018784337,0.0891804592,0.0021800502,0.6284584639,0.0023955525,0.0528086321,0.0007587384,0.2259070667,0.0011728769,0.1049208683,0.0013301406,0.0585930473,0.0012481255,0.7510342044,0.0016144678,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,mobile_base_contact_alignment,source_matched,0.7531250000,0.0275688007,0.8493095376,0.0274495524,0.6797885000,0.0027393481,0.0771130952,0.0021318493,0.6372513217,0.0031171756,0.0414164667,0.0014566700,0.2214983500,0.0013641360,0.0901479655,0.0009823099,0.0526936695,0.0007537034,0.7671962943,0.0010283939,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,mobile_base_contact_alignment,support_topology_shift,0.7666666667,0.0293823507,0.8471941883,0.0303283702,0.6681979000,0.0018784337,0.0852260672,0.0021800502,0.6304810676,0.0023955525,0.0491454247,0.0014237415,0.2251319667,0.0008040999,0.1009869138,0.0009834327,0.0567915771,0.0013346255,0.7554970680,0.0016144678,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,mobile_base_contact_alignment,tool_geometry_shift,0.7395833333,0.0330612740,0.8073174134,0.0346056146,0.6618296000,0.0030689903,0.0937120232,0.0019463852,0.6273127592,0.0031212530,0.0565081416,0.0013126384,0.2271194333,0.0010713954,0.1094398114,0.0010488966,0.0596120524,0.0012466368,0.7462176466,0.0009402203,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,peg_insert_contact_search,actuator_lag_shift,0.7322916667,0.0210972222,0.7999224411,0.0213745794,0.6625207000,0.0017733465,0.0908960176,0.0012572933,0.6147861794,0.0023582407,0.0556534712,0.0009040238,0.2261688167,0.0007866978,0.1062537696,0.0017624255,0.0588057163,0.0013131970,0.7470158949,0.0010722647,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,peg_insert_contact_search,compliance_shift,0.7468750000,0.0169593571,0.8223230697,0.0172616375,0.6681105000,0.0031292272,0.0851844536,0.0016860219,0.6155811841,0.0017274253,0.0508171618,0.0008007073,0.2253316500,0.0007497326,0.1021024391,0.0017972285,0.0574819313,0.0007639054,0.7527829728,0.0018715193,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,peg_insert_contact_search,compound_mechanism_shift,0.7291666667,0.0206422720,0.7862108558,0.0213022193,0.6576012000,0.0031006593,0.0978800976,0.0019439169,0.6098339366,0.0031124916,0.0612082068,0.0010975708,0.2284349667,0.0011141865,0.1116907935,0.0010565560,0.0598312616,0.0007974963,0.7429192901,0.0009418116,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,peg_insert_contact_search,friction_mismatch,0.7635416667,0.0308960230,0.8463330508,0.0321060124,0.6733351000,0.0029845890,0.0821042176,0.0022669866,0.6166574924,0.0027479018,0.0461159452,0.0017944161,0.2225597167,0.0016358570,0.0975120549,0.0009301225,0.0550263475,0.0007405346,0.7596297549,0.0017111466,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,peg_insert_contact_search,occluded_contact_shift,0.7343750000,0.0312240788,0.8046217190,0.0319762514,0.6630827000,0.0018258901,0.0884309856,0.0019488955,0.6132663555,0.0018323340,0.0542875190,0.0015093523,0.2260526500,0.0006772062,0.1026042000,0.0013898406,0.0574894758,0.0007859450,0.7510107569,0.0016986491,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,peg_insert_contact_search,source_matched,0.7572916667,0.0197361111,0.8498390663,0.0199587018,0.6761507000,0.0017208029,0.0771561216,0.0012197621,0.6231409757,0.0027719767,0.0408188785,0.0013093730,0.2207584167,0.0011007257,0.0908826879,0.0010326796,0.0532788779,0.0007682625,0.7651106887,0.0010402882,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,peg_insert_contact_search,support_topology_shift,0.7416666667,0.0259683449,0.8184512599,0.0263299127,0.6676527000,0.0018258901,0.0844765936,0.0019488955,0.6152889592,0.0018323340,0.0509430616,0.0012593633,0.2237245667,0.0009114782,0.0994706454,0.0017641448,0.0568886055,0.0007859450,0.7554736204,0.0016986491,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,peg_insert_contact_search,tool_geometry_shift,0.7510416667,0.0272986774,0.8163220952,0.0279867023,0.6611752000,0.0017864824,0.0928845496,0.0012666761,0.6134148808,0.0023598091,0.0563966685,0.0010470368,0.2257551167,0.0011651732,0.1086347369,0.0015356652,0.0590607328,0.0010198966,0.7445269430,0.0010802589,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,snap_fit_latch_release,actuator_lag_shift,0.7416666667,0.0357275463,0.8121573651,0.0366572525,0.6621200000,0.0027507639,0.0907763128,0.0012291449,0.6254020491,0.0016777828,0.0555099419,0.0016630841,0.2266846667,0.0015312791,0.1051096972,0.0013491497,0.0594284610,0.0007740423,0.7468654212,0.0014536545,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,snap_fit_latch_release,compliance_shift,0.7177083333,0.0230687253,0.7946453757,0.0227272709,0.6654243000,0.0023572332,0.0874342488,0.0012103793,0.6266300213,0.0027760870,0.0505537474,0.0009946468,0.2248072833,0.0007181223,0.1029528008,0.0010249898,0.0565627880,0.0007624827,0.7518018891,0.0009365171,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,snap_fit_latch_release,compound_mechanism_shift,0.6968750000,0.0322744100,0.7557267922,0.0326796226,0.6584542000,0.0027284537,0.0986558928,0.0016926284,0.6202714638,0.0031048372,0.0624146625,0.0008890254,0.2276702500,0.0009062001,0.1121070288,0.0016767354,0.0616059343,0.0011783010,0.7419309824,0.0009711174,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,snap_fit_latch_release,friction_mismatch,0.7416666667,0.0449166667,0.8253576520,0.0454173403,0.6738927000,0.0027546839,0.0816685128,0.0021520174,0.6254413221,0.0017497517,0.0475237959,0.0013543027,0.2245240667,0.0009764747,0.0977347393,0.0018955543,0.0554544362,0.0013621339,0.7585217052,0.0018665072,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,snap_fit_latch_release,occluded_contact_shift,0.7166666667,0.0299444444,0.7893390229,0.0300586859,0.6644516000,0.0017864824,0.0895752808,0.0012666761,0.6256075852,0.0023598091,0.0542777697,0.0009443415,0.2253048667,0.0008117566,0.1048983511,0.0016764330,0.0576902445,0.0011640333,0.7487356112,0.0010802589,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,snap_fit_latch_release,source_matched,0.7656250000,0.0209208578,0.8620935792,0.0204391390,0.6809839000,0.0023543247,0.0747719168,0.0016806993,0.6306658029,0.0016634260,0.0403774842,0.0011654978,0.2205304500,0.0009161866,0.0910823518,0.0009190674,0.0543075907,0.0007350249,0.7653039970,0.0017785756,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,snap_fit_latch_release,support_topology_shift,0.7468750000,0.0164040714,0.8269620738,0.0168340770,0.6690216000,0.0017864824,0.0856208888,0.0012666761,0.6276301889,0.0023598091,0.0493202122,0.0008899547,0.2238565500,0.0012144562,0.1009643966,0.0015356652,0.0558887742,0.0007971615,0.7531984747,0.0010802589,10,96
