method,split,task,regime,mean_success_rate,ci95_success_rate,mean_utility,ci95_utility,mean_mechanism_precision,ci95_mechanism_precision,mean_incompatible_retrieval_rate,ci95_incompatible_retrieval_rate,mean_recovery_success,ci95_recovery_success,mean_damage_rate,ci95_damage_rate,mean_query_cost,ci95_query_cost,mean_regret,ci95_regret,mean_calibration_error,ci95_calibration_error,mean_retrieval_coverage,ci95_retrieval_coverage,groups,episodes_per_group
action_conditioned_mechanism_retrieval_v5,combined_stress,bimanual_handoff_force_match,actuator_lag_shift,0.7072916667,0.0386720866,0.7790767031,0.0388407186,0.6647893000,0.0023717436,0.0927908040,0.0012854416,0.6338063219,0.0029875578,0.0556466063,0.0008929678,0.2259872167,0.0011195859,0.1067598724,0.0016179456,0.0601048529,0.0008087211,0.7475776958,0.0009992600,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,bimanual_handoff_force_match,compliance_shift,0.7166666667,0.0268453073,0.7965683143,0.0270978176,0.6666831000,0.0029707192,0.0854397400,0.0019566772,0.6337641091,0.0017939367,0.0504058818,0.0013401977,0.2248395667,0.0012304028,0.1028390343,0.0009450201,0.0577711358,0.0012587093,0.7526362636,0.0018813249,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,bimanual_handoff_force_match,compound_mechanism_shift,0.7010416667,0.0391008633,0.7622701604,0.0393591208,0.6569508000,0.0030352833,0.0986903840,0.0017022300,0.6301751366,0.0030550777,0.0629321769,0.0014385013,0.2276464167,0.0010216284,0.1104563148,0.0013710534,0.0616629461,0.0010518562,0.7416446410,0.0009324163,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,bimanual_handoff_force_match,friction_mismatch,0.7645833333,0.0289055908,0.8508080156,0.0303145412,0.6723550000,0.0031369933,0.0826790040,0.0022472488,0.6352765349,0.0023931141,0.0471571303,0.0018056529,0.2242230333,0.0011485806,0.0961095776,0.0009327208,0.0561126641,0.0012748299,0.7581544598,0.0017338700,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,bimanual_handoff_force_match,occluded_contact_shift,0.7197916667,0.0244337453,0.7942082259,0.0235153602,0.6643391000,0.0029301294,0.0896027720,0.0021860813,0.6327003030,0.0029360594,0.0536087440,0.0008841528,0.2264920167,0.0012371494,0.1048931193,0.0013659526,0.0583432444,0.0007885999,0.7509565617,0.0013097029,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,bimanual_handoff_force_match,source_matched,0.7458333333,0.0251345300,0.8431542424,0.0252547475,0.6780308000,0.0031205273,0.0757719080,0.0019620722,0.6404866832,0.0017683391,0.0407725336,0.0008588438,0.2214213333,0.0008557262,0.0918497756,0.0017137867,0.0537587505,0.0007570679,0.7648157495,0.0020140732,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,bimanual_handoff_force_match,support_topology_shift,0.7281250000,0.0274678158,0.8081865738,0.0277241755,0.6675084000,0.0027147499,0.0866488800,0.0020977046,0.6346878892,0.0029498035,0.0503155716,0.0013312815,0.2253499500,0.0011054627,0.1010048176,0.0010279934,0.0577583821,0.0007941337,0.7552473392,0.0013032060,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,bimanual_handoff_force_match,tool_geometry_shift,0.7281250000,0.0269572170,0.7965618773,0.0278002847,0.6610897000,0.0030774996,0.0940983360,0.0019488955,0.6315054582,0.0031300422,0.0570966335,0.0008684998,0.2269366500,0.0012434238,0.1085821269,0.0017323118,0.0599403734,0.0013284522,0.7459972758,0.0009324372,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,cable_route_around_hook,actuator_lag_shift,0.7072916667,0.0253638226,0.7817484357,0.0255617835,0.6638929000,0.0017470747,0.0928214472,0.0016860219,0.6460650293,0.0032008059,0.0560447513,0.0015409934,0.2267324167,0.0014613323,0.1058421946,0.0010305694,0.0589288032,0.0013238010,0.7478181452,0.0011222166,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,cable_route_around_hook,compliance_shift,0.7052083333,0.0353692520,0.7873072897,0.0369628136,0.6668339000,0.0017208029,0.0882193832,0.0016837380,0.6483745016,0.0032189123,0.0504509068,0.0014796661,0.2249933833,0.0010801244,0.1034015312,0.0010152418,0.0588887701,0.0007523530,0.7525935490,0.0011062933,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,cable_route_around_hook,compound_mechanism_shift,0.6802083333,0.0261903386,0.7454333508,0.0267748404,0.6571149000,0.0018258901,0.0964770272,0.0012948244,0.6449735840,0.0017674353,0.0628021419,0.0015053991,0.2297380833,0.0010652721,0.1107983417,0.0010473003,0.0621060924,0.0008145009,0.7403093704,0.0015420747,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,cable_route_around_hook,friction_mismatch,0.6968750000,0.0238583016,0.7863359112,0.0244945088,0.6705815000,0.0029986249,0.0810826472,0.0012291449,0.6523178873,0.0016777828,0.0488845353,0.0010572989,0.2249399500,0.0012537616,0.0969325972,0.0017121080,0.0557352824,0.0007740423,0.7571207612,0.0019982304,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,cable_route_around_hook,occluded_contact_shift,0.7125000000,0.0365477976,0.7898781424,0.0371304402,0.6641497000,0.0030946152,0.0891379152,0.0022165864,0.6456833530,0.0023813284,0.0550067541,0.0012703212,0.2270420000,0.0008208373,0.1027433058,0.0009374494,0.0586628666,0.0013299433,0.7500865011,0.0017062770,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,cable_route_around_hook,source_matched,0.7250000000,0.0375479221,0.8259877448,0.0384646062,0.6792288000,0.0030199849,0.0752975512,0.0016816605,0.6548574657,0.0016762256,0.0418076286,0.0012958865,0.2215549000,0.0016461474,0.0904673554,0.0009267390,0.0540725208,0.0012781873,0.7648500509,0.0018697424,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,cable_route_around_hook,support_topology_shift,0.7229166667,0.0253181302,0.8063284183,0.0257686562,0.6673190000,0.0029638473,0.0861840232,0.0022472488,0.6476709392,0.0023931141,0.0510757816,0.0012693414,0.2252704667,0.0007530212,0.0996554041,0.0015535281,0.0568774044,0.0013411746,0.7543772786,0.0016412925,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,cable_route_around_hook,tool_geometry_shift,0.6687500000,0.0350733799,0.7386807525,0.0353744964,0.6610704000,0.0017602106,0.0947554792,0.0012479105,0.6460200382,0.0030151472,0.0595835835,0.0013127474,0.2288890000,0.0012176092,0.1073528359,0.0015742162,0.0597505477,0.0012628024,0.7443703032,0.0010642706,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,cloth_slide_over_edge,actuator_lag_shift,0.7281250000,0.0346281754,0.8023037662,0.0363274817,0.6631701000,0.0017208029,0.0922219648,0.0019704721,0.6415335512,0.0031662743,0.0542882875,0.0010268936,0.2262919500,0.0008841833,0.1078319845,0.0009779671,0.0600503914,0.0010261992,0.7485002901,0.0011550257,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,cloth_slide_over_edge,compliance_shift,0.7250000000,0.0219894230,0.8061843538,0.0218807610,0.6693031000,0.0016945311,0.0868984008,0.0023002721,0.6428581760,0.0023778047,0.0518315881,0.0009963971,0.2253352000,0.0012863911,0.1015977809,0.0017718713,0.0583653144,0.0007116538,0.7529971440,0.0016273878,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,cloth_slide_over_edge,compound_mechanism_shift,0.6843750000,0.0402679610,0.7469876185,0.0400540633,0.6580217000,0.0027320268,0.0990425448,0.0016912051,0.6391595309,0.0031649044,0.0634662281,0.0006710703,0.2284284500,0.0006472650,0.1114836430,0.0017294845,0.0621758207,0.0007870108,0.7418631833,0.0009632671,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,cloth_slide_over_edge,friction_mismatch,0.7187500000,0.0245377795,0.8084025960,0.0251227474,0.6714547000,0.0030128244,0.0826236648,0.0012103793,0.6493074917,0.0023514296,0.0473428565,0.0015113781,0.2227677000,0.0006962044,0.0975021301,0.0010047103,0.0551739186,0.0010142581,0.7563129561,0.0007909754,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,cloth_slide_over_edge,occluded_contact_shift,0.7010416667,0.0317827459,0.7768950769,0.0325037132,0.6654471000,0.0017733465,0.0909819328,0.0012572933,0.6444872524,0.0030081918,0.0554686853,0.0013669246,0.2273191167,0.0008368315,0.1035362164,0.0016918947,0.0576878509,0.0011655125,0.7495368520,0.0010722647,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,cloth_slide_over_edge,source_matched,0.7197916667,0.0226636240,0.8173006755,0.0233129688,0.6764858000,0.0023529791,0.0782575688,0.0016797900,0.6509826051,0.0032554276,0.0429047798,0.0008395696,0.2218138167,0.0014392749,0.0906507037,0.0017018193,0.0531846611,0.0013469770,0.7656034099,0.0009826700,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,cloth_slide_over_edge,support_topology_shift,0.7135416667,0.0149876814,0.7963741728,0.0158145530,0.6700171000,0.0017733465,0.0870275408,0.0012572933,0.6465098561,0.0030081918,0.0514301779,0.0009458888,0.2249181167,0.0008236684,0.1004026619,0.0017642829,0.0558863807,0.0007913817,0.7539997156,0.0010722647,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,cloth_slide_over_edge,tool_geometry_shift,0.7093750000,0.0316951900,0.7800666968,0.0320200133,0.6587516000,0.0017339388,0.0940164968,0.0012291449,0.6426988426,0.0027679196,0.0579777048,0.0014163128,0.2274874500,0.0015250285,0.1068017632,0.0010403695,0.0607862039,0.0010160096,0.7440211382,0.0010482823,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,deformable_packing_corner,actuator_lag_shift,0.7010416667,0.0307457496,0.7729019186,0.0318570716,0.6624118000,0.0031553316,0.0907692864,0.0022289480,0.6327601350,0.0023771203,0.0554970000,0.0016879219,0.2269207167,0.0015257460,0.1068077355,0.0009221262,0.0599013286,0.0007481659,0.7479095868,0.0017813498,10,96
action_conditioned_mechanism_retrieval_v5,combined_stress,deformable_packing_corner,compliance_shift,0.7208333333,0.0194405552,0.8006862879,0.0194676757,0.6697803000,0.0017470747,0.0873287224,0.0021418749,0.6366550547,0.0031338634,0.0508879106,0.0014109534,0.2249720333,0.0013271474,0.1029188015,0.0009670099,0.0575752796,0.0013361575,0.7538987007,0.0012045345,10,96
